Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Justin Jefferson,MIN,13,WR1,1,1,1,1,,1
2,Christian McCaffrey,SF,9,RB1,3,2,2,2,,2.3
3,Ja'Marr Chase,CIN,7,WR2,2,3,4,3,,3
4,Austin Ekeler,WAS,14,RB2,4,4,3,4,,3.8
5,Travis Kelce,KC,10,TE1,5,5,6,7,,5.8
6,Tyreek Hill,MIA,10,WR3,6,6,8,5,,6.3
7,Saquon Barkley,PHI,10,RB3,9,9,7,6,,7.8
8,Bijan Robinson,ATL,11,RB4,7,8,9,8,,8
9,Stefon Diggs,NE,11,WR4,11,7,10,12,,10
10,Nick Chubb ,,,RB5,13,10,17,9,,12.3
11,Davante Adams,LAR,10,WR5,8,14,12,17,,12.8
12,CeeDee Lamb,DAL,7,WR6,16,11,15,11,,13.3
13,Cooper Kupp,SEA,5,WR7,14,15,5,21,,13.8
14,Patrick Mahomes II,KC,10,QB1,12,12,16,18,,14.5
15,A.J. Brown,PHI,10,WR8,19,13,13,15,,15
16,Tony Pollard,TEN,7,RB6,15,21,18,10,,16
17,Derrick Henry,BAL,13,RB7,10,16,19,19,,16
18,Josh Jacobs,GB,6,RB8,18,19,14,13,,16
19,Garrett Wilson,NYJ,7,WR9,17,18,20,14,,17.3
20,Amon-Ra St. Brown,DET,9,WR10,21,17,21,16,,18.8
21,Josh Allen,BUF,13,QB2,20,20,22,20,,20.5
22,Jalen Hurts,PHI,10,QB3,22,23,23,23,,22.8
23,Jaylen Waddle,MIA,10,WR11,25,22,25,26,,24.5
24,Chris Olave,NO,11,WR12,28,24,32,22,,26.5
25,DeVonta Smith,PHI,10,WR13,30,27,27,24,,27
26,Najee Harris,LAC,5,RB9,29,28,30,25,,28
27,Tee Higgins,CIN,7,WR14,26,25,29,35,,28.8
28,Travis Etienne Jr.,JAC,9,RB10,27,30,31,27,,28.8
29,Mark Andrews,BAL,13,TE2,36,26,26,33,,30.3
30,Rhamondre Stevenson,NE,11,RB11,37,29,28,28,,30.5
31,DK Metcalf,PIT,6,WR15,24,31,34,36,,31.3
32,Joe Mixon,HOU,7,RB12,23,36,42,31,,33
33,Jahmyr Gibbs,DET,9,RB13,33,33,37,29,,33
34,Lamar Jackson,BAL,13,QB4,31,32,35,38,,34
35,Calvin Ridley,TEN,7,WR16,38,34,36,30,,34.5
36,Joe Burrow,CIN,7,QB5,34,35,33,37,,34.8
37,Aaron Jones Sr.,MIN,13,RB14,32,40,38,39,,37.3
38,Deebo Samuel Sr.,WAS,14,WR17,35,37,39,41,,38
39,Breece Hall,NYJ,7,RB15,48,39,24,52,,40.8
40,Amari Cooper,,,WR18,41,42,45,40,,42
