player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Antonio Brown,5718,WR,PIT,16,178,0,25,10.4,10,73.8,,0,0,4.3,2,31,0,76.8,91.4,1,54,0.0,0,202,45,92.6,187,133.8,61,32.6,6,649,254,5.6,14.4,3.47,0,10.8,7,73.3,,0,0,3.9,3,47,1,82.2,85.8,2,63,0.0,0,409,74,95.8,392,98.0,101,25.8,1,964,335,4.5,13.0,2.46
Demaryius Thomas,5547,WR,DEN,16,178,0,10,10.0,5,59.0,,0,0,5.3,2,26,0,71.4,85.7,3,49,0.0,0,186,36,93.5,174,84.8,61,35.1,3,551,279,7.8,15.3,3.17,0,11.0,6,66.7,,0,0,8.1,6,39,0,58.6,84.8,3,86,0.0,0,391,68,93.1,364,100.2,102,28.0,4,1023,379,5.6,15.0,2.81
Julio Jones,6158,WR,ATL,15,156,0,2,15.0,4,58.1,,0,0,10.7,3,20,0,53.1,84.0,1,41,0.0,0,148,25,91.2,135,101.8,43,31.9,2,469,162,6.5,18.8,3.47,0,11.7,11,70.6,,0,0,6.1,5,54,2,66.7,85.2,3,79,0.0,0,440,77,96.8,426,101.0,109,25.6,3,1107,386,5.0,14.4,2.6
Jordy Nelson,4350,WR,GB,16,146,0,12,11.0,6,64.6,,0,0,6.1,2,27,0,69.1,90.8,0,80,0.0,0,176,31,96.0,169,123.0,48,28.4,3,533,239,7.7,17.2,3.15,0,12.9,8,69.8,,0,0,6.3,4,39,0,51.4,80.8,1,73,0.0,0,375,60,93.6,351,124.1,86,24.5,6,938,274,4.6,15.6,2.67
Kelvin Benjamin,8663,WR,CAR,16,142,0,5,12.5,2,53.5,,0,0,11.5,3,18,0,54.0,70.1,1,26,0.0,0,190,23,93.7,178,69.2,43,24.2,1,253,56,2.4,11.0,1.42,0,16.0,7,51.1,,0,0,11.8,6,28,1,39.8,70.8,2,51,0.0,0,356,45,95.2,339,87.5,88,26.0,5,703,109,2.4,15.6,2.07
Andre Johnson,1319,WR,HST,15,141,0,13,11.3,2,55.8,,0,0,17.1,6,20,3,31.7,66.9,2,35,0.0,0,183,29,91.8,168,79.5,52,31.0,3,346,93,3.2,11.9,2.06,0,8.9,4,67.5,,0,0,5.3,3,29,0,74.0,77.6,1,29,0.0,0,297,54,94.9,282,83.4,80,28.4,0,581,281,5.2,10.8,2.06
Emmanuel Sanders,5606,WR,DEN,16,140,0,10,13.2,2,66.7,,0,0,3.4,1,22,0,76.1,85.9,1,37,0.0,0,188,28,94.1,177,97.2,42,23.7,1,419,123,4.4,15.0,2.37,0,13.7,6,71.4,,0,0,1.6,1,38,1,83.7,82.7,1,48,0.0,0,373,60,93.3,348,112.3,84,24.1,3,882,220,3.7,14.7,2.53
Jeremy Maclin,4942,WR,PHI,16,140,0,24,10.5,1,60.0,,0,0,0.0,0,12,0,83.2,64.5,2,50,0.0,0,214,18,92.1,197,80.0,30,15.2,2,241,131,7.3,13.4,1.22,0,14.8,7,61.3,,0,0,1.5,1,42,0,90.2,85.3,5,72,0.0,0,414,65,95.9,397,94.5,106,26.7,6,1070,374,5.8,16.5,2.7
Vincent Jackson,2278,WR,TB,16,138,0,30,15.8,2,42.2,,0,0,9.5,2,16,0,57.4,75.5,0,40,0.0,0,152,19,91.4,139,65.5,45,32.4,0,305,48,2.5,16.1,2.19,0,14.6,4,57.0,,0,0,7.5,4,32,1,64.0,72.9,3,50,0.0,0,442,49,93.4,413,68.4,86,20.8,0,689,111,2.3,14.1,1.67
Golden Tate,5585,WR,DET,16,136,0,11,7.5,3,52.2,,0,0,17.2,5,18,0,33.4,64.8,0,24,0.0,0,183,24,92.3,169,67.7,46,27.2,0,244,127,5.3,10.2,1.44,0,8.4,16,82.4,,0,0,1.4,1,37,1,90.4,84.2,3,73,0.0,0,435,70,94.9,413,110.6,85,20.6,2,1037,550,7.9,14.8,2.51
Alshon Jeffery,7048,WR,CHI,16,135,0,6,11.1,2,56.4,,0,0,8.3,2,18,0,52.7,82.1,2,34,0.0,0,157,22,91.1,143,67.6,39,27.3,1,293,121,5.5,13.3,2.05,0,12.7,3,68.3,,0,0,3.4,2,36,0,74.8,69.3,1,74,0.2,1,460,56,94.6,435,106.4,82,18.9,3,792,339,6.1,14.1,1.82
Dez Bryant,5549,WR,DAL,16,135,0,9,14.5,5,55.3,,0,0,10.3,3,23,0,54.2,91.5,1,65,0.0,0,129,26,95.3,123,114.8,47,38.2,9,405,108,4.2,15.6,3.29,0,12.3,11,72.6,,0,0,3.2,2,36,0,83.9,85.2,4,68,0.0,0,354,61,95.8,339,114.0,84,24.8,7,877,256,4.2,14.4,2.59
