team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DEN,10,17,649,15,69,649,91.4,98,14
TB,30,17,657,9,95,657,90.3,116,12
JAX,15,17,606,21,83,606,88.4,122,18
BUF,4,17,581,14,116,581,88.1,134,4
ARZ,1,17,615,15,104,615,87.9,134,15
MIA,17,17,668,18,102,668,87.9,141,21
NYJ,22,17,668,26,93,668,87.2,145,26
WAS,32,17,654,12,125,654,86.8,155,18
KC,16,17,686,36,111,686,86.5,166,19
DAL,9,17,687,30,96,687,86.5,156,30
GB,12,17,527,23,101,527,86,136,12
CAR,5,17,626,25,107,626,85.9,154,22
SF,28,17,619,20,136,619,85.8,166,10
BLT,3,17,539,11,126,539,85.8,145,8
ATL,2,17,596,37,98,596,85.7,153,18
LAC,27,17,588,29,90,588,85.6,144,25
DET,11,17,597,35,96,597,85.5,152,21
NO,20,17,620,24,136,620,84.5,176,16
IND,14,17,569,24,108,569,84.5,154,22
LV,23,17,700,28,143,700,84.2,196,25
CHI,6,17,682,15,128,682,84.1,180,37
HST,13,17,663,31,116,663,83.9,180,33
LA,26,17,594,42,106,594,83.7,171,23
CLV,8,17,764,42,146,764,83.6,219,31
PHI,24,17,539,14,115,539,83.6,153,24
PIT,25,17,585,22,112,585,83.4,164,30
CIN,7,17,724,41,149,724,82.7,220,30
MIN,18,17,626,24,144,626,82.7,192,24
TEN,31,17,616,35,125,616,81.8,192,32
NYG,21,17,670,47,138,670,81.7,215,30
SEA,29,17,670,32,165,670,80.1,232,35
NE,19,17,641,37,152,641,80.1,222,33
