Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
17.6,Trace McSorley,ARZ,2.5,,,,,,,,,0,2,,,,2.6,9.1,,1.5
415.5,Josh Allen,BUF,33.5,29.7,28.7,24.5,36.2,28.4,,19.6,26.8,23.6,12.6,30.9,18.9,20.6,35.9,23,,22.8
40.6,Sam Ehlinger,IND,,,,,,,,9.5,7,,,,,,,,7.6,16.5
183.3,Andy Dalton,NO,,,,13.7,10.9,10.5,29.5,17.2,11.9,9.1,22.2,10.3,13.3,,14.1,2.6,7,11.1
383.8,Jalen Hurts,PHI,24.7,34,27.6,17,27.7,16.7,,28.4,20,22.8,26.2,29.8,34.4,30.4,34.7,,,9.5
207.6,Marcus Mariota,ATL,21.8,15.4,18.6,4.9,16,24.2,12.1,24.4,7.6,18.7,17.7,14.9,11.4,,,,,
42.1,P.J. Walker,CAR,,,,,2.4,2.3,15.1,17.7,-1,5.7,,,,,,,,
50.6,Tyler Huntley,BLT,,,,,,,,,,,,0,16.6,6.6,5.8,11,10.6,
-0.4,Nate Sudfeld,DET,,,,,,,,,,,,,-0.1,,,,-0.3,
5.2,Blaine Gabbert,TB,,,,,,,,,,,,,,,,,,5.2
17.4,Bryce Perkins,LA,,,,,,,,,,0.3,6.5,10.4,0.5,,,-0.2,,
215.6,Dak Prescott,DAL,5.5,,,,,,12.3,26.4,,21.2,20.6,16.8,17.8,15.7,22.2,29,18.4,9.7
13.5,Trey Lance,SF,11,2.5,,,,,,,,,,,,,,,,
245.2,Lamar Jackson,BLT,21.2,42.6,40.4,15.1,15.8,19.1,10.7,21.8,17.5,,16.6,23.1,1.3,,,,,
285,Tom Brady,TB,11.4,11.4,14.7,27.4,17.7,13.7,11.7,17.1,15.2,17,,18,18.1,12.1,22.9,13.3,35.7,7.4
