Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
43.6,Elijah Mitchell,SF,4.1,,,,,,,,,9.8,5.9,6.3,,,,,,17.5
281.4,Nick Chubb,CLV,15.3,32.3,17.3,20.7,25.4,8,18.7,23.4,,17.1,9.7,20.2,8,8.4,9.9,11.2,12.6,23.2
378.7,Austin Ekeler,LAC,11.2,18.4,13.3,34.9,35.9,24.3,36.7,,26.1,13.3,18,25,15.2,24.4,15,23.9,32.1,11
14.7,Jordan Wilkins,IND,,,,,,,,,6.8,1.8,,,,,,0.4,5.7,
220.9,Miles Sanders,PHI,18.5,11.6,5.4,29.6,8.4,14.2,,13.8,15.3,5.4,5.8,31,11.8,28.5,3.9,8.3,6.1,3.3
77.2,Dontrell Hilliard,TEN,21.9,,5.4,5.8,12.3,,0.4,10.5,1.8,1.8,8.8,4.9,3.6,0,,,,
170.4,Dameon Pierce,HST,4.9,8.7,18.1,25.9,20.3,,15.7,14.1,13.9,14.2,3.7,4.6,12.5,13.8,,,,
150.7,Latavius Murray,DEN,,,,13.5,,7.4,10.3,12.9,,7.7,17.2,10.8,10.1,6.1,21.2,5,11.2,17.3
21,Royce Freeman,HST,,,,,,,,,,,,,,,6.6,4.8,6.9,2.7
10.2,Ke'Shawn Vaughn,TB,,,,,,,,,0.4,2.3,,1.5,,,,0.6,0,5.4
28.8,Mike Boone,DEN,1.2,0,0,3.9,11.5,1.4,2.3,,,,,,3.6,4.9,,,,
0.2,Damien Williams,ATL,0.2,,,,,,,,,,,,,,,,,
88.4,Alexander Mattison,MIN,3.6,4.4,11.4,8.8,7,0.3,,10,1.1,2.9,1.8,1.1,9.8,-0.1,0.1,1.7,5.5,19
128,Michael Carter,NYJ,17,10,5.6,4.9,17.3,5.7,9.4,10.1,15.6,,2.7,5.6,,5,4.1,10,2.5,2.5
10.3,Ty Montgomery,NE,10.3,,,,,,,,,,,,,,,,,
93.3,Jaylen Warren,PIT,0.7,2.5,4.3,3.2,10.3,0.2,4.4,10.5,,10.7,1.9,,3.9,4.7,11.9,4,12.8,7.3
22,Tevin Coleman,SF,,,,0,21.7,0.3,,,,,,,,,,,,
87.6,Eno Benjamin,NO,9.1,8.1,4.3,5.5,14.3,9.5,21.3,8.5,3.7,0,,,0,0.1,,,2.9,0.3
45.1,Travis Homer,SEA,0.2,8.2,0.7,,,,,4.1,6.2,0,,13.3,,5.4,7,0,,
189.1,D'Andre Swift,DET,26.5,16.7,7.6,,,,,14.3,8,8.2,12.2,8.3,21.1,6.9,12.5,3.5,27.7,15.6
10.4,Tony Jones Jr.,SEA,0,4,,,,,,,,,,,5.2,1.2,,,,
46.2,Boston Scott,PHI,7,3.1,0,,,1.6,,2.1,0.5,0.5,3.2,2.4,3.1,10.7,0,0,0.6,11.4
59,Zonovan Knight,NYJ,,,,,,,,,,,,13.3,16.8,15.7,2.3,2.3,6.4,2.2
248.8,Tony Pollard,DAL,4.2,19.8,10.5,1.8,14.6,7.2,12.9,33.7,,21.8,36.9,8.1,24.6,22.2,14.6,14,,1.9
8.4,Isaiah Spiller,LAC,,,,,,,-0.5,,2.9,0.3,4.2,1.5,,0,,,,
27.3,Brandon Bolden,LV,10.8,,4.1,0.9,6.4,,,0,0.5,,1.4,,,0,,0,3.2,
8,Trayveon Williams,CIN,,,,,,,,,,,0.7,5.2,0.3,1.8,,0,,
28.9,Gary Brightwell,NYG,,1.4,,0,6.5,0,,0,,,0,6.9,,6.1,,-0.1,0.9,7.2
6,Jakob Johnson,LV,1.1,0,0,0,1.5,,0,0,0,0,1,0,0,1.1,0,0,0,1.3
73.5,Darrell Henderson,JAX,12.3,10.7,1.7,6.9,7,13.2,,5,5.6,10.2,0.9,,,,,,,
90.9,Damien Harris,NE,7.8,16.7,12.6,15.4,2.2,,2,7.2,,,11.3,1.6,,,,,7.9,6.2
1.2,Jerome Ford,CLV,,,,,,,,,,,,,0.3,,,,0.9,
10,Ronnie Rivers,LA,,,,,,2.4,,7.6,,,,,,,,0,,
6.9,Troy Hairston,HST,1.5,0,0,0,0,,0,2.7,0,0,0,0,0,,0,1,1.7,0
1.9,Trey Sermon,PHI,,,,1.9,0,,,,,,,,,,,,,
252.6,Aaron Jones,GB,10.6,32,7.7,14.5,10,7.4,28.6,19.7,6.5,23.6,12,18.9,10,,22.6,5.4,13.3,9.8
5.5,Kene Nwangwu,MIN,,,,,,,,,,,1.6,,,,,,0,3.9
24.9,Sony Michel,LAC,1.2,2.9,4.1,5.7,0,7.2,2.3,,1.2,0.2,0.1,,,,,,,
195.3,Jerick McKinnon,KC,7.9,9.6,2,1,9.2,6,6.8,,10.4,11.8,3.4,5.6,14,31.4,32.2,12.8,22.6,8.6
5.3,Larry Rountree III,LAC,,,,,,,,,,,,,,,,0,3.8,1.5
31.3,C.J. Ham,MIN,1.6,0,3.5,0,0,0.3,,0,0,6.3,0,0,0,1.9,7.5,1.5,0,8.7
98.3,Clyde Edwards-Helaire,KC,22.4,15.8,14.9,22.4,6.5,3.3,9.2,,2.9,0,0.9,,,,,,,
167.7,AJ Dillon,GB,20.1,7.7,5.8,9.4,3.4,9.3,1.5,7.3,6.4,6.5,3.3,17.8,20.9,,22.1,12.8,10.1,3.3
10.7,Darrynton Evans,CHI,,,,,,,,,,,0,7.7,2.1,,0.9,,,
