Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
38.7,Will Mallory,IND,,6.9,,,,0,0,1.6,,1.7,,4.9,2.4,9.6,0,8.7,2.9,0
135.4,Mark Andrews,BLT,,15.5,7.5,25,12.5,10.9,22.3,14,17,6.4,4.3,,,,,,,
0,Hunter Kampmoyer,LAC,,,,,,,,,,,,0,,,,,,
113.4,Chigoziem Okonkwo,TEN,0,7.5,3.7,5.9,8.3,3.8,,6.7,5.8,5.7,1.6,8.5,9.4,9.6,6.6,18.3,6.4,5.6
7.2,Jeffery Simmons,TEN,,,,0,,,,,0,,7.2,0,,,,,,
0,Sean McKeon,DAL,,,,0,0,0,,0,0,0,0,0,0,,,,,
19.4,Geoff Swaim,ARZ,0,0,0,0,4.2,0,1.8,0,0,3.3,3.5,0,3,,3.6,,,
0,Tyler Kroft,MIA,0,0,,,,,,0,,,0,0,,,0,,,
12.1,Ben Sims,GB,0,0,0,0,2.2,,1.2,0,0,,0,0,7.1,0,0,0,1.6,0
75.2,Luke Musgrave,GB,8,4.5,10.9,1.1,9.4,,7,2.9,14.1,8.4,6.8,,,,,,,2.1
28.5,Luke Farrell,JAX,0,0,1.4,3,2.6,0,0,1.5,,0,4.1,8.5,1.9,0,3.8,0,1.7,0
55.3,Josh Oliver,MIN,6.2,3.3,8.4,0,2.5,0,2.6,0,2.1,0,14.7,0,,0,3.4,4.3,2.7,5.1
8.8,Jack Stoll,PHI,0,0,1.6,0,1.4,0,0,0,0,,1.3,2.4,0,0,0,0,0,2.1
138.2,Taysom Hill,NO,0.4,8.4,3.1,2.7,3,12.1,16.8,20.7,16.5,4.3,,10.1,15.4,,1.5,0.2,11.1,11.9
24.5,Stephen Sullivan,CAR,,,,,,0,,2.3,6.8,,3,2.3,2.6,0,2.4,5.1,0,0
2.2,John FitzPatrick,ATL,,0,,0,0,,,,,0,,,,,,,,2.2
35.7,Andrew Ogletree,IND,3,,2.1,13.8,3.6,0,0,10.3,2.9,,,,0,0,0,0,,
