Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
149.8,Jaxon Smith-Njigba,SEA,4.3,8.4,2,3.5,,8.8,16.3,12.6,12.3,9.3,7,6.1,13.2,6.5,14.8,12.1,8.2,4.4
48.7,David Bell,CLV,0,5.7,0,0,,1.6,0,0,,,0,0,3.2,11.1,0,1.6,2.7,22.8
71.8,Tre Tucker,LV,,3.4,0,0,1.6,8.1,3.8,0,7.6,0.9,5,0,,0,20.7,1.1,5.6,14
80.3,Jameson Williams,DET,,,,,2.2,13.3,0,3.6,,3.8,12.4,7.1,10,0.4,8.7,9.3,9.5,
117.5,DJ Chark Jr.,CAR,,2.5,18.6,4.8,13.2,5.6,,4.3,8.9,,0,6.4,8.6,4.6,2.8,27.8,2.8,6.6
36.9,Deven Thompkins,TB,3,1.1,2.6,15.6,,2.3,4.4,0,0,2.1,1.7,0,2.1,0,-0.1,0,1,1.1
227,Amari Cooper,CLV,6.7,16,24.6,2.6,,14.8,4.2,14.9,24.9,15.8,7.4,3.6,6.4,14.7,20.9,49.5,,
34.8,Dyami Brown,WAS,0,5.5,0,7.1,2.1,0,0,0,5.3,12.1,1.7,0,1,,0,0,0,0
0,Ethan Fernea,IND,,,,,,,,,,,,,,,,0,,
204.4,Zay Flowers,BLT,17.7,10.8,13,8,12.3,17.1,11.5,6.9,2.1,12.3,8,23.2,,18,1.7,22.2,19.6,
50.2,Mike Williams,LAC,8.5,16.6,25.1,,,,,,,,,,,,,,,
151,Darius Slayton,NYG,4.5,9.2,6.2,4.3,5.5,10.9,3.2,0.9,9.9,5.1,18.2,3.6,,3.4,10.3,18,20.6,17.2
204.2,Justin Jefferson,MIN,24,26.9,27.9,26.5,5.8,,,,,,,,,4.7,15.4,26.1,10.9,36
56.9,Jake Bobo,SEA,0,1.3,7.5,0,,6.3,16.1,10.6,0,3.3,1.8,1.6,1.9,0,1.4,1.8,1.4,1.9
9.9,Ty Montgomery,NE,3.6,0,,0,1.5,1.9,0,,,0,,0,0.2,2.7,,,,
2.1,Tylan Wallace,BLT,,0,,,,,,,0,,0,0,,0,0,0,0,2.1
203.2,Terry McLaurin,WAS,5.1,16.4,10.1,16.6,8.9,14.1,15,17.3,12.3,7.3,9.3,9,0,,26.1,8,16.1,11.6
69.1,Brandon Powell,MIN,,,1.5,0,9.2,4.9,10.9,2.2,9.5,7.5,6.2,7.7,,0,0,8.3,0,1.2
89.4,Demarcus Robinson,LA,0,0,0,0,,,,,2.5,,4.4,3.3,15.5,13.6,14.7,20.2,15.2,0
52.7,Calvin Austin III,PIT,9.7,1.8,15.2,5.9,0,,0.1,4.9,1,1.9,0,1.5,2,1.2,0,6.7,0,0.8
146.8,Tyler Boyd,CIN,3,11.2,8.9,6.6,9.9,16.8,,13.6,8.6,19.7,5.2,5.3,9.2,4.3,7.3,10.9,4.9,1.4
78.9,Darnell Mooney,CHI,15.3,0,0,9.1,0,6.8,7.4,5.4,13.2,3.4,3.4,2.6,,6.4,3.4,2.5,,
62,Allen Robinson II,PIT,11.4,3.2,6.4,1.8,7.9,,1.7,0,2,0,5,2.1,4.9,3.1,4.9,7.6,0,0
22.5,Jalen Reagor,NE,,,,,,0,2.1,0,2.1,0,,,2.1,0,0,5.3,4.9,6
109.5,Odell Beckham Jr.,BLT,5.7,5.9,,,3.3,5.4,9.9,0,16.6,11,15.6,6.4,,19.7,2.4,3.3,4.3,
31.7,Derius Davis,LAC,1.5,1,1.3,8.7,,0,3.4,2.4,1,2.7,0.7,1.1,0,,0.8,2.4,0.2,4.5
39.9,Treylon Burks,TEN,4.7,10.6,1.5,,,,,0,4.8,,,,0,1.6,9.4,4.2,3.1,0
0,Tay Martin,SF,,,,,,,,,,,,,,,,,0,
21.5,Ben Skowronek,LA,0,3.1,1.3,0,0,0,0,9,-0.2,,0,0.9,3.2,0,0,0,0,4.2
217.2,Garrett Wilson,NYJ,14.4,16.3,9.8,15,8.4,17,,17.6,15,18.3,2.9,17.4,8,20.1,5.9,15.8,9.9,5.4
57.9,Braxton Berrios,MIA,7.2,4.8,5.3,17.4,3.3,4,1.7,2.8,0,,,0,0,3.3,2.2,0,3,2.9
0,Marcus Jones,NE,0,,,,,,,,,,,,,,,,,
157.2,Curtis Samuel,WAS,11,6.2,7.4,18.2,18.5,14.2,6.5,6.2,,2.6,1.5,19,10.5,,21.1,3,6.3,5
108.7,Joshua Palmer,LAC,1.4,4.3,16.6,10.7,,10,18.3,5.4,,,,,,,21.3,9.7,,11
0,Michael Bandy,DEN,,,,,,,,,,,,,,,,,0,
27.7,Mecole Hardman Jr.,KC,,1.6,0,0,,0,1.6,3.6,4,,3.2,,,,,,0,13.7
0,Phillip Dorsett,DEN,0,,,,,,,,,,,,,,,,0,
7.3,Devin Duvernay,BLT,0,1.5,0,2.8,0,0,0,0,3,0,,0,,,,,,
0,Damiere Byrd,ATL,,,,,,,,,0,,,,,,,,,
0,Lucky Jackson,MIN,,,,,,,,,,,,,,,,0,0,0
5.5,Mike Strachan,CAR,,,,,,,,,,5.5,0,,0,0,,,,
0,Tre'Quan Smith,DEN,,,,,,,,0,,,,,,,,,,
1.1,Keisean Nixon,GB,,,1.1,,,,,,,,,,,,,,,
1,Gunner Olszewski,NYG,,1,,,0,,,,,,,,,,0,0,0,0
9.9,Chris Conley,SF,,,0,,,,0,,,,,,0,0,0,0,0,9.9
2.2,Erik Ezukanma,MIA,1.7,0.5,,,,,,,,,,,,,,,,
84.8,Jonathan Mingo,CAR,3.7,5.6,5.1,,9.8,4.1,,10.2,1.5,5,1.6,10,12.9,4.2,7.2,1.9,2,
120,K.J. Osborn,MIN,6.1,12.4,10.6,2.6,9.9,8.8,9.7,17.9,3.7,,1.7,6.4,,5.5,1.3,20.5,0,2.9
0,Amari Rodgers,IND,,,,0,0,0,,,,,,,,,,,,
-0.2,Trent Taylor,CHI,0,0,,,,0,0,-0.2,0,0,0,0,,0,0,0,0,0
229,Adam Thielen,CAR,3.2,18.4,31.5,15.2,27.7,28.5,,15.2,7.9,10.2,15.4,1.2,5.5,12.4,8.3,15.4,9.8,3.2
36,Deonte Harty,BUF,4.3,2.4,3.3,3,8.2,7.3,2,0,0,0,-0.2,,,3.5,0,0,0,2.2
102,Kendrick Bourne,NE,24.4,6.9,8.6,5.6,6.3,19.3,18.3,12.6,,,,,,,,,,
162.4,Cooper Kupp,LA,,,,,19.8,27.8,4.9,6.1,6.8,,2.1,4.8,15.9,25.5,25.1,10.9,12.7,
243.7,Deebo Samuel,SF,11.3,22.1,25.1,0.6,11.5,1.1,,,,15.9,9.2,22.4,35.8,34,21.9,9.4,18.2,5.2
39.1,Scott Miller,ATL,0,0,0,0,3,1.4,5.6,9.4,0,7.2,,1.4,0,0,0,2.5,0,8.6
9.3,Keelan Doss,LAC,,,,0,,0,0,,,,,,,,,,7.5,1.8
37.9,Tyler Scott,CHI,3.4,0,1.6,1.9,0,3.2,5.3,2.1,-0.5,4.1,1.4,0,,2.1,7.6,0,3.5,2.2
229.3,Chris Olave,NO,19.2,14.6,18.4,1.4,9.2,16.6,12.7,9.6,16.6,21.4,,18.4,16.9,12.8,,21.3,5.6,14.6
11.2,Equanimeous St. Brown,CHI,,,,3.1,0,,,,,1.4,3.9,0,,,,,0,2.8
97.7,Trey Palmer,TB,8.8,3,1.8,8.6,,6.7,1.5,5.2,8.1,4.1,6.8,5.7,4.5,1.8,1.5,8.2,18.4,3
62,Isaiah Hodgins,NYG,3.4,14,0,5.4,3.9,0,3.3,0,0,0,4.2,8.2,,10.2,0,0,2.8,6.6
282.5,Mike Evans,TB,18.6,29.1,17,7,,8.9,20.2,12.9,12.7,26.3,15.3,25,29.2,1.8,15.7,27.6,10,5.2
53.7,Skyy Moore,KC,0.4,16,8.2,1.9,3.1,4.2,3.5,1.8,5.3,,1.4,6.4,1.5,0,0,,,
72.4,DeVante Parker,NE,,11.7,3.9,5.3,4,1.7,1.8,2.4,,,,7.2,10.4,,9.4,10.5,2.5,1.6
223.6,DeAndre Hopkins,TEN,13.5,8,7.8,10.3,22,3,,34.8,10.5,5.7,15.9,7.9,18.9,25.4,4.1,4,14.2,17.6
137.6,Tee Higgins,CIN,0,28.9,4.1,3.9,,4,,11.9,19,,,,6.6,9.2,22.1,25,2.9,
36.4,Julio Jones,PHI,,,,,,,1.3,7.8,0,,2.5,1,0,0,1.6,1.5,17.4,3.3
20.6,Isaiah McKenzie,IND,0,1.7,1.3,1.6,0.4,4.3,0.7,0,3.2,7.1,,0.3,0,0,,,,
21.5,Laviska Shenault Jr.,CAR,4.1,0.7,1.7,2.9,2.7,4.7,,,,,2.9,1.8,,,,,,
14.7,Charlie Jones,CIN,,,1.6,,,,,,,,0,0,0,0,3,0.9,,9.2
3.3,Malik Taylor,NYJ,,,,,,,,0,1.7,1.6,,,,,,,,
0,Matt Gay,IND,,,,,,,,,,,,,,,,,,0
20.4,David Moore,TB,,,,,,,,,,,,0,0,2.1,14.8,1.7,0,1.8
11.3,Justyn Ross,KC,1.6,0,0,0,4.8,0,0,,,,,,,,,1.2,0,3.7
60.8,Jalen Tolbert,DAL,0,4.8,0,9.3,0,0,,0,13.9,2.2,3.2,6.9,2.7,0,0,7.1,1.9,8.8
62.6,Trenton Irwin,CIN,0,0,,2.7,14,0,,4.4,0,13.4,6.6,3.5,3.5,0,0,7.7,1.4,5.4
136.1,Elijah Moore,CLV,9.2,7.1,13.8,2,,6.7,9.9,5,3.4,15.4,12,7.4,12.3,7.2,3.7,3.9,17.1,0
405.2,CeeDee Lamb,DAL,11.7,25.3,10.2,14.8,8.9,18.7,,41,30.1,39.5,16.5,15.3,32.6,19.1,18.6,25.2,42.2,35.5
0,Kirk Merritt,NO,0,,,,,,,,,,,,,,,,,
151.6,Rashid Shaheed,NO,21,10.3,0,6.3,4.8,18.3,7.2,24.3,5.2,7.4,,2.9,,,6.6,18.4,3.4,15.5
6.9,Austin Trammell,LA,,0,,,0,0,0,0,1.6,,5.3,0,0,0,0,,0,0
174.4,Romeo Doubs,GB,18.6,5,18.3,18.5,1.4,,11,11.8,6.6,12.1,16.3,6.7,11.2,7.2,6,17.9,5.8,0
24.9,Jalen Guyton,LAC,,,,,,,,,0,14.1,,1.4,1.5,1.8,3.9,2.2,0,
14.9,Randall Cobb,NYJ,0,0,2.2,2.8,0,0,,,,,,0,,8.5,0,,0,1.4
59.7,KaVontae Turpin,DAL,10.5,2.5,0,6.1,9.6,0,,2.3,7.5,,4.3,10.4,2,2.2,0,1.8,0,0.5
32.2,John Metchie III,HST,,2.7,3.3,3.2,4,0,,0,2.4,4.5,2.2,1.6,1.9,1.6,1.1,0,2.2,1.5
0,Luke Rhodes,IND,,,,,,,,,,,,,,,,,,0
22.5,Lynn Bowden Jr.,NO,,,0,0,0,0,0,0,0,2.2,,4,0.9,6.4,6.1,0,1.6,1.3
0,N'Keal Harry,MIN,,,,,0,0,0,0,0,0,0,0,,,,,,
109.2,Demario Douglas,NE,8,3.9,3,6.5,3.4,,11.4,7.9,10.5,14.4,,10.9,,,6.3,12.4,7.3,3.3
171.2,Brandin Cooks,DAL,4.2,,3.7,6.7,2.3,15,,14.2,1.7,32.3,7.2,17.2,14.5,5.7,3,10.3,17,16.2
265.4,Davante Adams,LV,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,,12.3,24.1,1.4,37.6,15.6
133.2,Wan'Dale Robinson,NYG,,,6.1,9.7,6.9,14.2,3.2,1.7,13.5,2.6,6.7,6.6,,17.5,6.5,4.6,19.9,13.5
258.4,Nico Collins,HST,14,27.6,5.4,35.8,6.9,12,,7,14.4,,13.5,23.4,34.1,2.3,,11.8,15.7,34.5
89.8,Michael Thomas,NO,11.1,12.5,11,9.3,10.5,9.5,13.2,10.8,0,1.9,,,,,,,,
60.1,Allen Lazard,NYJ,6.6,4.3,6.9,15.1,6.3,1.8,,7.5,3.8,2.7,0,,0,0,5.1,0,,
215.2,Jayden Reed,GB,6.6,19.7,9.3,8.5,1.7,,11.1,12.3,7,19.4,19.2,15,5.6,20.5,17.2,,26.9,15.2
0,Dan Chisena,ARZ,,,,,,,,,,,,,0,,,,,
69.6,Cedrick Wilson Jr.,MIA,,,0,2.6,9.2,0,6.8,7.1,10.1,,5.3,0,0,5,2.2,7.2,10.7,3.4
1.6,Mason Kinsey,TEN,,,0,0,,,,,,,,,,,0,1.6,0,0
1,Blake Gillikin,ARZ,,,,,,,,,,,,,,,,,,0
22.3,Sterling Shepard,NYG,0,1.4,0,1.6,2.3,0,1.3,,0,7.2,1.5,1.6,,,0,0,0,5.4
