Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Jordy Nelson,GNB,29,19,65.52%,127,11,28.40%,15,11,73.33%,45,9,30.60%,All Jordy Nelson red zone receiving plays
Kyle Rudolph,MIN,24,14,58.33%,99,5,32.40%,12,6,50.00%,24,4,37.50%,All Kyle Rudolph red zone receiving plays
Anquan Boldin,DET,22,14,63.64%,107,6,26.20%,11,7,63.64%,20,4,29.70%,All Anquan Boldin red zone receiving plays
Odell Beckham,NYG,21,9,42.86%,54,5,35.00%,10,5,50.00%,27,5,38.50%,All Odell Beckham red zone receiving plays
Michael Crabtree,OAK,21,12,57.14%,96,6,23.30%,8,4,50.00%,12,4,17.80%,All Michael Crabtree red zone receiving plays
Brandon Marshall,NYJ,21,7,33.33%,43,3,30.00%,8,3,37.50%,-1,1,27.60%,All Brandon Marshall red zone receiving plays
Davante Adams,GNB,20,12,60.00%,60,7,19.60%,10,7,70.00%,24,5,20.40%,All Davante Adams red zone receiving plays
Larry Fitzgerald,ARI,20,13,65.00%,95,4,25.60%,12,5,41.67%,18,4,30.80%,All Larry Fitzgerald red zone receiving plays
Seth Roberts,OAK,20,8,40.00%,53,4,22.20%,9,5,55.56%,25,3,20.00%,All Seth Roberts red zone receiving plays
Allen Robinson,JAX,19,9,47.37%,52,6,28.40%,11,5,45.45%,15,4,42.30%,All Allen Robinson red zone receiving plays
Michael Thomas,NOR,19,13,68.42%,95,7,18.40%,11,7,63.64%,34,6,18.30%,All Michael Thomas red zone receiving plays
Antonio Gates,SDG,18,8,44.44%,57,7,20.70%,7,5,71.43%,16,5,20.00%,All Antonio Gates red zone receiving plays
Emmanuel Sanders,DEN,18,8,44.44%,46,3,28.60%,11,6,54.55%,30,3,30.60%,All Emmanuel Sanders red zone receiving plays
Demaryius Thomas,DEN,18,12,66.67%,86,4,28.60%,11,5,45.45%,18,3,30.60%,All Demaryius Thomas red zone receiving plays
Mike Evans,TAM,17,8,47.06%,65,7,25.40%,9,6,66.67%,32,6,33.30%,All Mike Evans red zone receiving plays
Devonta Freeman,ATL,17,12,70.59%,74,2,18.30%,7,4,57.14%,14,1,14.00%,All Devonta Freeman red zone receiving plays
Jimmy Graham,SEA,17,6,35.29%,78,4,24.30%,3,1,33.33%,1,1,9.70%,All Jimmy Graham red zone receiving plays
Brandon LaFell,CIN,17,7,41.18%,39,4,27.00%,10,6,60.00%,30,4,33.30%,All Brandon LaFell red zone receiving plays
Golden Tate,DET,17,9,52.94%,42,1,20.20%,5,3,60.00%,14,1,13.50%,All Golden Tate red zone receiving plays
Cameron Brate,TAM,16,10,62.50%,66,8,23.90%,9,7,77.78%,34,6,33.30%,All Cameron Brate red zone receiving plays
Jamison Crowder,WAS,16,9,56.25%,65,3,21.60%,7,2,28.57%,10,1,18.90%,All Jamison Crowder red zone receiving plays
Coby Fleener,NOR,16,9,56.25%,57,1,15.50%,7,4,57.14%,16,1,11.70%,All Coby Fleener red zone receiving plays
Hunter Henry,SDG,16,10,62.50%,90,7,18.40%,8,6,75.00%,36,5,22.90%,All Hunter Henry red zone receiving plays
Travis Kelce,KAN,16,8,50.00%,56,3,20.80%,7,3,42.86%,6,1,21.20%,All Travis Kelce red zone receiving plays
DeMarco Murray,TEN,16,12,75.00%,58,3,24.20%,7,5,71.43%,16,3,23.30%,All DeMarco Murray red zone receiving plays
Greg Olsen,CAR,16,9,56.25%,69,2,24.20%,5,2,40.00%,7,1,23.80%,All Greg Olsen red zone receiving plays
Delanie Walker,TEN,16,8,50.00%,64,5,24.20%,7,4,57.14%,29,4,23.30%,All Delanie Walker red zone receiving plays
Tyrell Williams,SDG,16,9,56.25%,45,2,18.40%,10,6,60.00%,18,2,28.60%,All Tyrell Williams red zone receiving plays
Jason Witten,DAL,16,10,62.50%,84,2,30.20%,4,2,50.00%,15,2,13.30%,All Jason Witten red zone receiving plays
Doug Baldwin,SEA,15,11,73.33%,83,6,21.40%,7,4,57.14%,10,3,22.60%,All Doug Baldwin red zone receiving plays
Kelvin Benjamin,CAR,15,8,53.33%,84,5,22.70%,6,4,66.67%,30,4,28.60%,All Kelvin Benjamin red zone receiving plays
Antonio Brown,PIT,15,9,60.00%,64,4,23.40%,7,3,42.86%,13,3,24.10%,All Antonio Brown red zone receiving plays
Julian Edelman,NWE,15,6,40.00%,37,2,20.80%,9,2,22.22%,4,1,23.70%,All Julian Edelman red zone receiving plays
Quincy Enunwa,NYJ,15,6,40.00%,22,1,21.40%,10,4,40.00%,15,1,34.50%,All Quincy Enunwa red zone receiving plays
Marvin Jones,DET,15,6,40.00%,41,2,17.90%,8,3,37.50%,9,2,21.60%,All Marvin Jones red zone receiving plays
Rishard Matthews,TEN,15,12,80.00%,89,7,22.70%,7,6,85.71%,23,5,23.30%,All Rishard Matthews red zone receiving plays
Nelson Agholor,PHI,14,5,35.71%,34,0,16.30%,3,1,33.33%,4,0,12.00%,All Nelson Agholor red zone receiving plays
Zach Ertz,PHI,14,6,42.86%,39,3,16.30%,6,2,33.33%,10,2,24.00%,All Zach Ertz red zone receiving plays
Jermaine Kearse,SEA,14,1,7.14%,2,1,20.00%,10,1,10.00%,2,1,32.30%,All Jermaine Kearse red zone receiving plays
Theo Riddick,DET,14,11,78.57%,57,5,16.70%,6,4,66.67%,8,3,16.20%,All Theo Riddick red zone receiving plays
Charles Clay,BUF,13,7,53.85%,70,3,26.50%,4,1,25.00%,7,1,20.00%,All Charles Clay red zone receiving plays
Randall Cobb,GNB,13,9,69.23%,47,4,12.70%,7,6,85.71%,26,4,14.30%,All Randall Cobb red zone receiving plays
Chris Conley,KAN,13,3,23.08%,25,0,16.90%,4,1,25.00%,5,0,12.10%,All Chris Conley red zone receiving plays
