Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link,-9999
Ja'Marr Chase,CIN,35,21,60.00%,169,8,30.2%,17,7,41.18%,33,5,26.2%,All Ja'Marr Chase red zone receiving plays,ChasJa00
Amon-Ra St. Brown,DET,31,23,74.19%,152,9,34.8%,15,12,80.00%,64,9,36.6%,All Amon-Ra St. Brown red zone receiving plays,StxxAm00
Justin Jefferson,MIN,25,14,56.00%,113,6,28.7%,13,5,38.46%,27,3,29.5%,All Justin Jefferson red zone receiving plays,JeffJu00
Travis Kelce,KAN,25,18,72.00%,97,3,26.0%,9,7,77.78%,21,2,19.6%,All Travis Kelce red zone receiving plays,KelcTr00
Davante Adams,2TM,24,11,45.83%,56,6,,16,7,43.75%,19,5,,All Davante Adams red zone receiving plays,AdamDa01
Tee Higgins,CIN,24,14,58.33%,95,7,20.7%,14,6,42.86%,22,5,21.5%,All Tee Higgins red zone receiving plays,HiggTe00
Drake London,ATL,24,14,58.33%,114,6,42.1%,10,4,40.00%,24,4,52.6%,All Drake London red zone receiving plays,LondDr00
Garrett Wilson,NYJ,23,11,47.83%,69,4,26.7%,11,6,54.55%,30,4,26.8%,All Garrett Wilson red zone receiving plays,WilsGa00
Zach Ertz,WAS,21,13,61.90%,92,7,30.9%,10,6,60.00%,30,6,31.3%,All Zach Ertz red zone receiving plays,ErtzZa00
D.J. Moore,CHI,21,13,61.90%,95,2,30.9%,6,5,83.33%,32,2,25.0%,All D.J. Moore red zone receiving plays,MoorD.00
Courtland Sutton,DEN,21,11,52.38%,99,6,31.8%,9,6,66.67%,42,4,30.0%,All Courtland Sutton red zone receiving plays,SuttCo00
Trey McBride,ARI,20,9,45.00%,60,2,32.8%,13,4,30.77%,10,2,43.3%,All Trey McBride red zone receiving plays,McBrTr01
George Kittle,SFO,19,16,84.21%,127,8,25.0%,11,8,72.73%,41,6,30.6%,All George Kittle red zone receiving plays,KittGe00
Tyreek Hill,MIA,18,9,50.00%,57,5,21.7%,9,5,55.56%,22,4,22.5%,All Tyreek Hill red zone receiving plays,HillTy00
Jonnu Smith,MIA,18,14,77.78%,77,7,21.7%,13,9,69.23%,47,7,32.5%,All Jonnu Smith red zone receiving plays,SmitJo01
Jordan Addison,MIN,17,15,88.24%,98,6,19.5%,9,8,88.89%,42,4,20.5%,All Jordan Addison red zone receiving plays,AddiJo00
Aaron Jones,MIN,17,13,76.47%,53,2,19.5%,7,6,85.71%,13,2,15.9%,All Aaron Jones red zone receiving plays,JoneAa00
Sam LaPorta,DET,17,10,58.82%,68,4,19.1%,9,5,55.56%,21,4,22.0%,All Sam LaPorta red zone receiving plays,LaPoSa01
Rome Odunze,CHI,17,6,35.29%,36,3,25.0%,4,2,50.00%,5,2,16.7%,All Rome Odunze red zone receiving plays,OdunRo00
Wan'Dale Robinson,NYG,17,11,64.71%,61,3,38.6%,9,5,55.56%,24,3,37.5%,All Wan'Dale Robinson red zone receiving plays,RobiWa01
Xavier Worthy,KAN,17,10,58.82%,70,4,17.7%,7,4,57.14%,34,4,15.2%,All Xavier Worthy red zone receiving plays,WortXa00
Hunter Henry,NWE,16,8,50.00%,48,2,29.1%,10,5,50.00%,22,2,41.7%,All Hunter Henry red zone receiving plays,HenrHu00
CeeDee Lamb,DAL,16,9,56.25%,57,3,25.4%,3,1,33.33%,7,1,10.7%,All CeeDee Lamb red zone receiving plays,LambCe00
George Pickens,PIT,16,7,43.75%,72,3,28.1%,7,0,0.00%,0,0,28.0%,All George Pickens red zone receiving plays,PickGe00
Brian Thomas,JAX,16,11,68.75%,104,8,27.1%,9,5,55.56%,22,4,30.0%,All Brian Thomas red zone receiving plays,ThomBr06
Keenan Allen,CHI,15,6,40.00%,44,5,22.1%,8,4,50.00%,22,4,33.3%,All Keenan Allen red zone receiving plays,AlleKe00
Mark Andrews,BAL,15,13,86.67%,121,11,24.6%,6,6,100.00%,34,6,20.0%,All Mark Andrews red zone receiving plays,AndrMa00
Mike Evans,TAM,15,8,53.33%,32,7,19.5%,10,6,60.00%,10,6,20.8%,All Mike Evans red zone receiving plays,EvanMi00
Jauan Jennings,SFO,15,8,53.33%,63,5,19.7%,8,3,37.50%,14,3,22.2%,All Jauan Jennings red zone receiving plays,JennJa00
Tucker Kraft,GNB,15,11,73.33%,103,6,21.1%,3,2,66.67%,10,2,12.0%,All Tucker Kraft red zone receiving plays,KrafTu00
De'Von Achane,MIA,14,12,85.71%,91,6,16.9%,5,4,80.00%,18,2,12.5%,All De'Von Achane red zone receiving plays,AchaDe00
Brock Bowers,LVR,14,6,42.86%,39,1,25.0%,8,2,25.00%,5,0,28.6%,All Brock Bowers red zone receiving plays,BoweBr01
Terry McLaurin,WAS,14,12,85.71%,104,10,20.6%,8,8,100.00%,38,7,25.0%,All Terry McLaurin red zone receiving plays,McLaTe00
Jakobi Meyers,LVR,14,7,50.00%,62,3,25.0%,6,2,33.33%,10,2,21.4%,All Jakobi Meyers red zone receiving plays,MeyeJa01
Cade Otton,TAM,14,10,71.43%,58,4,18.2%,8,4,50.00%,21,3,16.7%,All Cade Otton red zone receiving plays,OttoCa00
Dontayvion Wicks,GNB,14,11,78.57%,89,4,19.7%,6,4,66.67%,10,2,24.0%,All Dontayvion Wicks red zone receiving plays,WickDo00
Nico Collins,HOU,13,7,53.85%,21,5,20.3%,9,5,55.56%,22,5,25.0%,All Nico Collins red zone receiving plays,CollNi00
Marvin Harrison,ARI,13,5,38.46%,48,5,21.3%,6,3,50.00%,21,3,20.0%,All Marvin Harrison red zone receiving plays,HarrMa09
Jerry Jeudy,CLE,13,4,30.77%,21,1,22.8%,5,1,20.00%,6,1,18.5%,All Jerry Jeudy red zone receiving plays,JeudJe00
Isaiah Likely,BAL,13,8,61.54%,56,5,21.3%,8,5,62.50%,26,4,26.7%,All Isaiah Likely red zone receiving plays,LikeIs00
Malik Nabers,NYG,13,4,30.77%,15,3,29.5%,10,4,40.00%,15,3,41.7%,All Malik Nabers red zone receiving plays,NabeMa00
Kyle Pitts,ATL,13,4,30.77%,38,2,22.8%,4,0,0.00%,0,0,21.1%,All Kyle Pitts red zone receiving plays,PittKy00
