Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Antonio Brown,,,WR1,,,,,,1
2,Julio Jones,,,WR2,,,,,,2.3
3,Odell Beckham Jr.,,,WR3,,,,,,2.8
4,Todd Gurley,II,,RB1,,,,,,4.8
5,DeAndre Hopkins,BAL,8,WR4,,,,,,5.8
6,A.J. Green,,,WR5,,,,,,6
7,David Johnson,,,RB2,,,,,,6
8,Ezekiel Elliott,,,RB3,,,,,,9.8
9,Allen Robinson,II,,WR6,,,,,,9.8
10,Adrian Peterson,,,RB4,,,,,,10.8
11,Rob Gronkowski,,,TE1,,,,,,11.5
12,Lamar Miller,,,RB5,,,,,,11.8
13,Le'Veon Bell,,,RB6,,,,,,12.5
14,Dez Bryant,,,WR7,,,,,,12.5
15,Keenan Allen,,,WR8,,,,,,15
16,Brandon Marshall,,,WR9,,,,,,15.8
17,Devonta Freeman,,,RB7,,,,,,17.5
18,Mike Evans,TB,6,WR10,,,,,,18
19,Jordy Nelson,,,WR11,,,,,,18.5
20,Alshon Jeffery,,,WR12,,,,,,20.3
21,Amari Cooper,,,WR13,,,,,,21.3
22,Jamaal Charles,,,RB8,,,,,,21.8
23,Brandin Cooks,NO,5,WR14,,,,,,23.8
24,Mark Ingram,II,,RB9,,,,,,24.3
25,Eddie Lacy,,,RB10,,,,,,25.8
26,LeSean McCoy,,,RB11,,,,,,26.3
27,T.Y. Hilton,,,WR15,,,,,,28
28,Demaryius Thomas,,,WR16,,,,,,28
29,Sammy Watkins,,,WR17,,,,,,28.5
30,Doug Martin,,,RB12,,,,,,29.5
31,Jarvis Landry,,,WR18,,,,,,30
32,Jordan Reed,,,TE2,,,,,,33.5
33,Cam Newton,,,QB1,,,,,,34.3
34,C.J. Anderson,,,RB13,,,,,,35.3
35,Randall Cobb,,,WR19,,,,,,36.5
36,Julian Edelman,,,WR20,,,,,,39.8
37,Matt Forte,,,RB14,,,,,,40.5
38,Aaron Rodgers,,,QB2,,,,,,40.5
39,Latavius Murray,,,RB15,,,,,,41
40,Jeremy Maclin,,,WR21,,,,,,41.3
41,Thomas Rawls,,,RB16,,,,,,42.5
42,Carlos Hyde,,,RB17,,,,,,43.3
43,Greg Olsen,,,TE3,,,,,,44.5
44,DeMarco Murray,,,RB18,,,,,,45
45,Golden Tate,,,WR22,,,,,,45.3
46,Kelvin Benjamin,,,WR23,,,,,,46.3
47,Donte Moncrief,,,WR24,,,,,,46.5
48,Eric Decker,,,WR25,,,,,,49
49,Jeremy Langford,,,RB19,,,,,,49.5
50,Doug Baldwin,,,WR26,,,,,,51.8
51,Russell Wilson,NYG,8,QB3,,,,,,53.5
52,Andrew Luck,,,QB4,,,,,,53.5
53,Danny Woodhead,,,RB20,,,,,,55.8
54,Travis Kelce,KC,5,TE4,,,,,,57.5
55,Larry Fitzgerald,,,WR27,,,,,,57.5
56,Michael Floyd,,,WR28,,,,,,58.5
57,Jeremy Hill,,,RB21,,,,,,59.8
58,Jordan Matthews,,,TE5,,,,,,60.8
59,Delanie Walker,,,TE6,,,,,,61.8
60,Drew Brees,,,QB5,,,,,,61.8
61,Giovani Bernard,,,RB22,,,,,,62
62,Melvin Gordon,III,,RB23,,,,,,64.5
63,Duke Johnson Jr.,,,RB24,,,,,,64.8
64,Ryan Mathews,,,RB25,,,,,,64.8
65,Marvin Jones Jr.,,,WR29,,,,,,65.8
66,Coby Fleener,,,TE7,,,,,,66
67,Arian Foster,,,RB26,,,,,,66.5
68,Emmanuel Sanders,,,WR30,,,,,,67
69,Allen Hurns,,,WR31,,,,,,69.5
70,Ben Roethlisberger,,,QB6,,,,,,70
71,Jonathan Stewart,,,RB27,,,,,,70
72,John Brown,,,WR32,,,,,,70.8
73,Tom Brady,,,QB7,,,,,,72.3
74,Tyler Lockett,TEN,13,WR33,,,,,,72.8
75,Josh Gordon ,,,WR34,,,,,,76.3
76,Matt Jones,,,RB28,,,,,,76.3
77,Michael Crabtree,,,WR35,,,,,,76.8
78,Frank Gore,,,RB29,,,,,,78.5
79,Carson Palmer,,,QB8,,,,,,80.3
80,Zach Ertz,WAS,9,TE8,,,,,,80.5
81,DeSean Jackson,,,WR36,,,,,,83.3
82,DeAngelo Williams,,,RB30,,,,,,84.5
83,Gary Barnidge,,,TE9,,,,,,84.8
84,Ameer Abdullah,,,RB31,,,,,,84.8
85,Rashad Jennings,,,RB32,,,,,,87.3
86,DeVante Parker,,,WR37,,,,,,88.5
87,Julius Thomas,,,TE10,,,,,,90.8
88,Sterling Shepard,TB,6,WR38,,,,,,91
89,Charles Sims,,,RB33,,,,,,91
90,Blake Bortles,,,QB9,,,,,,92.3
91,Derrick Henry,BAL,8,RB34,,,,,,92.5
92,Eli Manning,,,QB10,,,,,,92.8
93,T.J. Yeldon,,,RB35,,,,,,93.3
94,Chris Ivory,,,RB36,,,,,,93.5
95,Antonio Gates,,,TE11,,,,,,94.5
96,Kevin White,,,WR39,,,,,,94.8
97,Willie Snead,IV,,WR40,,,,,,95.5
98,Stefon Diggs,NE,9,WR41,,,,,,97.3
99,Theo Riddick,,,RB37,,,,,,100
100,Philip Rivers,,,QB11,,,,,,102.5
101,LeGarrette Blount,,,RB38,,,,,,108.3
102,Bilal Powell,,,RB39,,,,,,110.3
103,Derek Carr,,,QB12,,,,,,111.3
104,Isaiah Crowell,,,RB40,,,,,,111.3
105,Kamar Aiken,,,WR42,,,,,,112.8
106,Martellus Bennett,,,TE12,,,,,,113.3
107,Travis Benjamin,,,WR43,,,,,,115.8
108,Tavon Austin,,,WR44,,,,,,116
109,Corey Coleman,,,WR45,,,,,,117
110,Tyler Eifert ,,,TE13,,,,,,117.5
111,Devin Funchess,,,WR46,,,,,,118
112,Tevin Coleman,,,RB41,,,,,,118
113,Jay Ajayi,,,RB42,,,,,,118
114,Vincent Jackson,,,WR47,,,,,,118.5
115,Dwayne Allen,,,TE14,,,,,,120
116,Kirk Cousins,ATL,11,QB13,,,,,,120.5
117,Justin Forsett,,,RB43,,,,,,122
118,Torrey Smith,,,WR48,,,,,,123.3
119,Stephen Gostkowski,,,K1,,,,,,124.8
120,Markus Wheaton,,,WR49,,,,,,125.5
121,Darren Sproles,,,RB44,,,,,,125.5
122,Tyrod Taylor,NYJ,11,QB14,,,,,,128.3
123,Jimmy Graham,,,TE15,,,,,,129.5
124,Tajae Sharpe,,,WR50,,,,,,129.5
125,James White,,,RB45,,,,,,129.8
126,Jameis Winston,NYG,8,QB15,,,,,,129.8
127,Matthew Stafford,LAR,8,QB16,,,,,,130
128,Michael Thomas,,,WR51,,,,,,132
129,Dion Lewis,,,RB46,,,,,,134.5
130,Jason Witten,,,TE16,,,,,,136
131,Mohamed Sanu Sr.,,,WR52,,,,,,138
132,Eric Ebron,,,TE17,,,,,,139.5
133,Jared Cook,,,TE18,,,,,,141
134,Stephen Hauschka,,,K2,,,,,,142
135,Spencer Ware,,,RB47,,,,,,143
136,Shane Vereen,,,RB48,,,,,,145.3
137,Phillip Dorsett,II,,WR53,,,,,,146.5
138,Devontae Booker,,,RB49,,,,,,147.5
139,Jerick McKinnon,,,RB50,,,,,,147.8
140,Christine Michael,,,RB51,,,,,,148.8
141,Zach Miller,,,TE19,,,,,,150.5
142,DeAndre Washington,,,RB52,,,,,,152.3
143,Alfred Morris,,,RB53,,,,,,153
144,Marcus Mariota,WAS,9,QB17,,,,,,153.3
145,Denver Broncos,DST,11,DST1,,,,,,97.7
146,Rishard Matthews,,,WR54,,,,,,154
147,Andy Dalton,CAR,7,QB18,,,,,,154
148,Tyler Boyd,,,WR55,,,,,,154.5
149,Matt Ryan,,,QB19,,,,,,155.3
150,Justin Tucker,,,K3,,,,,,157
151,Steve Smith,,,WR56,,,,,,157
152,Chris Hogan,,,WR57,,,,,,159.5
153,Graham Gano,NYG,8,K4,,,,,,160.3
154,James Starks,,,RB54,,,,,,160.3
155,Chandler Catanzaro,,,K5,,,,,,161.3
156,Seattle Seahawks,DST,5,DST2,,,,,,109
157,Arizona Cardinals,DST,9,DST3,,,,,,111
158,William Fuller,V,,WR58,,,,,,164.5
159,Ryan Tannehill,,,QB20,,,,,,165.5
160,Dorial Green-Beckham,,,WR59,,,,,,167.3
161,Terrance West,,,RB55,,,,,,168.5
162,Mike Wallace,,,WR60,,,,,,168.8
163,Carolina Panthers,DST,7,DST4,,,,,,119.7
164,Dan Bailey,,,K6,,,,,,173.8
165,Pierre Garcon,,,WR61,,,,,,174
166,Chris Johnson,,,RB56,,,,,,176
167,Mason Crosby,,,K7,,,,,,177
168,Kenny Stills,,,WR62,,,,,,179.3
169,Virgil Green,,,TE20,,,,,,180
170,Brandon McManus,GB,4,K8,,,,,,181
171,Terrelle Pryor Sr.,,,WR63,,,,,,184.8
172,Ryan Fitzpatrick,,,QB21,,,,,,185.3
173,Kenneth Dixon,,,RB57,,,,,,185.5
174,Ted Ginn Jr.,,,WR64,,,,,,185.8
175,Houston Texans,DST,9,DST5,,,,,,141.7
176,Laquon Treadwell,IND,10,WR65,,,,,,142
177,Dak Prescott,DAL,7,QB22,,,,,,187
178,Kansas City Chiefs,DST,5,DST6,,,,,,144.3
179,Victor Cruz,,,WR66,,,,,,192
180,Robert Griffin,III,,QB23,,,,,,194
181,Minnesota Vikings,DST,6,DST7,,,,,,154.3
182,Sammie Coates,,,WR67,,,,,,156.3
183,Chris Thompson,,,RB58,,,,,,161.7
184,Charles Clay,,,TE21,,,,,,162
185,Los Angeles Rams,DST,8,DST8,,,,,,162.3
186,Austin Seferian-Jenkins,,,TE22,,,,,,163.7
187,C.J. Prosise,,,RB59,,,,,,164.7
188,Brock Osweiler,,,QB24,,,,,,205.8
189,New England Patriots,DST,9,DST9,,,,,,170.3
190,Javorius Allen,,,RB60,,,,,,172.7
191,Ladarius Green,,,TE23,,,,,,175.3
