team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,17,762,20,92,762,90.9,125,13
DAL,9,17,706,24,100,706,89.7,135,11
NE,19,17,579,25,72,579,88.3,116,19
PIT,25,17,705,26,91,705,88.2,142,25
LAC,27,17,740,30,109,740,87.8,160,21
KC,16,17,752,28,126,752,87.5,171,17
GB,12,17,645,26,102,645,87.3,146,18
ARZ,1,17,667,10,120,667,87.3,150,20
JAX,15,17,667,29,107,667,87.1,154,18
SF,28,17,562,24,85,562,86.9,128,19
LA,26,17,647,22,92,647,86.6,144,30
BUF,4,17,736,34,134,736,86.5,183,15
BLT,3,17,737,22,132,737,86.4,177,23
HST,13,17,612,18,107,612,86.4,146,21
CLV,8,17,597,14,103,597,86.2,141,24
PHI,24,17,580,20,125,580,85.4,157,12
DET,11,17,635,38,123,635,84.5,179,18
NO,20,17,579,26,119,579,84.5,162,17
MIN,18,17,652,36,138,652,84.4,189,15
WAS,32,17,635,25,122,635,84,175,28
CIN,7,17,628,31,112,628,84,172,29
DEN,10,17,602,32,105,602,84,165,28
NYJ,22,17,680,30,151,680,83.7,201,20
NYG,21,17,662,35,127,662,83.5,190,28
CHI,6,17,658,24,143,658,83.2,194,27
SEA,29,17,571,31,120,571,82.6,175,24
LV,23,17,686,43,145,686,82.5,214,26
CAR,5,17,679,35,151,679,82.3,213,27
ATL,2,17,629,50,123,629,82,200,27
IND,14,17,580,43,130,580,81.5,194,21
TEN,31,17,600,43,110,600,81.4,188,35
MIA,17,17,688,30,181,688,81.2,235,24
