Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
47.5,Elijah Mitchell,SF,1,,7.4,,,-0.3,-0.1,0.2,,2.3,2.4,4.6,1.3,,,,14,14.7
23.1,Nick Chubb,CLV,16.7,6.4,,,,,,,,,,,,,,,,
193.8,Austin Ekeler,LAC,26.4,,,,,10.2,5.6,25.3,21,21.5,9,11.4,4.7,21,7.8,11.6,6.2,12.1
91.6,Miles Sanders,CAR,13.8,7.7,17.2,6.2,3.2,,,0,9.1,3,6.2,2.8,3.9,7.4,3.3,1.8,4.2,1.8
0,SaRodorick Thompson,SEA,,,,,,,0,,,,,,,,,,,
76.7,Dameon Pierce,HST,6.7,5.5,14.9,11.8,9.2,3.4,,4.6,,,,2.8,10.1,1.7,0.3,2.6,3.1,
82.9,Latavius Murray,BUF,2.7,11.1,9.1,7.6,1.7,4.5,4.8,2.1,2,14.9,3.5,7.8,,4,7.1,0,0,
46.2,Royce Freeman,LA,,,,,,,6.6,10.4,3.2,,7.3,13.7,0,0.9,1.6,,,2.5
6.4,Ke'Shawn Vaughn,TB,,,,2.9,,0.9,0.7,0.1,1.8,,,,,,,,,
13.3,Mike Boone,HST,4.8,,0,0.4,0,1.1,,2.6,0.3,2.6,1.5,,,,,,,
7.5,Damien Williams,ARZ,,,,,,5.4,0.2,1.9,,,,,,,,,,
137.2,Alexander Mattison,MIN,13.4,6.9,17.5,10.8,12.6,11.2,6.2,4.3,17.3,4.3,9,8.3,,6.6,,-0.1,5,3.9
58.8,Michael Carter,ARZ,3.8,2.1,1.3,4.1,5.2,0.5,,0.2,8.4,0,,7.4,2.5,,6.7,0,13.7,2.9
200.4,Jaylen Warren,PIT,6.8,12.6,8.2,11.5,10.9,,10.1,7.8,14.3,19,23.5,9.2,6.5,8,11.8,10.4,19.8,10
0,Anthony Walker Jr.,CLV,,,,,,,0,,,,,,,0,,,,
0,Nephi Sewell,NO,,,,,0,,,,,,,,,,,,,
13,Eric Gray,NYG,,,,,3.6,0.2,,,,,,0,,0,3.6,,1.8,3.8
0,Travis Homer,CHI,,,0,,,,0,0,,,,,,,,,,
251.6,Bijan Robinson,ATL,20.3,21.2,10,18.7,13.8,13,0.3,12.2,7.9,17.6,,27.3,10.9,19.8,2.4,19.2,10.9,26.1
201.3,D'Andre Swift,PHI,1.3,27.1,14.8,17.9,16.8,19.8,10.5,14.4,9.4,,19.7,9.4,4,3.9,9.5,15.2,7.6,
32.2,Tony Jones Jr.,ARZ,0.5,15.4,9.2,0,,,,,2.7,1.3,3.1,,,,,,,
17.8,Boston Scott,PHI,2,4,,,,2.6,,1.4,,,0.8,1.4,3.9,0.9,0,0.3,,0.5
3.1,Zonovan Knight,DET,,,1.3,,1.8,,,,,,,,,,,,,
0,Reed Blankenship,PHI,,,,,,,,,,,0,,,,,,,
222.6,Tony Pollard,DAL,22.2,17.9,15.1,9,10.4,17,,6.5,9.3,5.5,18,22.3,17.3,16.6,7.7,5.3,5.9,16.6
12.7,Hunter Luepke,DAL,0,0,3.1,6.4,0,0,,0.8,0,0,0,0,0,0,0.3,2.1,0,0
19,Isaiah Spiller,LAC,,0.3,0.7,4.7,,0.2,,1.8,,,,,,1.9,5,1.5,2.9,
9.1,Brandon Bolden,LV,,,,,,,,,,,,,,,8.5,0,0.6,
14.9,Trayveon Williams,CIN,0.7,2.4,0.4,0.4,0.5,2.3,,0.6,1.3,1.2,2,0,0,0.9,2.2,0,0.2,-0.2
11.6,Gary Brightwell,NYG,3.1,0,5.6,2.9,,,,,,,,,,,,,,
3.9,Elijah Dotson,LAC,0,3.9,,0,,,,,,,,,,,,,,
244.1,Jahmyr Gibbs,DET,8,12.6,9.2,9.1,,,27.6,29.9,,26.2,21.5,11.3,6.4,17.2,24.8,26,5.3,9
2.2,Jakob Johnson,LV,0,0,0,2.2,0,0,0,0,,,,,,0,0,0,0,0
43.5,Darrell Henderson,LA,,,,,,,13.6,11.5,5.5,,12.9,,,,,,,
19,Damien Harris,BUF,3.9,9.3,1.5,2.9,1.3,0.1,,,,,,,,,,,,
211.2,Jerome Ford,CLV,3.6,22.1,19.1,9.5,,11.1,17.4,4.9,12.7,11.9,11.9,11.9,14.2,13.2,7.1,9.3,26.1,5.2
20.1,Ronnie Rivers,LA,,1.4,,7.7,0.1,2.3,,,,,,,,,,2,1.4,5.2
39.9,Chris Rodriguez Jr.,WAS,0.7,0,0,,,2.3,3.1,,,,5.8,2.1,2.9,,3.5,19.5,,
20.3,Trey Sermon,IND,,,3.1,0.7,0,0,,,0,0,,0,0,1.3,8.8,0.3,6.1,
137,Aaron Jones,GB,26.7,,,2.4,,,8.7,8.6,19.9,9.4,2.7,,,,10.9,14.5,14.1,19.1
1.3,Kene Nwangwu,MIN,,,,,,,,,,0.9,,,,0.3,0.1,,,
80.2,Jerick McKinnon,KC,2,5.2,17.8,0.7,4.5,5,4.6,1.8,10.4,,3.5,,,12.7,12,,,
4.3,Jashaun Corbin,NYG,,,,,,,,,,4.3,,,,,,,,
10.2,C.J. Ham,MIN,2.7,0,1.7,0,0,0,0,1.2,0,0,0,2.3,,0.7,0,1.6,0,0
70.1,Clyde Edwards-Helaire,KC,3.9,3.7,12.7,2.3,0.4,2.6,0.5,0.4,,,2,0.5,2.4,8.8,20.1,7.8,,2
117.6,AJ Dillon,GB,5.6,7.3,3.3,1.1,13.6,,11.5,10.2,5.3,9.1,10.1,11.1,9.7,9.8,,7.2,2.7,
30,Darrynton Evans,MIA,,,,,,4.4,6.4,13,4.1,0.5,,1.6,,,,,,
34.8,Andrew Beck,HST,0,0.2,0,0,0,0,,7.9,2.5,,0,1.1,1.5,3.6,0.5,8.6,,8.9
0,Darrell Daniels,DET,,,,0,0,0,,,,,,,,,,,,
0,Minkah Fitzpatrick,PIT,,,0,,0,,0,,,,,,,,,,,
156.4,Jonathan Taylor,IND,,,,,4.4,11.5,21,10.7,17.9,14.5,,21.1,,,,10.3,17.4,27.6
0,Jason Cabinda,DET,0,0,0,,,,,,,,,,,,,,,0
21.7,Melvin Gordon III,BLT,,,7.5,5.4,,,,,,,,,,,,,7,1.8
2.6,Derrick Gore,WAS,,,,0,0,,,,,,2.3,,,,,0,,0.3
-0.2,Jonathan Williams,WAS,,,,,,,,,,,,,,,-0.2,,,
16.2,Patrick Ricard,BLT,0,0,0,2.4,0,1.3,5.1,0,0,0,0,0,,0,0,0,7.4,0
2.1,Tyrion Davis-Price,SF,,,,,2.1,,,,,,,,,,,,,
125.3,Samaje Perine,DEN,11.8,5.4,4.4,5.5,13.5,3.6,7.1,4.1,,7.3,13.7,13.6,2.6,9.4,5.8,6.9,4.6,6
182.5,Chuba Hubbard,CAR,8.9,10,2.4,7.3,4.5,16,,7.4,10.7,5.9,8.5,20.2,22.4,11.6,12.3,12.1,11.1,11.2
131.4,Antonio Gibson,WAS,2.9,8.3,5.4,3.6,10.4,8.6,5.1,9.2,12.6,16.5,,6.7,11.2,,8.5,10.2,5.6,6.6
44.7,Jordan Mason,SF,,,1.1,3.3,12.9,8.7,,,,0,0,,1,9.6,2,,0.3,5.8
24.9,Alec Ingold,MIA,5.4,0,0,3.3,0,0,0,1.5,1.1,,4.6,0,0.7,2.3,0,3.2,2.8,0
5.8,Khari Blasingame,CHI,0,0,0,0,2.6,1.1,1.4,0,0,,0,0,,0.7,0,0,0,0
278.4,Travis Etienne Jr.,JAX,21.4,6.2,17.8,10.2,34.4,23.3,22.7,23.9,,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,13.7
1.3,Reggie Gilliam,BUF,0,1.3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0
7.3,Dare Ogunbowale,HST,,0.4,,,,,,,,,0,,2.5,2.1,1.7,0.6,0,0
269.7,Raheem Mostert,MIA,13,25.7,45.2,7.5,15.8,34.2,6.1,10.6,14.5,,10.3,21.4,12.1,23,18.3,12,,
1.7,Evan Hull,IND,1.7,,,,,,,,,,,,,,,,,
14.8,Emanuel Wilson,GB,,0.5,2.2,,0,,4.7,,4.3,0,3.1,,,,,,,
0,Ben Mason,BLT,,,,,,,,,,,,,,,,,,0
