Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
251.6,Jaxon Smith-Njigba,SEA,3.9,23.7,6.9,13.1,13.1,10.3,3.9,12.9,37,,21.8,19.7,11.9,19.6,18.3,24,6.2,5.3
5.7,David Bell,CLV,,5.7,,,,,,,,,,,,,,,,
129.3,Tre Tucker,LV,4.2,3.3,22.6,15.4,4.6,0,7.7,5.3,2.5,,6.5,15.2,13.9,2.7,3.8,5.3,10.9,5.4
13.9,Tyrell Shavers,BUF,,,,,0,,,,,0,,,,,,,13.9,
1.6,John Ross,PHI,,,,1.6,,,,,,,,,,,,,,
0,Xavier Weaver,ARZ,,,,,,0,,,,,,,,,,,,0
212.2,Jameson Williams,DET,24.4,14.4,1.2,16,,17.7,0.6,,,8.3,22.6,11.8,9.6,13,12.7,26,24.5,9.4
13.1,DJ Chark Jr.,LAC,,,,,,,,,,0,,,0,1.9,3.6,0,0,7.6
6.7,Deven Thompkins,CAR,,,,,,,,,-0.2,0,,4.3,0,1.7,0,0.9,,
122.7,Amari Cooper,BUF,3.6,4.1,27.6,7.5,10,8.2,16.6,1.3,,,7.5,,4.2,15.5,0,2,14.6,
69.4,Dyami Brown,WAS,0,3.7,3.6,1.4,13.7,2.1,3.3,1.6,3.4,0.7,1.4,5.6,7.9,,6,9.6,,5.4
14.7,Jermaine Burton,CIN,0,5.7,0,0,0,,0,5.1,,2.1,1.8,,0,0,0,0,0,
209.5,Zay Flowers,BLT,11.1,22.1,5.3,2,19,22.4,4,18.5,29.7,7.4,11.9,11.2,10.1,,11.3,15.3,5.1,3.1
56.8,Mike Williams,PIT,0,2.9,6.4,10.7,4.5,0,2.5,0,1.6,10.2,0,0,0,6.6,2.5,5.4,0,3.5
110,Darius Slayton,NYG,5.6,6.3,1.7,8.6,26.2,11.7,2.1,14.8,9,,,0,2.8,4.7,2.6,3.7,10.2,0
316.6,Justin Jefferson,MIN,15.9,23.3,20.1,20.5,15.2,,21.4,19.5,20.7,9.8,14.1,4.7,16.9,32.2,20.3,36.4,17.2,8.4
29.7,Jake Bobo,SEA,0,3.5,0,6,1.3,3.8,0,2.5,0,,0,1.8,0,0,1.8,1.6,0,7.4
36.3,Tylan Wallace,BLT,0,0,0,0,5.1,0,0,0,0,20.5,1.8,2.5,3.4,,1.8,0,1.2,0
269.8,Terry McLaurin,WAS,3.7,8.2,20,18.2,15.4,23.3,15.8,17.5,15.9,16.3,2,21.2,27.3,,26.3,17,1.5,20.2
14.1,Brandon Powell,MIN,0,3.6,2.3,0,0,,0,0,1.9,0,2.3,0,1.8,0,2.2,0,0,0
123.5,Demarcus Robinson,LA,8.2,7,4.2,5.7,11.8,,1.9,17.5,27.4,3.3,3.9,9.5,12.9,0,0,0,0,10.2
114.8,Calvin Austin III,PIT,1.7,1.6,19.5,2.7,1.6,5.6,4.6,14.4,,4,0.9,16.8,10.9,1.4,11.5,10.5,7.1,0
0,Jalen Cropper,DAL,,,,,,,,,,0,,,,,,,,
78.3,Tyler Boyd,TEN,4.8,4.6,6.3,5.1,,4.9,9.3,4.4,0.3,0,5.4,11.5,6.7,1.7,5.9,4,3.4,
0,Byron Murphy II,SEA,,,,,,,,,,,,,,,,0,,
193.2,Darnell Mooney,ATL,2.5,17.8,14.6,8.6,31.5,6.8,9.6,18.6,19.8,14.6,4.7,,5,20.2,0,13.2,5.7,
6,Allen Robinson II,DET,,,0,,,0,,0,1.2,0,1.7,0,0,0,0,0,3.1,
16.7,Jalen Reagor,LAC,,,,,,,5,5.5,1,-0.2,0,4,0,1.4,,,,
14.5,Odell Beckham Jr.,MIA,,,,,0,,0,0,4.5,3.7,3.3,0,1.9,1.1,,,,
40.1,Derius Davis,LAC,0.9,0,0.8,,,3.2,,,0,3.3,3,2.4,1.6,2.1,0,10.8,10.6,1.4
7.5,Treylon Burks,TEN,1.3,0,1.9,2.3,,2,,,,,,,,,,,,
11.9,Tay Martin,TEN,,,,,,,,,,,,,,,,,,11.9
11.9,Ben Skowronek,PIT,,0,,,,,,,,0,1.4,0,3.3,0,2.7,4.5,,0
253.9,Garrett Wilson,NYJ,12,10.2,14.3,9.1,29.1,24.7,11.1,16.3,30,9.1,5.8,,9.1,18.4,14.6,11.4,19.6,9.1
0,Braxton Berrios,MIA,0,0,0,0,0,,0,,,,,,,,,,,
63.7,Curtis Samuel,BUF,3.5,1.3,5.2,3.5,0.9,7.4,0,,0,7.5,16.8,,0.7,3.6,1.1,,,12.2
1.3,Jha'Quan Jackson,TEN,,0,,,,0,0,0,1.3,0,0,0,0,,,,,
103.4,Joshua Palmer,LAC,3.5,3.9,,6.6,,5.8,10.3,9.2,14.3,4.6,4.3,6.8,2.1,13.8,3,7.1,8.1,
33.2,Mecole Hardman Jr.,KC,,0,0,0,7.3,,12.5,1.8,4.7,1.3,4.1,1.5,0,,,,,
19.2,Devin Duvernay,JAX,0.3,0.4,0.9,0,0.3,,,,,,0,,4.3,3.1,7.2,1.3,1.4,0
0,Bryce Ford-Wheaton,NYG,,0,,,,,0,,,,,,,,,,,
13.6,Chris Conley,SF,0,1.4,0,0,,0,0,0,,,0,0,0,0,0,0,2.3,9.9
0,Erik Ezukanma,MIA,,,0,,,,,,,,,,,,,0,,
34.2,Jonathan Mingo,DAL,6.3,1.1,5,5.4,5.7,1.1,0,0,0,,0,1.8,1.2,0,0,0,2.2,4.4
18.7,K.J. Osborn,WAS,5.1,1.7,0,1.3,,,10.6,0,,0,,,,,,,0,
2.1,Trent Taylor,SF,,,,,0,,,,,,,,,,,,,2.1
139.5,Adam Thielen,CAR,7.9,4,13,,,,,,,,,8.7,23.9,19.2,10.1,15.3,28,9.4
0,Deonte Harty,BLT,0,0,,0,,,,,,,,,,,,,,
65.1,Kendrick Bourne,NE,,,,,1.6,2.9,2.4,0,8.1,,18,6,7.5,,7.4,3.8,4.2,3.2
175,Cooper Kupp,LA,32,7.7,,,,,,16.1,21.4,15,28.6,20,4.7,20.2,0,5.4,3.9,
155.6,Deebo Samuel,SF,18.7,18,,10.2,3,20.7,0,12.6,,12.6,6.1,3.1,6,5.5,4.9,25.1,9.1,
11.9,Scott Miller,PIT,0,0,5.1,0,0,0,0,0,,,0,,,6.8,0,0,0,
1.5,Tyler Scott,CHI,,0,0,0,0,0,,,0,,0,,,,1.5,0,,
78.7,Chris Olave,NO,3.1,12.8,20.6,16.7,3,1.5,,18.7,2.3,,,,,,,,,
90.4,Tim Patrick,DET,,3.2,1.8,7.2,,9.8,4.5,0,3.2,0,5.6,9.5,6.8,22.3,13,0,0,3.5
15.5,Bryce Oliver,TEN,,,,,,,,,0,4.3,4.3,0,,2.6,1.8,0,0,2.5
0,Equanimeous St. Brown,NO,,,,,,,0,0,,,,,,,,,,
35.2,Trey Palmer,TB,2.9,0,0,11.6,,,2.6,4.9,5.3,0,,2.8,0,0,0,5.1,0,0
2.2,Javon Baker,NE,,0,,,,,,,0,0,0,0,0,,,0,0,2.2
3.2,Isaiah Hodgins,NYG,,,,,0,1.5,,,,1.7,,,,,,,,
135.4,Jalen McMillan,TB,10.2,3.1,1.6,,,0,5.6,9.2,,,,2.1,4.5,21.9,18.5,16.7,23,19
240.4,Mike Evans,TB,23.1,7.2,3.7,23.4,23.2,5.4,9.5,,,,,11.8,25.8,10.9,36.9,11.9,29.7,17.9
0,Skyy Moore,KC,0,0,0,0,0,,0,,,,,,,,,,,
91.8,Jalen Coker,CAR,,,,0,10.8,6,2,17.8,5.6,7.1,,,,,21,2.8,5.5,13.2
147,DeAndre Hopkins,KC,1.8,1.9,19.3,5.1,,9.4,0.8,4.9,28.6,9.6,5.9,14.5,13,13.2,8.6,7.7,2.7,
224.1,Tee Higgins,CIN,,,6.9,12,29.3,14.7,18.2,,,,29.8,,17.9,4.3,19.8,19.8,42.1,9.3
8.7,Laviska Shenault Jr.,LAC,1.1,1.6,1.2,2.8,0,0,,2,0,,0,,0,,0,,,
1.5,Charlie Jones,CIN,1.5,0,0,0,0,0,,0,,,,,,,,,,
85.1,David Moore,CAR,2.4,0,0,0,3.3,3.7,0,7.9,4,3.8,,20.1,9,4.5,3.9,11.9,2.7,7.9
0,Justyn Ross,KC,,,,,,,,,0,0,,,,,,,,
152,Jalen Tolbert,DAL,2.2,14.2,13.2,5.4,21.7,8.3,,7.4,10.9,4.4,4.1,10.2,6.1,0,8.1,10,12,13.8
4.5,Trenton Irwin,CIN,1.6,1.5,,,,0,,1.4,0,0,0,,,,,,,
2.6,Anthony Miller,BLT,,,,,,,,,,,,,,,,0,2.6,
120.9,Elijah Moore,CLV,3.9,10.4,3.7,2.1,4.1,1.3,10.1,16.5,5.8,,18.6,5.1,19.2,6.4,1.9,4.1,1.1,6.6
263.4,CeeDee Lamb,DAL,13.6,19,10.7,23.6,11.4,16.1,,39.6,14.2,8.4,18.6,16.8,5.9,21.4,26.6,17.5,,
0,Brenden Rice,LAC,,,,,,,0,,,,,,,,,,,
75.8,Rashid Shaheed,NO,16.3,20.9,0,17.7,18.6,2.3,,,,,,,,,,,,
6,Austin Trammell,JAX,,,,,,,,,6,,,,,,,,,
130.1,Romeo Doubs,GB,9,9.2,2.8,7.9,,19.9,17.4,10.2,6.8,,2.7,8.4,,,19,4,12.8,
0,Tom Kennedy,DET,0,0,,,,,,,,,,,,,,0,0,
94.2,KaVontae Turpin,DAL,0,2.6,14.2,0,8.4,7,,3.7,6.6,0,17.6,1.8,9.5,4.1,2.7,2.8,4.4,8.8
55.4,John Metchie III,HST,,,,1.7,0,0,0,5.9,0,18.4,6.3,1.6,3.6,,3.7,,9.8,4.4
147.7,Demario Douglas,NE,3.2,0,14.8,4.3,11.9,21.2,3.4,3.2,10.5,9,9.9,11.3,6,,10.1,7.9,14.6,6.4
69.6,Brandin Cooks,DAL,14.5,3.6,3.6,2.6,,,,,,,,,10.6,7.3,6.4,7.8,9.2,4
239.3,Davante Adams,NYJ,10.9,26,8,,,,6,9.4,22.1,9.1,13.2,,17.6,25.9,40.8,19.8,9.7,20.8
182.7,Wan'Dale Robinson,NYG,11.8,9.8,13.1,18.1,16,10,8.3,8,4,10.1,,9.7,2.6,7.8,7.8,13.2,18.1,14.3
210.6,Nico Collins,HST,17.7,27.5,12.6,33.1,15.8,,,,,,9.4,20.2,19.9,,17.7,13,8.9,14.8
30,Dante Pettis,NO,,,,,,,,,,1.8,1.9,,1.5,0,4.4,5.1,5.7,9.6
126,Allen Lazard,NYJ,26.9,3.1,13.8,10.8,13.4,23.4,9.8,,,,,,,2.8,0,4,1.9,16.1
199,Jayden Reed,GB,33.1,6.6,10.9,27.1,13.7,14.8,3,7.5,16.3,,9.8,5.6,19.7,0,11.1,11.1,1.6,7.1
0.8,Brycen Tremayne,WAS,,,,,0.8,,,,,,,,,,,,0,
6.7,Dan Chisena,CAR,,,,,,,,,,,,0,1.6,0,,3.3,1.8,0
19.2,Ashton Dulin,IND,12.4,2.3,0,0,0.9,0,1.2,0,1.7,0.7,0,0,,,,0,0,0
47.1,Cedrick Wilson Jr.,NO,0,0,1.3,0,0,4.8,17.7,,5.4,,0,,2.9,2.8,0,2.3,4.7,5.2
3.7,Mason Kinsey,TEN,,,,,,,,0,,,,,,0,2.1,1.6,0,0
78.3,Sterling Shepard,TB,,,0,8.1,7.4,8.4,2.5,4.8,10.9,2,,6.6,8.2,10.3,2.6,4.4,,2.1
23.7,Xavier Hutchinson,HST,1.3,0,0,0,5.1,0,2.1,2.9,0,2.6,0,0,,,2.3,1.8,4.1,1.5
54.8,Adonai Mitchell,IND,1.2,4,0,1,8.2,2.9,5,1.9,3.2,13.1,4.5,2,0,,-1,4.6,4.2,0
1.1,Kameron Johnson,TB,0,,,0,0,,,,,,,,,,,,1.1,
7.4,D'Wayne Eskridge,MIA,,,4,0,,,,1.6,0,,,,,0,,,1.8,
166.4,George Pickens,PIT,13.5,4.9,10.7,18.3,5.6,8.3,22.1,11.4,,20.5,16.9,8.8,16.4,,,,8,1
0,Jalen Virgil,BUF,,,,,,,,0,0,0,0,,0,0,,,,
119.9,Kayshon Boutte,NE,,,1.2,2.1,5.4,14.9,4.3,7.6,3.8,8.7,7.3,1.6,7.1,,3.9,20.5,6.8,24.7
35.7,Jalen Brooks,DAL,2.8,2,3.4,0,2,2.5,,0,4.6,1.4,,5.1,1,,8.7,,2.2,0
22.3,Trent Sherfield,MIN,0,2.7,1.8,1.8,0,,0,8,1.7,2.1,2.6,0,0,0,1.6,0,0,0
0,Chris Moore,ARZ,0,0,0,0,0,,,,,,,,,,,,,
26.1,KhaDarel Hodge,ATL,0,,0,0,14.7,0,0,0,1.9,0,4.2,,0,0,0,,1.9,3.4
50.5,Kalif Raymond,DET,1.2,5.7,0,1.9,,11.3,12.9,9.4,1,0,5,0,,,,,,2.1
67.1,Troy Franklin,DEN,,0,3.1,1.8,3,11.6,10,1.9,2.9,1.9,9.5,5.1,4.8,,2.9,4.5,0.9,3.2
