Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Jimmy Graham,SEA,24,15,62.50%,94,10,36.40%,16,8,50.00%,22,8,40.00%,All Jimmy Graham red zone receiving plays
Davante Adams,GNB,22,15,68.18%,140,7,34.40%,6,3,50.00%,16,3,20.00%,All Davante Adams red zone receiving plays
Keenan Allen,LAC,21,9,42.86%,47,4,31.30%,15,7,46.67%,27,4,34.10%,All Keenan Allen red zone receiving plays
Rob Gronkowski,NWE,21,10,47.62%,82,6,24.40%,9,4,44.44%,14,4,24.30%,All Rob Gronkowski red zone receiving plays
Jarvis Landry,MIA,21,17,80.95%,80,9,31.80%,14,11,78.57%,48,9,40.00%,All Jarvis Landry red zone receiving plays
Antonio Brown,PIT,20,11,55.00%,68,6,24.40%,10,7,70.00%,44,6,23.80%,All Antonio Brown red zone receiving plays
Dez Bryant,DAL,20,11,55.00%,66,5,35.70%,10,4,40.00%,16,3,38.50%,All Dez Bryant red zone receiving plays
Travis Kelce,KAN,20,9,45.00%,92,5,27.80%,3,3,100.00%,21,3,13.60%,All Travis Kelce red zone receiving plays
Cooper Kupp,LAR,20,12,60.00%,107,5,26.30%,7,4,57.14%,22,2,20.00%,All Cooper Kupp red zone receiving plays
DeAndre Hopkins,HOU,19,9,47.37%,49,7,35.20%,10,7,70.00%,32,7,33.30%,All DeAndre Hopkins red zone receiving plays
Nelson Agholor,PHI,18,13,72.22%,63,4,24.00%,9,6,66.67%,35,3,30.00%,All Nelson Agholor red zone receiving plays
Mike Evans,TAM,18,4,22.22%,34,3,26.50%,9,1,11.11%,6,1,31.00%,All Mike Evans red zone receiving plays
Larry Fitzgerald,ARI,18,11,61.11%,98,5,26.10%,6,4,66.67%,15,0,25.00%,All Larry Fitzgerald red zone receiving plays
Julio Jones,ATL,18,5,27.78%,33,1,26.90%,11,4,36.36%,16,1,31.40%,All Julio Jones red zone receiving plays
Zach Ertz,PHI,17,11,64.71%,82,8,22.70%,7,5,71.43%,19,5,23.30%,All Zach Ertz red zone receiving plays
A.J. Green,CIN,16,7,43.75%,72,6,32.00%,8,4,50.00%,33,4,32.00%,All A.J. Green red zone receiving plays
Kyle Rudolph,MIN,16,14,87.50%,92,7,27.60%,9,8,88.89%,31,4,31.00%,All Kyle Rudolph red zone receiving plays
Adam Thielen,MIN,16,4,25.00%,35,2,27.60%,8,1,12.50%,7,1,27.60%,All Adam Thielen red zone receiving plays
Josh Doctson,WAS,15,5,33.33%,42,4,23.80%,7,2,28.57%,3,1,28.00%,All Josh Doctson red zone receiving plays
Devin Funchess,CAR,15,8,53.33%,69,5,27.30%,5,4,80.00%,27,3,19.20%,All Devin Funchess red zone receiving plays
Marquise Goodwin,SFO,15,5,33.33%,50,1,17.60%,9,1,11.11%,8,1,25.00%,All Marquise Goodwin red zone receiving plays
Alshon Jeffery,PHI,15,8,53.33%,68,7,20.00%,8,5,62.50%,25,5,26.70%,All Alshon Jeffery red zone receiving plays
George Kittle,SFO,15,9,60.00%,41,2,17.60%,7,4,57.14%,22,2,19.40%,All George Kittle red zone receiving plays
LeSean McCoy,BUF,15,9,60.00%,58,2,23.10%,7,2,28.57%,10,0,20.60%,All LeSean McCoy red zone receiving plays
Demaryius Thomas,DEN,15,8,53.33%,58,4,25.90%,8,4,50.00%,17,3,33.30%,All Demaryius Thomas red zone receiving plays
Michael Thomas,NOR,15,9,60.00%,51,5,21.10%,9,7,77.78%,30,5,30.00%,All Michael Thomas red zone receiving plays
Le'Veon Bell,PIT,14,9,64.29%,36,0,17.10%,5,3,60.00%,6,0,11.90%,All Le'Veon Bell red zone receiving plays
Michael Crabtree,OAK,14,7,50.00%,20,5,30.40%,11,5,45.45%,9,5,39.30%,All Michael Crabtree red zone receiving plays
Marvin Jones,DET,14,4,28.57%,26,4,20.00%,8,3,37.50%,15,3,25.00%,All Marvin Jones red zone receiving plays
Cameron Brate,TAM,13,5,38.46%,68,5,19.10%,4,1,25.00%,10,1,13.80%,All Cameron Brate red zone receiving plays
Jamison Crowder,WAS,13,6,46.15%,39,3,20.60%,5,2,40.00%,4,1,20.00%,All Jamison Crowder red zone receiving plays
Alvin Kamara,NOR,13,12,92.31%,85,4,18.30%,2,2,100.00%,13,1,6.70%,All Alvin Kamara red zone receiving plays
Christian McCaffrey,CAR,13,11,84.62%,61,4,23.60%,8,6,75.00%,25,4,30.80%,All Christian McCaffrey red zone receiving plays
Danny Amendola,NWE,12,10,83.33%,54,2,14.00%,4,4,100.00%,10,2,10.80%,All Danny Amendola red zone receiving plays
Brandin Cooks,NWE,12,8,66.67%,42,4,14.00%,6,3,50.00%,14,3,16.20%,All Brandin Cooks red zone receiving plays
Stefon Diggs,MIN,12,10,83.33%,86,6,20.70%,6,4,66.67%,15,3,20.70%,All Stefon Diggs red zone receiving plays
Hunter Henry,LAC,12,5,41.67%,31,3,17.90%,9,4,44.44%,20,3,20.50%,All Hunter Henry red zone receiving plays
Chris Hogan,NWE,12,6,50.00%,38,4,14.00%,8,4,50.00%,19,3,21.60%,All Chris Hogan red zone receiving plays
Mark Ingram,NOR,12,10,83.33%,22,0,16.90%,3,2,66.67%,5,0,10.00%,All Mark Ingram red zone receiving plays
Jesse James,PIT,12,5,41.67%,30,3,14.60%,8,3,37.50%,7,3,19.00%,All Jesse James red zone receiving plays
Tyler Kroft,CIN,12,7,58.33%,28,7,24.00%,7,6,85.71%,12,6,28.00%,All Tyler Kroft red zone receiving plays
DeVante Parker,MIA,12,5,41.67%,27,1,18.20%,6,1,16.67%,3,1,17.10%,All DeVante Parker red zone receiving plays
Mohamed Sanu,ATL,12,7,58.33%,40,5,17.90%,7,6,85.71%,37,5,20.00%,All Mohamed Sanu red zone receiving plays
Jason Witten,DAL,12,7,58.33%,66,3,21.40%,3,2,66.67%,15,1,11.50%,All Jason Witten red zone receiving plays
Nick Boyle,BAL,11,6,54.55%,35,0,15.90%,4,0,0.00%,0,0,11.10%,All Nick Boyle red zone receiving plays
Jaron Brown,ARI,11,6,54.55%,38,1,15.90%,3,2,66.67%,9,1,12.50%,All Jaron Brown red zone receiving plays
Charles Clay,BUF,11,5,45.45%,19,2,16.90%,6,2,33.33%,7,2,17.60%,All Charles Clay red zone receiving plays
Eric Decker,TEN,11,8,72.73%,61,1,25.60%,5,3,60.00%,8,0,29.40%,All Eric Decker red zone receiving plays
Eric Ebron,DET,11,3,27.27%,16,2,15.70%,7,3,42.86%,16,2,21.90%,All Eric Ebron red zone receiving plays
Evan Engram,NYG,11,7,63.64%,64,6,21.20%,8,6,75.00%,46,5,30.80%,All Evan Engram red zone receiving plays
Antonio Gates,LAC,11,3,27.27%,20,3,16.40%,10,3,30.00%,20,3,22.70%,All Antonio Gates red zone receiving plays
Jermaine Gresham,ARI,11,5,45.45%,34,2,15.90%,5,3,60.00%,9,0,20.80%,All Jermaine Gresham red zone receiving plays
Carlos Hyde,SFO,11,9,81.82%,57,0,12.90%,2,1,50.00%,7,0,5.60%,All Carlos Hyde red zone receiving plays
Zay Jones,BUF,11,3,27.27%,30,2,16.90%,5,1,20.00%,10,1,14.70%,All Zay Jones red zone receiving plays
Jordy Nelson,GNB,11,9,81.82%,34,5,17.20%,8,7,87.50%,26,5,26.70%,All Jordy Nelson red zone receiving plays
Austin Seferian-Jenkins,NYJ,11,4,36.36%,16,3,23.40%,8,4,50.00%,16,3,33.30%,All Austin Seferian-Jenkins red zone receiving plays
Sterling Shepard,NYG,11,5,45.45%,17,0,21.20%,7,4,57.14%,8,0,26.90%,All Sterling Shepard red zone receiving plays
JuJu Smith-Schuster,PIT,11,6,54.55%,62,4,13.40%,6,2,33.33%,11,2,14.30%,All JuJu Smith-Schuster red zone receiving plays
Delanie Walker,TEN,11,3,27.27%,12,2,25.60%,8,2,25.00%,6,2,47.10%,All Delanie Walker red zone receiving plays
Mike Wallace,BAL,11,3,27.27%,23,3,15.90%,4,2,50.00%,7,2,11.10%,All Mike Wallace red zone receiving plays
Ben Watson,BAL,11,8,72.73%,20,3,15.90%,7,5,71.43%,6,3,19.40%,All Ben Watson red zone receiving plays
Albert Wilson,KAN,11,7,63.64%,53,2,15.30%,2,1,50.00%,6,1,9.10%,All Albert Wilson red zone receiving plays
Robbie Chosen,NYJ,10,3,30.00%,32,1,21.30%,5,0,0.00%,0,0,20.80%,All Robbie Chosen red zone receiving plays
Kelvin Benjamin,2TM,10,2,20.00%,12,1,,5,1,20.00%,8,1,,All Kelvin Benjamin red zone receiving plays
Tarik Cohen,CHI,10,7,70.00%,40,1,20.00%,3,1,33.33%,1,0,10.70%,All Tarik Cohen red zone receiving plays
Melvin Gordon,LAC,10,8,80.00%,62,3,14.90%,5,4,80.00%,26,2,11.40%,All Melvin Gordon red zone receiving plays
Brandon LaFell,CIN,10,6,60.00%,38,2,20.00%,4,2,50.00%,15,1,16.00%,All Brandon LaFell red zone receiving plays
Marcedes Lewis,JAX,10,5,50.00%,44,4,20.40%,5,3,60.00%,19,3,17.20%,All Marcedes Lewis red zone receiving plays
Sammy Watkins,LAR,10,7,70.00%,51,7,13.20%,5,4,80.00%,10,4,14.30%,All Sammy Watkins red zone receiving plays
James White,NWE,10,7,70.00%,13,3,11.60%,5,4,80.00%,13,3,13.50%,All James White red zone receiving plays
Amari Cooper,OAK,9,3,33.33%,26,3,19.60%,8,3,37.50%,26,3,28.60%,All Amari Cooper red zone receiving plays
A.J. Derby,2TM,9,4,44.44%,41,1,,2,1,50.00%,9,0,,All A.J. Derby red zone receiving plays
Jack Doyle,IND,9,6,66.67%,44,4,23.70%,6,4,66.67%,24,3,37.50%,All Jack Doyle red zone receiving plays
Todd Gurley,LAR,9,6,66.67%,52,4,11.80%,5,3,60.00%,13,2,14.30%,All Todd Gurley red zone receiving plays
Austin Hooper,ATL,9,7,77.78%,39,2,13.40%,5,3,60.00%,6,2,14.30%,All Austin Hooper red zone receiving plays
Kareem Hunt,KAN,9,6,66.67%,12,2,12.50%,3,2,66.67%,6,2,13.60%,All Kareem Hunt red zone receiving plays
David Njoku,CLE,9,2,22.22%,8,1,20.90%,6,2,33.33%,8,1,24.00%,All David Njoku red zone receiving plays
Paul Richardson,SEA,9,4,44.44%,33,3,13.60%,5,3,60.00%,24,3,12.50%,All Paul Richardson red zone receiving plays
Kenny Stills,MIA,9,5,55.56%,37,2,13.60%,1,1,100.00%,2,1,2.90%,All Kenny Stills red zone receiving plays
Julius Thomas,MIA,9,4,44.44%,28,3,13.60%,7,3,42.86%,13,2,20.00%,All Julius Thomas red zone receiving plays
Robert Woods,LAR,9,6,66.67%,35,3,11.80%,4,2,50.00%,5,2,11.40%,All Robert Woods red zone receiving plays
Ameer Abdullah,DET,8,4,50.00%,13,1,11.40%,2,1,50.00%,2,1,6.30%,All Ameer Abdullah red zone receiving plays
Doug Baldwin,SEA,8,5,62.50%,36,3,12.10%,5,3,60.00%,16,2,12.50%,All Doug Baldwin red zone receiving plays
Martavis Bryant,PIT,8,3,37.50%,24,2,9.80%,3,2,66.67%,7,1,7.10%,All Martavis Bryant red zone receiving plays
Vernon Davis,WAS,8,4,50.00%,36,1,12.70%,2,0,0.00%,0,0,8.00%,All Vernon Davis red zone receiving plays
Gerald Everett,LAR,8,4,50.00%,20,2,10.50%,4,3,75.00%,11,2,11.40%,All Gerald Everett red zone receiving plays
Bennie Fowler,DEN,8,4,50.00%,21,2,13.80%,5,3,60.00%,15,2,20.80%,All Bennie Fowler red zone receiving plays
Chris Godwin,TAM,8,3,37.50%,18,0,11.80%,5,1,20.00%,5,0,17.20%,All Chris Godwin red zone receiving plays
Ryan Grant,WAS,8,6,75.00%,29,2,12.70%,3,1,33.33%,3,1,12.00%,All Ryan Grant red zone receiving plays
Demetrius Harris,KAN,8,2,25.00%,16,1,11.10%,5,1,20.00%,7,1,22.70%,All Demetrius Harris red zone receiving plays
T.Y. Hilton,IND,8,2,25.00%,12,0,21.10%,3,0,0.00%,0,0,18.80%,All T.Y. Hilton red zone receiving plays
Jermaine Kearse,NYJ,8,5,62.50%,34,2,17.00%,3,1,33.33%,3,1,12.50%,All Jermaine Kearse red zone receiving plays
Marqise Lee,JAX,8,5,62.50%,27,3,16.30%,7,4,57.14%,22,3,24.10%,All Marqise Lee red zone receiving plays
Roger Lewis,NYG,8,4,50.00%,35,1,15.40%,1,0,0.00%,0,0,3.80%,All Roger Lewis red zone receiving plays
Tyler Lockett,SEA,8,6,75.00%,23,1,12.10%,4,3,75.00%,5,1,10.00%,All Tyler Lockett red zone receiving plays
Rishard Matthews,TEN,8,4,50.00%,46,2,18.60%,2,1,50.00%,8,1,11.80%,All Rishard Matthews red zone receiving plays
Josh Reynolds,LAR,8,3,37.50%,15,1,10.50%,5,2,40.00%,10,1,14.30%,All Josh Reynolds red zone receiving plays
Theo Riddick,DET,8,6,75.00%,30,2,11.40%,3,2,66.67%,15,2,9.40%,All Theo Riddick red zone receiving plays
Eli Rogers,PIT,8,3,37.50%,28,1,9.80%,2,0,0.00%,0,0,4.80%,All Eli Rogers red zone receiving plays
Emmanuel Sanders,DEN,8,5,62.50%,20,2,13.80%,5,3,60.00%,6,2,20.80%,All Emmanuel Sanders red zone receiving plays
Stephen Anderson,HOU,7,1,14.29%,4,1,13.00%,5,1,20.00%,4,1,16.70%,All Stephen Anderson red zone receiving plays
Cole Beasley,DAL,7,4,57.14%,20,4,12.50%,6,4,66.67%,20,4,23.10%,All Cole Beasley red zone receiving plays
Kendrick Bourne,SFO,7,0,0.00%,0,0,8.20%,5,0,0.00%,0,0,13.90%,All Kendrick Bourne red zone receiving plays
Brandon Coleman,NOR,7,3,42.86%,12,2,9.90%,4,1,25.00%,5,1,13.30%,All Brandon Coleman red zone receiving plays
Jared Cook,OAK,7,1,14.29%,6,0,15.20%,3,0,0.00%,0,0,10.70%,All Jared Cook red zone receiving plays
Bruce Ellington,HOU,7,3,42.86%,5,0,13.00%,2,1,50.00%,4,0,6.70%,All Bruce Ellington red zone receiving plays
Darren Fells,DET,7,2,28.57%,8,1,10.00%,3,2,66.67%,8,1,9.40%,All Darren Fells red zone receiving plays
Justin Hardy,ATL,7,4,57.14%,23,3,10.40%,3,3,100.00%,12,3,8.60%,All Justin Hardy red zone receiving plays
Allen Hurns,JAX,7,6,85.71%,38,2,14.30%,3,3,100.00%,14,2,10.30%,All Allen Hurns red zone receiving plays
Donte Moncrief,IND,7,2,28.57%,26,1,18.40%,4,0,0.00%,0,0,25.00%,All Donte Moncrief red zone receiving plays
Demarcus Robinson,KAN,7,1,14.29%,2,0,9.70%,2,1,50.00%,2,0,9.10%,All Demarcus Robinson red zone receiving plays
Golden Tate,DET,7,7,100.00%,45,2,10.00%,2,2,100.00%,5,1,6.30%,All Golden Tate red zone receiving plays
Trent Taylor,SFO,7,5,71.43%,29,2,8.20%,3,2,66.67%,8,2,8.30%,All Trent Taylor red zone receiving plays
Charcandrick West,KAN,7,5,71.43%,17,2,9.70%,2,2,100.00%,12,2,9.10%,All Charcandrick West red zone receiving plays
Kendall Wright,CHI,7,2,28.57%,10,1,14.00%,2,1,50.00%,5,1,7.10%,All Kendall Wright red zone receiving plays
Javorius Allen,BAL,6,5,83.33%,22,2,8.70%,4,3,75.00%,16,2,11.10%,All Javorius Allen red zone receiving plays
C.J. Anderson,DEN,6,6,100.00%,45,1,10.30%,2,2,100.00%,8,0,8.30%,All C.J. Anderson red zone receiving plays
Rex Burkhead,NWE,6,3,50.00%,34,3,7.00%,2,1,50.00%,1,1,5.40%,All Rex Burkhead red zone receiving plays
Trey Burton,PHI,6,5,83.33%,49,3,8.00%,0,0,,0,0,0.00%,All Trey Burton red zone receiving plays
Garrett Celek,SFO,6,3,50.00%,12,3,7.10%,6,3,50.00%,12,3,16.70%,All Garrett Celek red zone receiving plays
Randall Cobb,GNB,6,4,66.67%,35,2,9.40%,3,1,33.33%,2,1,10.00%,All Randall Cobb red zone receiving plays
O.J. Howard,TAM,6,4,66.67%,32,3,8.80%,4,3,75.00%,15,3,13.80%,All O.J. Howard red zone receiving plays
Dontrelle Inman,CHI,6,2,33.33%,13,1,12.00%,6,2,33.33%,13,1,21.40%,All Dontrelle Inman red zone receiving plays
T.J. Jones,DET,6,2,33.33%,15,1,8.60%,2,1,50.00%,3,1,6.30%,All T.J. Jones red zone receiving plays
Kyle Juszczyk,SFO,6,6,100.00%,42,1,7.10%,1,1,100.00%,6,1,2.80%,All Kyle Juszczyk red zone receiving plays
Dion Lewis,NWE,6,6,100.00%,52,3,7.00%,1,1,100.00%,5,1,2.70%,All Dion Lewis red zone receiving plays
Chris Moore,BAL,6,2,33.33%,19,2,8.70%,2,1,50.00%,6,1,5.60%,All Chris Moore red zone receiving plays
James O'Shaughnessy,JAX,6,3,50.00%,29,1,12.20%,3,1,33.33%,8,0,10.30%,All James O'Shaughnessy red zone receiving plays
Adam Shaheen,CHI,6,4,66.67%,13,3,12.00%,5,3,60.00%,4,3,17.90%,All Adam Shaheen red zone receiving plays
Chris Thompson,WAS,6,3,50.00%,26,2,9.50%,4,1,25.00%,7,1,16.00%,All Chris Thompson red zone receiving plays
Deonte Thompson,2TM,6,2,33.33%,23,1,,0,0,,0,0,,All Deonte Thompson red zone receiving plays
Danny Woodhead,BAL,6,6,100.00%,25,0,8.70%,1,1,100.00%,4,0,2.80%,All Danny Woodhead red zone receiving plays
Geronimo Allison,GNB,5,2,40.00%,13,0,7.80%,2,0,0.00%,0,0,6.70%,All Geronimo Allison red zone receiving plays
John Brown,ARI,5,3,60.00%,45,3,7.20%,0,0,,0,0,0.00%,All John Brown red zone receiving plays
Corey Coleman,CLE,5,3,60.00%,13,2,11.60%,2,2,100.00%,5,2,8.00%,All Corey Coleman red zone receiving plays
Keelan Cole,JAX,5,2,40.00%,17,2,10.20%,3,2,66.67%,17,2,10.30%,All Keelan Cole red zone receiving plays
Ed Dickson,CAR,5,3,60.00%,23,1,9.10%,2,1,50.00%,7,1,7.70%,All Ed Dickson red zone receiving plays
Austin Ekeler,LAC,5,4,80.00%,29,1,7.50%,2,2,100.00%,6,1,4.50%,All Austin Ekeler red zone receiving plays
Matt Forte,NYJ,5,3,60.00%,12,1,10.60%,2,1,50.00%,-3,0,8.30%,All Matt Forte red zone receiving plays
D.J. Foster,ARI,5,2,40.00%,1,0,7.20%,2,0,0.00%,0,0,8.30%,All D.J. Foster red zone receiving plays
Devonta Freeman,ATL,5,2,40.00%,25,1,7.50%,1,0,0.00%,0,0,2.90%,All Devonta Freeman red zone receiving plays
Taylor Gabriel,ATL,5,1,20.00%,4,0,7.50%,3,0,0.00%,0,0,8.60%,All Taylor Gabriel red zone receiving plays
Pierre Garcon,SFO,5,3,60.00%,20,0,5.90%,0,0,,0,0,0.00%,All Pierre Garcon red zone receiving plays
Ted Ginn,NOR,5,3,60.00%,25,0,7.00%,2,1,50.00%,5,0,6.70%,All Ted Ginn red zone receiving plays
Kenny Golladay,DET,5,2,40.00%,9,1,7.10%,3,1,33.33%,10,1,9.40%,All Kenny Golladay red zone receiving plays
Josh Hill,NOR,5,3,60.00%,7,1,7.00%,2,2,100.00%,1,1,6.70%,All Josh Hill red zone receiving plays
Andre Holmes,BUF,5,5,100.00%,28,3,7.70%,3,3,100.00%,9,3,8.80%,All Andre Holmes red zone receiving plays
Adam Humphries,TAM,5,5,100.00%,39,1,7.40%,0,0,,0,0,0.00%,All Adam Humphries red zone receiving plays
DeSean Jackson,TAM,5,3,60.00%,16,2,7.40%,2,2,100.00%,8,2,6.90%,All DeSean Jackson red zone receiving plays
Duke Johnson,CLE,5,3,60.00%,10,1,11.60%,2,2,100.00%,4,1,8.00%,All Duke Johnson red zone receiving plays
Lance Kendricks,GNB,5,1,20.00%,1,1,7.80%,3,1,33.33%,1,1,10.00%,All Lance Kendricks red zone receiving plays
Jerick McKinnon,MIN,5,3,60.00%,15,1,8.60%,1,1,100.00%,2,1,3.40%,All Jerick McKinnon red zone receiving plays
Lamar Miller,HOU,5,4,80.00%,27,3,9.30%,3,3,100.00%,17,3,10.00%,All Lamar Miller red zone receiving plays
Greg Olsen,CAR,5,1,20.00%,5,0,9.10%,2,1,50.00%,5,0,7.70%,All Greg Olsen red zone receiving plays
Bilal Powell,NYJ,5,4,80.00%,4,0,10.60%,4,4,100.00%,4,0,16.70%,All Bilal Powell red zone receiving plays
Charles Sims,TAM,5,3,60.00%,21,1,7.40%,1,1,100.00%,6,1,3.40%,All Charles Sims red zone receiving plays
Torrey Smith,PHI,5,3,60.00%,24,1,6.70%,1,0,0.00%,0,0,3.30%,All Torrey Smith red zone receiving plays
Luke Willson,SEA,5,4,80.00%,20,2,7.60%,2,2,100.00%,16,2,5.00%,All Luke Willson red zone receiving plays
Terrance Williams,DAL,5,1,20.00%,3,0,8.90%,3,0,0.00%,0,0,11.50%,All Terrance Williams red zone receiving plays
Kamar Aiken,IND,4,1,25.00%,9,0,10.50%,1,0,0.00%,0,0,6.30%,All Kamar Aiken red zone receiving plays
Jay Ajayi,2TM,4,4,100.00%,36,1,,0,0,,0,0,,All Jay Ajayi red zone receiving plays
Dwayne Allen,NWE,4,1,25.00%,11,1,4.70%,1,0,0.00%,0,0,2.70%,All Dwayne Allen red zone receiving plays
Odell Beckham,NYG,4,4,100.00%,30,2,7.70%,3,3,100.00%,22,2,11.50%,All Odell Beckham red zone receiving plays
Giovani Bernard,CIN,4,3,75.00%,17,1,8.00%,1,1,100.00%,6,1,4.00%,All Giovani Bernard red zone receiving plays
Kenny Britt,CLE,4,2,50.00%,30,2,9.30%,1,0,0.00%,0,0,4.00%,All Kenny Britt red zone receiving plays
Tevin Coleman,ATL,4,4,100.00%,46,3,6.00%,1,1,100.00%,3,1,2.90%,All Tevin Coleman red zone receiving plays
Benny Cunningham,CHI,4,2,50.00%,15,1,8.00%,4,2,50.00%,15,1,14.30%,All Benny Cunningham red zone receiving plays
Corey Davis,TEN,4,3,75.00%,20,0,9.30%,0,0,,0,0,0.00%,All Corey Davis red zone receiving plays
Seth Devalve,CLE,4,1,25.00%,3,1,9.30%,3,1,33.33%,3,1,12.00%,All Seth Devalve red zone receiving plays
Andre Ellington,ARI,4,2,50.00%,-3,0,5.80%,2,1,50.00%,-6,0,8.30%,All Andre Ellington red zone receiving plays
Coby Fleener,NOR,4,4,100.00%,29,2,5.60%,3,3,100.00%,19,2,10.00%,All Coby Fleener red zone receiving plays
Will Fuller,HOU,4,3,75.00%,35,3,7.40%,3,2,66.67%,19,2,10.00%,All Will Fuller red zone receiving plays
Virgil Green,DEN,4,1,25.00%,2,1,6.90%,2,1,50.00%,2,1,8.30%,All Virgil Green red zone receiving plays
Tyreek Hill,KAN,4,1,25.00%,7,0,5.60%,1,0,0.00%,0,0,4.50%,All Tyreek Hill red zone receiving plays
Chris Ivory,JAX,4,2,50.00%,10,0,8.20%,3,2,66.67%,10,0,10.30%,All Chris Ivory red zone receiving plays
Ricardo Louis,CLE,4,1,25.00%,5,0,9.30%,3,1,33.33%,5,0,12.00%,All Ricardo Louis red zone receiving plays
Jordan Matthews,BUF,4,4,100.00%,16,1,6.20%,3,3,100.00%,14,1,8.80%,All Jordan Matthews red zone receiving plays
Braxton Miller,HOU,4,2,50.00%,6,1,7.40%,4,2,50.00%,6,1,13.30%,All Braxton Miller red zone receiving plays
Zach Miller,CHI,4,1,25.00%,11,0,8.00%,2,0,0.00%,0,0,7.10%,All Zach Miller red zone receiving plays
Ty Montgomery,GNB,4,2,50.00%,3,1,6.30%,2,1,50.00%,1,1,6.70%,All Ty Montgomery red zone receiving plays
Louis Murphy,SFO,4,1,25.00%,10,1,4.70%,2,1,50.00%,10,1,5.60%,All Louis Murphy red zone receiving plays
Cordarrelle Patterson,OAK,4,3,75.00%,15,0,8.70%,2,1,50.00%,2,0,7.10%,All Cordarrelle Patterson red zone receiving plays
