,Player,Tm,Season,Age,PosRank,PPR/G_prev,PPR/G_prev2,prev_team,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,team_name_copy,pbe,Improvement,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
218,Mike Evans,TB,2016-17,23,1,14.04,16.34,TB,15.5,50.7,83.6,85.7,91.7,19.7,80.3,0.0,2.38,90.1,78.9,67.2,TB,83.7,-0.1407588739290086,19.00625,36.8,4.933333333333334,33.733333333333334,9.733333333333333,0.2,80.4,15.933333333333334,0.9333333333333333,33.4375,19.5,1.375,240.75
220,Antonio Brown,PIT,2016-17,28,3,24.2625,24.18125,PIT,11.3,71.6,92.5,92.6,91.7,18.4,80.7,0.0,2.9,92.9,90.0,90.4,PIT,84.1,0.00336004135435516,20.486666666666668,43.0625,8.5,39.5,11.875,0.625,114.625,39.0,1.4375,36.875,24.4375,1.625,287.6875
221,Odell Beckham Jr.,NYG,2016-17,24,4,21.28666666666667,24.583333333333332,NYG,12.1,62.7,88.1,90.1,93.3,26.1,72.9,0.0,2.42,90.2,83.0,65.2,NYG,82.7,-0.13410169491525412,18.5375,42.733333333333334,6.4,39.86666666666667,10.2,0.8666666666666667,96.66666666666667,39.4,1.2,38.9375,24.5,2.25,271.4375
222,T.Y. Hilton,IND,2016-17,27,5,13.2125,17.233333333333334,IND,13.3,55.2,78.9,77.8,94.6,27.4,72.5,0.2,1.82,79.9,71.4,47.9,IND,82.8,-0.23331721470019345,17.1125,40.875,4.3125,38.6875,7.8125,0.3125,70.25,24.125,0.9375,38.6875,22.1875,1.625,231.5
223,Julio Jones,ATL,2016-17,27,6,23.44375,19.826666666666664,ATL,10.5,70.5,92.5,92.1,93.5,28.3,71.3,0.3,3.04,90.8,91.2,80.3,ATL,86.6,0.1824352723604575,18.564285714285713,41.125,8.5,38.4375,12.0625,0.5,116.9375,41.5625,1.3125,38.8125,25.625,1.3125,273.6875
224,Davante Adams,GB,2016-17,24,7,8.176923076923076,6.2875,GB,10.5,56.8,57.7,57.4,89.3,10.3,89.5,0.0,1.04,57.2,59.6,70.6,GB,83.8,0.3005046643217617,15.41875,40.15384615384615,3.8461538461538463,35.84615384615385,6.769230769230769,0.07692307692307693,37.15384615384615,11.153846153846153,0.8461538461538461,35.8125,21.75,1.9375,218.9375
225,Brandin Cooks,NO,2016-17,23,8,15.85,13.930000000000001,NO,12.6,66.7,73.1,73.0,93.0,30.1,69.7,0.0,1.81,76.3,69.4,84.8,NO,87.7,0.137832017229002,15.39375,42.125,5.25,39.1875,7.875,0.5625,71.125,23.125,0.5,41.6875,28.75,2.0,310.625
227,Doug Baldwin,SEA,2016-17,28,10,16.80625,10.45625,SEA,10.1,78.8,87.6,86.2,95.7,79.7,15.7,4.3,2.06,88.0,80.7,82.8,SEA,81.5,0.6072922893006573,15.85,33.8125,4.875,32.375,6.1875,0.875,66.8125,27.0625,0.9375,30.5625,20.8125,2.125,236.875
229,Michael Crabtree,LV,2016-17,29,12,14.45,10.1375,LV,10.2,59.4,77.2,75.9,95.0,28.2,71.8,0.0,1.63,69.1,77.2,77.3,LV,88.2,0.42540073982737364,14.95625,37.1875,5.3125,35.3125,8.9375,0.5625,57.625,17.5625,0.8125,37.8125,23.3125,2.125,242.4375
233,Jarvis Landry,MIA,2016-17,24,16,17.2125,11.3375,MIA,7.4,71.0,88.0,86.1,95.0,69.3,27.0,1.2,2.04,89.4,81.5,66.7,MIA,80.9,0.51819184123484,14.45625,37.3125,6.875,35.4375,9.6875,0.25,72.3125,35.6875,1.375,36.75,22.8125,1.5,238.1875
234,Larry Fitzgerald,ARI,2016-17,33,17,17.53125,10.814285714285715,ARI,8.7,78.4,90.0,87.6,91.1,57.8,39.4,2.5,2.2,73.2,90.1,91.5,ARI,80.2,0.6211195508586524,15.2375,37.875,6.8125,34.5,8.6875,0.5625,75.9375,29.3125,1.125,35.125,22.0625,2.1875,288.5
239,Golden Tate,DET,2016-17,28,23,13.0875,16.19375,DET,5.9,74.4,77.4,75.8,95.1,55.7,43.6,0.3,1.26,81.1,67.4,64.7,DET,83.5,-0.19181783095329993,13.94375,42.4375,5.625,40.375,7.5625,0.375,50.8125,34.0,1.0625,39.5,26.25,2.0625,263.25
240,Julian Edelman,NE,2016-17,30,22,19.166666666666668,16.32857142857143,NE,7.6,71.8,84.9,82.9,92.4,50.5,49.2,0.3,2.02,81.0,77.1,66.1,NE,81.6,0.17381160688247305,14.39375,41.111111111111114,6.777777777777778,38.0,9.444444444444445,0.7777777777777778,76.88888888888889,35.0,1.7777777777777777,39.3125,25.25,2.25,286.6875
241,Mike Wallace,BAL,2016-17,30,24,6.18125,13.3,MIN,11.6,57.4,59.0,60.9,94.1,33.7,65.9,0.2,1.02,64.9,59.2,64.3,BAL,85.1,-0.5352443609022557,12.675,30.75,2.4375,28.9375,4.25,0.125,29.5625,10.9375,0.4375,42.25,26.625,1.3125,266.9375
244,Kenny Britt,LAR,2016-17,28,27,7.63125,8.8875,LAR,16.6,51.4,72.6,73.3,94.3,7.2,92.8,0.0,1.87,71.5,72.5,70.3,LAR,83.0,-0.1413502109704641,13.08,24.1875,2.25,22.8125,4.375,0.1875,42.5625,7.25,0.1875,29.5625,17.0625,0.6875,175.3125
245,Kenny Stills,MIA,2016-17,24,28,5.5625,11.593333333333334,MIA,16.6,45.8,59.9,58.9,95.6,22.1,77.9,0.0,1.07,67.4,52.6,66.7,MIA,80.9,-0.5201983898792409,10.5375,26.875,1.6875,25.6875,3.6875,0.1875,27.5,6.6875,0.3125,36.75,22.8125,1.5,238.1875
246,Allen Robinson II,JAX,2016-17,23,29,19.0,11.68,JAX,16.0,56.3,84.0,83.8,94.6,15.1,84.9,0.0,2.17,71.8,84.6,62.8,JAX,83.4,0.6267123287671234,12.45625,42.625,5.0,40.3125,8.875,0.875,87.5,22.0625,1.375,37.9375,22.1875,2.1875,256.75
248,DeSean Jackson,WAS,2016-17,30,31,11.644444444444444,13.973333333333333,WAS,16.3,68.2,77.2,75.9,93.9,29.4,70.6,0.0,2.15,86.5,65.2,73.7,WAS,85.1,-0.16666666666666666,12.033333333333333,29.11111111111111,3.3333333333333335,27.333333333333332,4.888888888888889,0.4444444444444444,58.666666666666664,17.22222222222222,0.4444444444444444,34.6875,24.125,1.875,255.9375
249,Pierre Garcon,WAS,2016-17,30,32,11.60625,10.075,WAS,10.8,66.7,74.6,75.0,93.0,19.7,80.3,0.0,1.54,79.7,66.0,73.7,WAS,85.1,0.15198511166253104,12.56875,33.9375,4.5,31.5625,6.75,0.375,48.5625,11.4375,0.9375,34.6875,24.125,1.875,255.9375
250,Brandon LaFell,CIN,2016-17,30,33,8.127272727272727,13.1625,NE,14.1,53.6,58.0,56.3,94.5,23.7,76.3,0.0,1.25,54.1,59.7,82.3,CIN,86.1,-0.38254338254338255,11.625,39.54545454545455,3.3636363636363638,37.36363636363637,6.2727272727272725,0.0,46.81818181818182,21.636363636363637,0.6363636363636364,31.5625,20.875,1.9375,245.1875
251,A.J. Green,CIN,2016-17,28,34,17.10625,15.792307692307693,CIN,13.8,69.9,90.5,90.7,93.4,19.9,79.6,0.3,2.4,91.1,84.7,82.3,CIN,86.1,0.08320141256697507,18.64,36.125,5.375,33.75,7.6875,0.625,81.0625,21.0625,1.125,31.5625,20.875,1.9375,245.1875
253,DeAndre Hopkins,HOU,2016-17,24,36,20.69375,14.4375,HOU,14.8,59.4,90.4,90.6,94.6,15.3,84.4,0.1,2.3,90.9,86.3,65.5,HOU,84.6,0.43333333333333346,12.3375,43.75,6.9375,41.375,11.6875,0.6875,95.0625,13.5,1.375,38.6875,22.375,1.8125,239.5625
256,Marqise Lee,JAX,2016-17,25,39,4.39,6.623076923076923,JAX,12.6,53.6,61.6,62.9,92.9,13.0,85.9,0.5,1.12,76.8,54.8,62.8,JAX,83.4,-0.33716608594657377,11.15,18.4,1.5,17.1,2.8,0.1,19.1,9.9,0.5,37.9375,22.1875,2.1875,256.75
258,Steve Smith,BAL,2016-17,37,41,18.714285714285715,13.71875,BAL,10.7,65.7,90.3,89.9,92.4,32.8,66.4,0.4,2.9,76.6,90.1,64.3,BAL,85.1,0.3641392775789132,13.135714285714286,35.714285714285715,6.571428571428571,33.0,10.0,0.42857142857142855,95.71428571428571,37.285714285714285,1.2857142857142858,42.25,26.625,1.3125,266.9375
262,Anquan Boldin,DET,2016-17,36,45,12.135714285714286,13.725,SF,8.3,64.5,72.0,70.5,95.8,64.5,35.1,0.0,1.58,78.5,64.6,64.7,DET,83.5,-0.11579495186052557,10.8375,37.214285714285715,4.928571428571429,35.642857142857146,7.642857142857143,0.2857142857142857,56.357142857142854,21.5,1.3571428571428572,39.5,26.25,2.0625,263.25
263,Taylor Gabriel,ATL,2016-17,25,47,4.007692307692308,6.56875,CLE,7.4,58.3,56.6,55.1,92.9,51.4,47.6,0.3,0.88,57.1,52.9,80.3,ATL,86.6,-0.3898850911220083,10.76923076923077,22.615384615384617,2.1538461538461537,21.0,3.6923076923076925,0.0,18.53846153846154,9.615384615384615,0.38461538461538464,38.8125,25.625,1.3125,273.6875
