player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,17,176,0,18,12.7,3,62.3,57.1,8,14,2.9,1,23,0,70.8,88.4,1,47,0.0,0,219,33,91.3,200,108.8,53,26.5,2,637,236,7.2,19.3,3.19,0,10.2,6,79.4,55.0,11,20,4.9,4,49,0,82.9,90.4,4,64,0.0,0,386,77,95.3,368,103.8,97,26.4,3,1024,352,4.6,13.3,2.78
Davante Adams,8688,WR,LV,17,168,0,23,12.0,5,51.5,37.5,3,8,5.6,1,14,0,68.7,82.8,0,58,0.0,0,134,17,92.5,124,115.9,33,26.6,4,248,101,5.9,14.6,2.0,0,12.7,7,61.7,45.0,9,20,7.0,5,39,1,67.8,89.4,6,60,0.3,1,362,66,95.9,347,82.5,107,30.8,5,946,328,5.0,14.3,2.73
Tyreek Hill,10799,WR,MIA,17,167,0,17,11.9,3,65.5,37.5,3,8,0.0,0,12,1,83.2,87.3,2,26,0.0,0,87,19,93.1,81,81.5,29,35.8,2,213,54,2.8,11.2,2.63,0,13.1,5,72.6,57.1,8,14,4.5,4,55,0,81.9,91.8,4,64,0.0,0,359,85,94.7,340,107.3,117,34.4,5,1254,342,4.0,14.8,3.69
Travis Kelce,7844,TE,KC,17,150,0,16,8.1,13,71.7,40.0,4,10,5.0,2,28,0,74.4,90.7,1,39,2.6,6,231,38,87.9,203,128.4,53,26.1,7,443,262,6.9,11.7,2.18,0,7.2,8,76.9,37.5,3,8,3.2,2,40,1,83.3,90.8,2,52,4.8,16,331,60,91.2,302,103.0,78,25.8,1,810,367,6.1,13.5,2.68
Stefon Diggs,9579,WR,BUF,16,149,0,4,12.5,5,61.1,45.5,5,11,13.2,5,26,0,43.4,84.0,0,41,0.0,0,192,33,91.1,175,112.2,54,30.9,4,447,190,5.8,13.5,2.55,0,10.9,9,80.0,70.0,7,10,1.6,1,36,0,90.0,86.0,0,49,0.0,0,325,60,95.7,311,121.7,75,24.1,3,750,189,3.2,12.5,2.41
CeeDee Lamb,61570,WR,DAL,17,148,0,9,10.9,3,71.4,58.3,7,12,3.2,1,21,0,78.9,90.9,1,34,0.0,0,155,30,92.3,143,108.6,42,29.4,2,414,131,4.4,13.8,2.9,0,10.4,7,73.3,40.0,4,10,6.0,4,37,0,71.3,78.9,1,39,0.0,0,351,63,95.2,334,116.1,86,25.7,5,793,317,5.0,12.6,2.37
Diontae Johnson,33441,WR,PIT,17,141,0,25,11.0,4,51.1,25.0,3,12,7.7,2,18,1,65.0,71.9,2,32,0.0,0,173,24,90.2,156,48.2,47,30.1,0,240,81,3.4,10.0,1.54,0,11.0,11,65.5,57.1,4,7,9.8,6,26,0,49.8,68.2,4,37,0.0,0,410,55,94.4,387,65.7,84,21.7,0,583,143,2.6,10.6,1.51
Garrett Wilson,97405,WR,NYJ,17,139,0,22,11.0,9,58.9,42.1,8,19,2.9,1,23,1,79.4,88.4,0,54,0.0,0,193,33,95.9,185,96.4,56,30.3,2,448,153,4.6,13.6,2.42,0,11.1,13,65.1,31.3,5,16,0.0,0,28,0,90.2,81.4,1,60,0.3,1,323,41,97.5,315,93.7,63,20.0,1,585,233,5.7,14.3,1.86
D.K. Metcalf,47864,WR,SEA,17,139,0,29,14.2,2,53.8,29.4,5,17,4.5,1,12,0,72.3,74.0,1,54,0.0,0,135,21,90.4,122,81.0,39,32.0,1,339,93,4.4,16.1,2.78,0,10.6,1,69.2,68.4,13,19,6.9,4,26,2,67.4,71.3,2,26,0.0,0,364,54,96.2,350,87.3,78,22.3,2,556,123,2.3,10.3,1.59
Amon-Ra St. Brown,84470,WR,DET,16,139,0,11,6.9,1,72.7,50.0,4,8,3.0,1,25,0,78.9,90.8,0,49,0.0,0,143,32,91.6,131,127.7,44,33.6,4,366,153,4.8,11.4,2.79,0,6.3,7,78.2,20.0,1,5,4.7,3,35,0,77.6,82.7,1,32,0.0,0,302,61,96.4,291,96.5,78,26.8,0,659,316,5.2,10.8,2.26
Michael Pittman Jr.,29049,WR,IND,16,139,0,14,7.7,1,62.7,53.8,7,13,11.1,4,19,2,53.0,68.8,2,25,0.0,0,200,32,93.0,186,67.2,51,27.4,1,277,108,3.4,8.7,1.49,0,7.2,4,76.9,45.5,5,11,0.0,0,25,0,90.5,68.8,1,28,0.0,0,382,50,96.3,368,98.6,65,17.7,1,525,185,3.7,10.5,1.43
A.J. Brown,48327,WR,PHI,17,137,0,24,14.2,9,60.4,50.0,8,16,11.1,4,23,1,44.3,88.6,0,68,0.0,0,197,32,91.9,181,137.3,53,29.3,6,600,217,6.8,18.8,3.31,0,12.6,4,62.7,45.5,5,11,4.5,2,26,1,76.8,74.5,3,78,0.0,0,349,42,96.3,336,92.0,67,19.9,3,666,254,6.0,15.9,1.98
Chris Godwin,11839,WR,TB,15,137,0,30,9.0,1,69.6,57.1,4,7,5.9,1,13,0,67.7,71.0,0,20,0.8,1,128,16,91.4,117,104.8,23,19.7,1,167,41,2.6,10.4,1.43,0,5.6,7,76.0,57.9,11,19,5.0,4,34,0,76.9,76.6,1,44,0.3,1,371,76,95.4,354,92.5,100,28.2,0,751,414,5.4,9.9,2.12
DeVonta Smith,61100,WR,PHI,17,132,0,24,10.1,4,67.3,53.3,8,15,5.7,2,24,0,70.9,86.8,0,45,0.0,0,202,33,92.1,186,132.8,49,26.3,5,477,220,6.7,14.5,2.56,0,10.3,6,75.7,27.3,3,11,1.8,1,29,0,88.2,77.7,0,45,0.0,0,366,56,96.2,352,105.3,74,21.0,1,633,194,3.5,11.3,1.8
Ja'Marr Chase,84270,WR,CIN,12,127,0,7,11.3,3,68.4,44.4,4,9,7.1,2,22,0,64.1,91.2,2,60,0.0,0,123,26,88.6,109,122.5,38,34.9,5,417,164,6.3,16.0,3.83,0,9.9,9,66.2,15.4,2,13,7.8,4,28,2,64.4,71.7,1,26,0.0,0,334,47,94.9,317,89.6,71,22.4,2,492,207,4.4,10.5,1.55
