team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DAL,9,16,578,13,86,578,89.9,108,9
OAK,23,16,655,17,100,655,88.2,136,19
NO,20,16,700,30,102,700,87.7,152,20
ATL,2,16,666,21,133,666,86.6,166,12
CIN,7,16,573,10,117,573,86.1,143,16
BUF,4,16,563,24,110,563,85.8,147,13
CAR,5,16,561,9,118,561,85.5,145,18
BLT,3,16,703,33,148,703,85.1,195,14
WAS,32,16,587,27,120,587,85.1,161,14
HST,13,16,665,35,114,665,84.6,177,28
CHI,6,16,574,15,130,574,84.2,163,18
PIT,25,16,636,21,133,636,84.1,178,24
NYJ,22,16,662,35,154,662,83.9,201,12
GB,12,16,663,13,140,663,83.8,184,31
CLV,8,16,704,29,163,704,83.8,210,18
TB,30,16,595,44,126,595,83.7,182,12
PHI,24,16,671,43,123,671,83.6,193,27
DEN,10,16,656,38,139,656,83.5,197,20
DET,11,16,702,32,153,702,83.5,208,23
JAX,15,16,683,27,152,683,83.4,203,24
SL,26,16,496,53,94,496,83,158,11
IND,14,16,688,46,152,688,82.8,217,19
NYG,21,16,657,32,159,657,82.7,209,18
SF,28,16,625,28,131,625,82.5,189,30
KC,16,16,576,14,143,576,82,182,25
NE,19,16,673,48,147,673,81.6,221,26
SEA,29,16,592,32,143,592,81.5,197,22
MIA,17,16,638,39,141,638,80.9,212,32
TEN,31,16,619,30,133,619,80.9,200,37
ARZ,1,16,590,45,147,590,80.2,213,21
MIN,18,16,528,25,146,528,79.6,193,22
SD,27,16,716,36,228,716,77,297,33
