player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
CeeDee Lamb,61570,WR,DAL,17,10.1,20,75.4,42.3,11,26,0,3.6,5,80,9,3,90.1,48.4,91.1,,91.4,0.3,2,1,92,0.0,0,675,6,135,93.2,629,57.0,385,125.7,179,12,41.8,282,1749,674,5.0,13.0,2.78
Davante Adams,8688,WR,LV,17,11.1,8,60.2,35.3,12,34,0,8.0,9,59,23,0,67.6,83.6,79.1,,80.0,0.0,0,6,46,0.0,0,605,1,103,96.2,582,16.9,102,81.1,171,8,82.0,496,1144,337,3.3,11.1,1.97
Tyreek Hill,10799,WR,MIA,16,11.3,26,71.3,35.0,7,20,0,7.0,9,83,17,1,65.9,63.6,93.7,,94.0,1.0,5,5,78,0.0,0,491,2,119,95.9,471,37.1,182,119.8,167,13,60.7,298,1799,657,5.5,15.1,3.82
Garrett Wilson,97405,WR,NYJ,17,10.6,19,58.3,29.7,11,37,1,5.9,6,47,22,2,64.1,32.1,72.9,,73.5,0.0,0,6,68,0.0,0,712,5,95,94.7,674,31.2,222,68.1,163,3,68.8,490,1042,319,3.4,11.0,1.55
Stefon Diggs,9579,WR,BUF,17,10.8,21,67.3,41.4,12,29,0,5.3,6,58,4,2,79.0,59.8,81.1,,81.1,0.0,0,4,55,0.0,0,631,3,107,94.0,593,35.0,221,95.5,159,8,63.7,402,1183,404,3.8,11.1,1.99
Amon-Ra St. Brown,84470,WR,DET,16,8.0,17,75.3,50.0,13,26,0,3.3,4,75,11,1,86.7,63.8,90.6,39.2,90.7,0.0,0,3,70,0.7,4,608,1,119,94.7,576,55.1,335,118.0,158,10,43.6,265,1515,677,5.7,12.7,2.63
Puka Nacua,100632,WR,LA,17,9.4,11,68.6,46.2,12,26,0,11.0,13,68,26,1,47.8,63.0,87.9,72.0,85.1,0.0,0,3,80,1.4,9,623,5,105,92.1,574,30.8,192,104.6,153,6,69.2,431,1486,627,6.0,14.2,2.59
A.J. Brown,48327,WR,PHI,17,12.3,19,69.7,45.2,14,31,0,3.6,4,70,24,2,88.3,35.4,90.0,80.3,90.4,0.2,1,4,59,0.5,3,607,2,106,95.1,577,23.9,145,104.5,152,7,75.8,460,1456,484,4.6,13.7,2.52
Michael Pittman Jr.,29049,WR,IND,16,8.1,5,72.7,53.6,15,28,0,4.4,5,53,14,1,89.2,60.4,77.7,75.1,80.0,2.0,12,6,75,0.5,3,606,8,109,93.2,565,25.6,155,86.9,150,4,72.4,439,1152,518,4.8,10.6,2.04
Keenan Allen,7857,WR,LAC,13,9.9,7,74.5,50.0,10,20,0,5.3,6,56,27,2,79.0,35.7,86.3,77.5,87.4,0.0,0,2,42,0.5,3,561,1,108,93.9,527,59.0,331,110.2,145,7,40.3,226,1243,395,3.7,11.5,2.36
Ja'Marr Chase,84270,WR,CIN,16,9.1,17,70.9,44.0,11,25,1,3.8,4,63,7,1,85.7,58.8,85.3,,86.7,0.0,0,2,76,0.0,0,631,2,100,95.2,601,23.5,148,107.8,141,7,75.9,479,1216,553,5.5,12.2,2.02
Evan Engram,11778,TE,JAX,17,5.0,16,81.4,66.7,8,12,0,5.0,6,47,15,3,81.0,27.2,71.6,61.8,73.2,25.7,174,3,34,3.2,22,678,3,114,91.0,617,54.1,367,95.9,140,4,19.8,134,963,528,4.6,8.4,1.56
Chris Olave,84355,WR,NO,16,13.9,4,63.0,40.0,10,25,0,6.5,6,57,20,0,71.2,82.7,82.5,,82.9,0.0,0,3,51,0.0,0,562,1,87,96.4,542,39.3,221,91.5,138,5,59.8,336,1123,355,4.1,12.9,2.07
Adam Thielen,8288,WR,CAR,17,8.0,3,75.7,50.0,6,12,0,3.7,4,56,5,2,86.7,33.0,72.7,46.5,75.3,0.0,0,1,32,0.7,5,683,5,103,93.3,637,69.1,472,103.0,136,4,30.0,205,1014,350,3.4,9.8,1.59
DeAndre Hopkins,7808,WR,TEN,17,14.8,6,56.4,22.7,5,22,0,5.1,4,48,31,0,77.4,82.1,81.0,62.3,82.3,0.0,0,6,61,0.2,1,543,4,75,93.0,505,20.3,110,80.9,133,7,79.0,429,1057,238,3.2,14.1,2.09
DJ Moore,48267,WR,CHI,17,11.9,16,72.7,53.6,15,28,1,2.0,2,64,6,1,90.5,57.4,89.3,,89.5,0.0,0,2,58,0.0,0,615,2,96,96.1,591,21.6,133,119.6,132,8,78.0,480,1364,550,5.7,14.2,2.31
