,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Eric Decker,NYJ,28,12,42.86%,75,10,36.80%,17,10,58.82%,44,8,44.70%,All Eric Decker red zone receiving plays
Gary Barnidge,CLE,23,9,39.13%,69,8,26.70%,15,5,33.33%,20,5,37.50%,All Gary Barnidge red zone receiving plays
Antonio Brown,PIT,23,16,69.57%,93,8,29.90%,12,10,83.33%,40,6,29.30%,All Antonio Brown red zone receiving plays
DeAndre Hopkins,HOU,22,12,54.55%,106,6,31.40%,7,4,57.14%,26,4,24.10%,All DeAndre Hopkins red zone receiving plays
Jarvis Landry,MIA,22,11,50.00%,63,3,32.40%,16,6,37.50%,22,3,37.20%,All Jarvis Landry red zone receiving plays
Allen Robinson,JAX,22,15,68.18%,109,12,24.70%,18,11,61.11%,62,10,35.30%,All Allen Robinson red zone receiving plays
Randall Cobb,GNB,21,10,47.62%,47,5,23.60%,14,7,50.00%,35,5,28.00%,All Randall Cobb red zone receiving plays
Julio Jones,ATL,21,12,57.14%,83,5,29.20%,12,6,50.00%,29,4,33.30%,All Julio Jones red zone receiving plays
Brandon Marshall,NYJ,21,11,52.38%,97,9,27.60%,12,6,50.00%,18,4,31.60%,All Brandon Marshall red zone receiving plays
Jordan Reed,WAS,21,16,76.19%,133,10,26.60%,11,9,81.82%,43,7,26.80%,All Jordan Reed red zone receiving plays
Anquan Boldin,SFO,19,10,52.63%,96,3,29.20%,6,1,16.67%,3,1,23.10%,All Anquan Boldin red zone receiving plays
Rob Gronkowski,NWE,19,11,57.89%,57,7,22.90%,11,6,54.55%,15,5,27.50%,All Rob Gronkowski red zone receiving plays
Demaryius Thomas,DEN,19,11,57.89%,87,3,27.50%,8,3,37.50%,15,2,27.60%,All Demaryius Thomas red zone receiving plays
Odell Beckham,NYG,18,11,61.11%,82,6,22.20%,7,3,42.86%,9,3,18.40%,All Odell Beckham red zone receiving plays
Larry Fitzgerald,ARI,18,13,72.22%,88,8,23.10%,12,7,58.33%,40,7,30.00%,All Larry Fitzgerald red zone receiving plays
A.J. Green,CIN,18,9,50.00%,82,7,27.70%,11,5,45.45%,36,5,33.30%,All A.J. Green red zone receiving plays
Greg Olsen,CAR,18,10,55.56%,83,4,26.10%,9,4,44.44%,23,2,30.00%,All Greg Olsen red zone receiving plays
Cole Beasley,DAL,17,10,58.82%,74,5,23.90%,8,6,75.00%,20,4,21.10%,All Cole Beasley red zone receiving plays
Golden Tate,DET,17,11,64.71%,39,6,24.30%,11,10,90.91%,33,6,29.70%,All Golden Tate red zone receiving plays
John Brown,ARI,16,10,62.50%,97,6,20.50%,5,4,80.00%,20,3,12.50%,All John Brown red zone receiving plays
Julian Edelman,NWE,16,10,62.50%,78,5,19.30%,7,4,57.14%,29,3,17.50%,All Julian Edelman red zone receiving plays
Calvin Johnson,DET,16,11,68.75%,85,7,22.90%,9,6,66.67%,24,5,24.30%,All Calvin Johnson red zone receiving plays
James Jones,GNB,16,4,25.00%,30,3,18.00%,10,2,20.00%,9,2,20.00%,All James Jones red zone receiving plays
Ben Watson,NOR,16,10,62.50%,73,5,22.90%,5,4,80.00%,16,3,16.70%,All Ben Watson red zone receiving plays
Doug Baldwin,SEA,15,9,60.00%,99,6,28.80%,5,2,40.00%,9,2,20.80%,All Doug Baldwin red zone receiving plays
Tyler Eifert,CIN,15,12,80.00%,106,11,23.10%,9,8,88.89%,55,8,27.30%,All Tyler Eifert red zone receiving plays
Pierre Garcon,WAS,15,8,53.33%,55,5,19.00%,11,4,36.36%,15,4,26.80%,All Pierre Garcon red zone receiving plays
T.Y. Hilton,IND,15,7,46.67%,51,3,20.80%,6,3,50.00%,13,2,18.20%,All T.Y. Hilton red zone receiving plays
Alshon Jeffery,CHI,15,5,33.33%,56,2,20.80%,4,1,25.00%,10,1,10.50%,All Alshon Jeffery red zone receiving plays
Delanie Walker,TEN,15,12,80.00%,89,4,27.30%,9,7,77.78%,25,4,29.00%,All Delanie Walker red zone receiving plays
Markus Wheaton,PIT,15,7,46.67%,44,3,19.50%,5,4,80.00%,23,3,12.20%,All Markus Wheaton red zone receiving plays
Danny Woodhead,SDG,15,10,66.67%,77,5,21.40%,8,5,62.50%,35,4,30.80%,All Danny Woodhead red zone receiving plays
Travis Benjamin,CLE,14,4,28.57%,24,1,16.30%,5,1,20.00%,4,1,12.50%,All Travis Benjamin red zone receiving plays
Jordan Cameron,MIA,14,6,42.86%,53,3,20.60%,4,1,25.00%,2,1,9.30%,All Jordan Cameron red zone receiving plays
Mike Evans,TAM,14,2,14.29%,10,2,19.40%,8,2,25.00%,10,2,19.00%,All Mike Evans red zone receiving plays
Devonta Freeman,ATL,14,9,64.29%,69,3,19.40%,4,3,75.00%,12,1,11.10%,All Devonta Freeman red zone receiving plays
Jordan Matthews,PHI,14,9,64.29%,55,5,26.90%,8,7,87.50%,41,5,34.80%,All Jordan Matthews red zone receiving plays
Richard Rodgers,GNB,14,10,71.43%,46,7,15.70%,10,6,60.00%,25,6,20.00%,All Richard Rodgers red zone receiving plays
Dez Bryant,DAL,13,4,30.77%,48,3,18.30%,7,1,14.29%,10,1,18.40%,All Dez Bryant red zone receiving plays
Martavis Bryant,PIT,13,5,38.46%,51,3,16.90%,9,1,11.11%,8,1,22.00%,All Martavis Bryant red zone receiving plays
Michael Crabtree,OAK,13,3,23.08%,18,2,23.20%,8,2,25.00%,10,2,36.40%,All Michael Crabtree red zone receiving plays
Antonio Gates,SDG,13,6,46.15%,66,5,18.60%,5,1,20.00%,9,1,19.20%,All Antonio Gates red zone receiving plays
Allen Hurns,JAX,13,8,61.54%,56,5,14.60%,9,4,44.44%,23,3,17.60%,All Allen Hurns red zone receiving plays
Vincent Jackson,TAM,13,5,38.46%,53,3,18.10%,8,1,12.50%,6,1,19.00%,All Vincent Jackson red zone receiving plays
Jeremy Maclin,KAN,13,10,76.92%,81,6,22.40%,4,2,50.00%,6,2,21.10%,All Jeremy Maclin red zone receiving plays
Heath Miller,PIT,13,8,61.54%,58,2,16.90%,9,4,44.44%,15,2,22.00%,All Heath Miller red zone receiving plays
Theo Riddick,DET,13,10,76.92%,72,2,18.60%,5,4,80.00%,23,2,13.50%,All Theo Riddick red zone receiving plays
Nate Washington,HOU,13,5,38.46%,33,2,18.60%,5,2,40.00%,9,1,17.20%,All Nate Washington red zone receiving plays
Jason Witten,DAL,13,8,61.54%,48,3,18.30%,7,3,42.86%,7,2,18.40%,All Jason Witten red zone receiving plays
Brian Hartline,CLE,12,7,58.33%,39,2,14.00%,7,4,57.14%,23,2,17.50%,All Brian Hartline red zone receiving plays
Marvin Jones,CIN,12,7,58.33%,58,2,18.50%,4,3,75.00%,20,1,12.10%,All Marvin Jones red zone receiving plays
Donte Moncrief,IND,12,8,66.67%,58,5,16.70%,5,3,60.00%,15,3,15.20%,All Donte Moncrief red zone receiving plays
Davante Adams,GNB,11,5,45.45%,27,1,12.40%,5,3,60.00%,12,1,10.00%,All Davante Adams red zone receiving plays
Danny Amendola,NWE,11,8,72.73%,54,3,13.30%,5,3,60.00%,13,2,12.50%,All Danny Amendola red zone receiving plays
Jamison Crowder,WAS,11,5,45.45%,21,2,13.90%,8,3,37.50%,2,1,19.50%,All Jamison Crowder red zone receiving plays
Coby Fleener,IND,11,6,54.55%,29,2,15.30%,4,2,50.00%,10,2,12.10%,All Coby Fleener red zone receiving plays
Devin Funchess,CAR,11,5,45.45%,62,5,15.90%,5,1,20.00%,5,1,16.70%,All Devin Funchess red zone receiving plays
Andre Johnson,IND,11,5,45.45%,45,4,15.30%,7,3,42.86%,9,2,21.20%,All Andre Johnson red zone receiving plays
Rueben Randle,NYG,11,5,45.45%,39,3,13.60%,9,4,44.44%,28,2,23.70%,All Rueben Randle red zone receiving plays
Shane Vereen,NYG,11,8,72.73%,47,4,13.60%,5,4,80.00%,16,4,13.20%,All Shane Vereen red zone receiving plays
Javorius Allen,BAL,10,6,60.00%,37,1,13.30%,2,0,0.00%,0,0,6.10%,All Javorius Allen red zone receiving plays
Jerricho Cotchery,CAR,10,6,60.00%,49,2,14.50%,4,3,75.00%,11,1,13.30%,All Jerricho Cotchery red zone receiving plays
Owen Daniels,DEN,10,4,40.00%,20,3,14.50%,4,2,50.00%,2,2,13.80%,All Owen Daniels red zone receiving plays
Michael Floyd,ARI,10,4,40.00%,25,2,12.80%,4,2,50.00%,6,2,10.00%,All Michael Floyd red zone receiving plays
Matt Forte,CHI,10,6,60.00%,37,2,13.90%,7,3,42.86%,15,2,18.40%,All Matt Forte red zone receiving plays
Stevie Johnson,SDG,10,7,70.00%,57,3,14.30%,2,2,100.00%,15,2,7.70%,All Stevie Johnson red zone receiving plays
Travis Kelce,KAN,10,5,50.00%,40,4,17.20%,5,2,40.00%,12,2,26.30%,All Travis Kelce red zone receiving plays
Eddie Royal,CHI,10,6,60.00%,27,1,13.90%,9,5,55.56%,28,1,23.70%,All Eddie Royal red zone receiving plays
Kyle Rudolph,MIN,10,4,40.00%,19,3,26.30%,8,3,37.50%,10,3,53.30%,All Kyle Rudolph red zone receiving plays
Charles Sims,TAM,10,6,60.00%,55,2,13.90%,1,1,100.00%,10,1,2.40%,All Charles Sims red zone receiving plays
Julius Thomas,JAX,10,5,50.00%,29,3,11.20%,7,3,42.86%,17,3,13.70%,All Julius Thomas red zone receiving plays
Will Tye,NYG,10,5,50.00%,35,3,12.30%,6,4,66.67%,29,3,15.80%,All Will Tye red zone receiving plays
Terrance Williams,DAL,10,3,30.00%,33,1,14.10%,6,0,0.00%,0,0,15.80%,All Terrance Williams red zone receiving plays
Tavon Austin,STL,9,4,44.44%,46,4,26.50%,4,1,25.00%,5,1,36.40%,All Tavon Austin red zone receiving plays
Scott Chandler,NWE,9,6,66.67%,50,4,10.80%,6,4,66.67%,19,3,15.00%,All Scott Chandler red zone receiving plays
Zach Ertz,PHI,9,3,33.33%,10,1,17.30%,4,2,50.00%,7,1,17.40%,All Zach Ertz red zone receiving plays
Ted Ginn,CAR,9,7,77.78%,59,6,13.00%,3,3,100.00%,11,3,10.00%,All Ted Ginn red zone receiving plays
Dorial Green-Beckham,TEN,9,4,44.44%,30,3,16.40%,5,2,40.00%,8,2,16.10%,All Dorial Green-Beckham red zone receiving plays
Leonard Hankerson,ATL,9,6,66.67%,46,3,12.50%,4,3,75.00%,16,3,11.10%,All Leonard Hankerson red zone receiving plays
Kyle Juszczyk,BAL,9,7,77.78%,26,4,12.00%,7,5,71.43%,10,4,21.20%,All Kyle Juszczyk red zone receiving plays
Jermaine Kearse,SEA,9,6,66.67%,68,3,17.30%,3,1,33.33%,9,1,12.50%,All Jermaine Kearse red zone receiving plays
Seth Roberts,OAK,9,5,55.56%,58,5,16.10%,3,1,33.33%,10,1,13.60%,All Seth Roberts red zone receiving plays
Austin Seferian-Jenkins,TAM,9,3,33.33%,21,2,12.50%,7,3,42.86%,21,2,16.70%,All Austin Seferian-Jenkins red zone receiving plays
Steve Smith,BAL,9,2,22.22%,23,1,12.00%,3,1,33.33%,7,0,9.10%,All Steve Smith red zone receiving plays
James Starks,GNB,9,6,66.67%,40,2,10.10%,1,1,100.00%,5,1,2.00%,All James Starks red zone receiving plays
Bryan Walters,JAX,9,4,44.44%,23,0,10.10%,2,1,50.00%,6,0,3.90%,All Bryan Walters red zone receiving plays
Charcandrick West,KAN,9,2,22.22%,4,0,15.50%,2,0,0.00%,0,0,10.50%,All Charcandrick West red zone receiving plays
Kamar Aiken,BAL,8,6,75.00%,46,4,10.70%,5,3,60.00%,12,2,15.20%,All Kamar Aiken red zone receiving plays
Martellus Bennett,CHI,8,5,62.50%,21,2,11.10%,5,2,40.00%,6,2,13.20%,All Martellus Bennett red zone receiving plays
Brandin Cooks,NOR,8,4,50.00%,26,2,11.40%,3,2,66.67%,8,1,10.00%,All Brandin Cooks red zone receiving plays
Jared Cook,STL,8,3,37.50%,25,0,23.50%,2,1,50.00%,7,0,18.20%,All Jared Cook red zone receiving plays
Larry Donnell,NYG,8,4,50.00%,28,2,9.90%,4,2,50.00%,11,1,10.50%,All Larry Donnell red zone receiving plays
Eric Ebron,DET,8,6,75.00%,59,5,11.40%,4,3,75.00%,11,3,10.80%,All Eric Ebron red zone receiving plays
Crockett Gillmore,BAL,8,5,62.50%,49,3,10.70%,4,3,75.00%,22,3,12.10%,All Crockett Gillmore red zone receiving plays
Jimmy Graham,SEA,8,3,37.50%,8,1,15.40%,4,2,50.00%,8,1,16.70%,All Jimmy Graham red zone receiving plays
Ladarius Green,SDG,8,5,62.50%,62,3,11.40%,1,0,0.00%,0,0,3.80%,All Ladarius Green red zone receiving plays
Jermaine Gresham,ARI,8,2,25.00%,21,1,10.30%,5,1,20.00%,7,0,12.50%,All Jermaine Gresham red zone receiving plays
Dwayne Harris,NYG,8,5,62.50%,27,2,9.90%,3,2,66.67%,10,2,7.90%,All Dwayne Harris red zone receiving plays
Andrew Hawkins,CLE,8,3,37.50%,18,0,9.30%,2,0,0.00%,0,0,5.00%,All Andrew Hawkins red zone receiving plays
Josh Hill,NOR,8,4,50.00%,26,2,11.40%,5,3,60.00%,19,2,16.70%,All Josh Hill red zone receiving plays
David Johnson,ARI,8,3,37.50%,34,2,10.30%,4,1,25.00%,10,1,10.00%,All David Johnson red zone receiving plays
Duke Johnson,CLE,8,6,75.00%,23,1,9.30%,3,1,33.33%,-5,0,7.50%,All Duke Johnson red zone receiving plays
DeVante Parker,MIA,8,1,12.50%,15,1,11.80%,6,0,0.00%,0,0,14.00%,All DeVante Parker red zone receiving plays
Emmanuel Sanders,DEN,8,4,50.00%,48,3,11.60%,3,1,33.33%,8,1,10.30%,All Emmanuel Sanders red zone receiving plays
Willie Snead,NOR,8,5,62.50%,30,2,11.40%,4,2,50.00%,9,1,13.30%,All Willie Snead red zone receiving plays
Chris Thompson,WAS,8,8,100.00%,66,2,10.10%,2,2,100.00%,9,1,4.90%,All Chris Thompson red zone receiving plays
Roddy White,ATL,8,3,37.50%,18,1,11.10%,6,2,33.33%,11,1,16.70%,All Roddy White red zone receiving plays
Marques Colston,NOR,7,5,71.43%,25,3,10.00%,4,2,50.00%,4,2,13.30%,All Marques Colston red zone receiving plays
Amari Cooper,OAK,7,3,42.86%,38,2,12.50%,0,0,,0,0,0.00%,All Amari Cooper red zone receiving plays
Vernon Davis,2TM,7,4,57.14%,18,0,,4,2,50.00%,2,0,,All Vernon Davis red zone receiving plays
Brandon LaFell,NWE,7,3,42.86%,29,0,8.40%,2,0,0.00%,0,0,5.00%,All Brandon LaFell red zone receiving plays
Jeremy Langford,CHI,7,3,42.86%,17,0,9.70%,4,2,50.00%,8,0,10.50%,All Jeremy Langford red zone receiving plays
Vance McDonald,SFO,7,4,57.14%,35,3,10.80%,3,2,66.67%,9,2,11.50%,All Vance McDonald red zone receiving plays
Bilal Powell,NYJ,7,4,57.14%,47,1,9.20%,0,0,,0,0,0.00%,All Bilal Powell red zone receiving plays
Denard Robinson,JAX,7,4,57.14%,34,0,7.90%,3,2,66.67%,12,0,5.90%,All Denard Robinson red zone receiving plays
Mohamed Sanu,CIN,7,4,57.14%,31,0,10.80%,2,0,0.00%,0,0,6.10%,All Mohamed Sanu red zone receiving plays
Cecil Shorts,HOU,7,5,71.43%,34,2,10.00%,2,2,100.00%,11,2,6.90%,All Cecil Shorts red zone receiving plays
De'Anthony Thomas,KAN,7,6,85.71%,33,1,12.10%,2,2,100.00%,-3,0,10.50%,All De'Anthony Thomas red zone receiving plays
Mike Tolbert,CAR,7,6,85.71%,32,3,10.10%,3,3,100.00%,7,2,10.00%,All Mike Tolbert red zone receiving plays
Clive Walford,OAK,7,2,28.57%,11,2,12.50%,2,2,100.00%,11,2,9.10%,All Clive Walford red zone receiving plays
Mike Wallace,MIN,7,3,42.86%,21,2,18.40%,4,2,50.00%,11,2,26.70%,All Mike Wallace red zone receiving plays
Robert Woods,BUF,7,4,57.14%,29,2,17.90%,3,2,66.67%,5,1,15.80%,All Robert Woods red zone receiving plays
