Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
CeeDee Lamb,DAL,31,17,54.84%,131,8,29.80%,17,8,47.06%,31,4,33.30%,All CeeDee Lamb red zone receiving plays
Davante Adams,LVR,29,16,55.17%,74,6,40.80%,15,10,66.67%,38,5,42.90%,All Davante Adams red zone receiving plays
Calvin Ridley,JAX,26,9,34.62%,60,5,41.30%,13,5,38.46%,20,4,43.30%,All Calvin Ridley red zone receiving plays
Tyreek Hill,MIA,24,15,62.50%,54,4,35.80%,16,8,50.00%,17,4,36.40%,All Tyreek Hill red zone receiving plays
Jake Ferguson,DAL,23,12,52.17%,94,5,22.10%,12,4,33.33%,12,3,23.50%,All Jake Ferguson red zone receiving plays
D.K. Metcalf,SEA,23,10,43.48%,79,6,35.40%,9,5,55.56%,28,5,37.50%,All D.K. Metcalf red zone receiving plays
Amon-Ra St. Brown,DET,23,16,69.57%,107,5,35.40%,12,7,58.33%,35,3,34.30%,All Amon-Ra St. Brown red zone receiving plays
Rashee Rice,KAN,22,16,72.73%,110,6,25.00%,11,8,72.73%,32,5,22.90%,All Rashee Rice red zone receiving plays
Ja'Marr Chase,CIN,19,12,63.16%,68,4,25.70%,10,5,50.00%,13,3,27.00%,All Ja'Marr Chase red zone receiving plays
Travis Kelce,KAN,19,13,68.42%,74,5,21.60%,10,6,60.00%,23,5,20.80%,All Travis Kelce red zone receiving plays
Michael Pittman,IND,19,14,73.68%,102,2,32.20%,4,2,50.00%,14,2,16.00%,All Michael Pittman red zone receiving plays
Romeo Doubs,GNB,18,9,50.00%,66,7,20.00%,9,6,66.67%,34,6,24.30%,All Romeo Doubs red zone receiving plays
Cooper Kupp,LAR,18,11,61.11%,68,4,24.70%,8,4,50.00%,11,3,19.50%,All Cooper Kupp red zone receiving plays
DeAndre Hopkins,TEN,17,7,41.18%,55,4,36.20%,10,4,40.00%,19,3,43.50%,All DeAndre Hopkins red zone receiving plays
David Njoku,CLE,17,8,47.06%,41,3,26.60%,10,3,30.00%,7,2,34.50%,All David Njoku red zone receiving plays
Deebo Samuel,SFO,17,11,64.71%,92,3,24.30%,3,2,66.67%,11,1,11.50%,All Deebo Samuel red zone receiving plays
Courtland Sutton,DEN,17,12,70.59%,101,8,26.20%,7,3,42.86%,18,3,20.00%,All Courtland Sutton red zone receiving plays
Garrett Wilson,NYJ,17,9,52.94%,42,2,34.70%,11,5,45.45%,18,2,35.50%,All Garrett Wilson red zone receiving plays
Chris Godwin,TAM,16,5,31.25%,33,1,27.10%,11,2,18.18%,10,1,37.90%,All Chris Godwin red zone receiving plays
Drake London,ATL,16,10,62.50%,61,2,29.60%,8,4,50.00%,13,1,28.60%,All Drake London red zone receiving plays
Christian McCaffrey,SFO,16,12,75.00%,61,5,22.90%,8,6,75.00%,32,4,30.80%,All Christian McCaffrey red zone receiving plays
Puka Nacua,LAR,16,9,56.25%,84,3,21.90%,8,4,50.00%,17,2,19.50%,All Puka Nacua red zone receiving plays
Jordan Addison,MIN,15,7,46.67%,39,3,19.00%,9,4,44.44%,20,3,19.10%,All Jordan Addison red zone receiving plays
A.J. Brown,PHI,15,9,60.00%,70,4,30.60%,7,3,42.86%,8,2,41.20%,All A.J. Brown red zone receiving plays
Nico Collins,HOU,15,9,60.00%,62,6,22.10%,9,5,55.56%,19,4,25.00%,All Nico Collins red zone receiving plays
Stefon Diggs,BUF,15,10,66.67%,90,6,24.20%,5,2,40.00%,7,1,18.50%,All Stefon Diggs red zone receiving plays
Cole Kmet,CHI,15,11,73.33%,67,5,26.80%,6,5,83.33%,25,4,23.10%,All Cole Kmet red zone receiving plays
Sam LaPorta,DET,15,11,73.33%,93,8,23.10%,10,7,70.00%,34,5,28.60%,All Sam LaPorta red zone receiving plays
Jakobi Meyers,LVR,15,11,73.33%,89,6,21.10%,9,6,66.67%,39,4,25.70%,All Jakobi Meyers red zone receiving plays
Curtis Samuel,WAS,15,7,46.67%,58,4,23.40%,7,3,42.86%,13,3,20.00%,All Curtis Samuel red zone receiving plays
Mark Andrews,BAL,14,10,71.43%,77,6,21.90%,7,5,71.43%,22,4,22.60%,All Mark Andrews red zone receiving plays
Mike Evans,TAM,14,5,35.71%,25,5,23.70%,8,4,50.00%,6,4,27.60%,All Mike Evans red zone receiving plays
Jayden Reed,GNB,14,9,64.29%,80,5,15.60%,8,4,50.00%,33,4,21.60%,All Jayden Reed red zone receiving plays
Adam Thielen,CAR,14,8,57.14%,57,4,38.90%,9,5,55.56%,27,3,40.90%,All Adam Thielen red zone receiving plays
Amari Cooper,CLE,13,5,38.46%,43,2,20.30%,5,2,40.00%,13,1,17.20%,All Amari Cooper red zone receiving plays
Zay Flowers,BAL,13,10,76.92%,30,3,20.30%,6,6,100.00%,25,3,19.40%,All Zay Flowers red zone receiving plays
Joe Mixon,CIN,13,11,84.62%,65,3,17.60%,6,5,83.33%,27,3,16.20%,All Joe Mixon red zone receiving plays
Elijah Moore,CLE,13,7,53.85%,40,2,20.30%,6,2,33.33%,18,2,20.70%,All Elijah Moore red zone receiving plays
Dalton Schultz,HOU,13,6,46.15%,60,4,19.10%,5,3,60.00%,16,3,13.90%,All Dalton Schultz red zone receiving plays
Adam Trautman,DEN,13,6,46.15%,44,3,20.00%,9,5,55.56%,29,3,25.70%,All Adam Trautman red zone receiving plays
Christian Watson,GNB,13,6,46.15%,57,5,14.40%,7,2,28.57%,10,2,18.90%,All Christian Watson red zone receiving plays
Keenan Allen,LAC,12,7,58.33%,46,5,16.40%,11,6,54.55%,34,4,25.00%,All Keenan Allen red zone receiving plays
Brandin Cooks,DAL,12,7,58.33%,48,6,11.50%,9,6,66.67%,40,6,17.60%,All Brandin Cooks red zone receiving plays
George Kittle,SFO,12,8,66.67%,59,3,17.10%,4,3,75.00%,18,2,15.40%,All George Kittle red zone receiving plays
Tyler Lockett,SEA,12,6,50.00%,49,4,18.50%,5,3,60.00%,14,3,20.80%,All Tyler Lockett red zone receiving plays
Tony Pollard,DAL,12,11,91.67%,41,0,11.50%,2,1,50.00%,3,0,3.90%,All Tony Pollard red zone receiving plays
Kyren Williams,LAR,12,5,41.67%,22,3,16.40%,4,4,100.00%,7,2,9.80%,All Kyren Williams red zone receiving plays
Odell Beckham,BAL,11,5,45.45%,30,1,17.20%,7,2,28.57%,15,1,22.60%,All Odell Beckham red zone receiving plays
Gabriel Davis,BUF,11,6,54.55%,64,5,17.70%,5,3,60.00%,13,3,18.50%,All Gabriel Davis red zone receiving plays
Jahan Dotson,WAS,11,5,45.45%,32,2,17.20%,7,2,28.57%,18,2,20.00%,All Jahan Dotson red zone receiving plays
Justin Jefferson,MIN,11,4,36.36%,25,1,13.90%,7,1,14.29%,4,1,14.90%,All Justin Jefferson red zone receiving plays
Alexander Mattison,MIN,11,5,45.45%,26,3,13.90%,6,3,50.00%,15,3,12.80%,All Alexander Mattison red zone receiving plays
Trey McBride,ARI,11,7,63.64%,50,3,19.00%,7,3,42.86%,16,2,26.90%,All Trey McBride red zone receiving plays
D.J. Moore,CHI,11,7,63.64%,39,3,19.60%,7,4,57.14%,16,2,26.90%,All D.J. Moore red zone receiving plays
Chris Olave,NOR,11,7,63.64%,53,4,16.90%,6,3,50.00%,20,3,18.20%,All Chris Olave red zone receiving plays
Gerald Everett,LAC,10,8,80.00%,35,3,13.70%,7,5,71.43%,22,3,15.90%,All Gerald Everett red zone receiving plays
Dallas Goedert,PHI,10,6,60.00%,46,3,20.40%,3,2,66.67%,15,2,17.60%,All Dallas Goedert red zone receiving plays
T.J. Hockenson,MIN,10,7,70.00%,46,4,12.70%,7,4,57.14%,14,3,14.90%,All T.J. Hockenson red zone receiving plays
Jerry Jeudy,DEN,10,7,70.00%,35,1,15.40%,5,2,40.00%,-5,0,14.30%,All Jerry Jeudy red zone receiving plays
Diontae Johnson,PIT,10,5,50.00%,23,3,23.80%,4,3,75.00%,9,3,22.20%,All Diontae Johnson red zone receiving plays
Aaron Jones,GNB,10,7,70.00%,11,0,11.10%,2,1,50.00%,5,0,5.40%,All Aaron Jones red zone receiving plays
Zay Jones,JAX,10,5,50.00%,41,2,15.90%,5,2,40.00%,12,1,16.70%,All Zay Jones red zone receiving plays
K.J. Osborn,MIN,10,3,30.00%,20,2,12.70%,6,3,50.00%,20,2,12.80%,All K.J. Osborn red zone receiving plays
Cade Otton,TAM,10,7,70.00%,51,4,16.90%,3,2,66.67%,7,2,10.30%,All Cade Otton red zone receiving plays
Donald Parham,LAC,10,6,60.00%,35,4,13.70%,7,4,57.14%,10,3,15.90%,All Donald Parham red zone receiving plays
Josh Reynolds,DET,10,4,40.00%,25,4,15.40%,6,3,50.00%,13,3,17.10%,All Josh Reynolds red zone receiving plays
Bijan Robinson,ATL,10,6,60.00%,37,2,18.50%,6,2,33.33%,9,1,21.40%,All Bijan Robinson red zone receiving plays
Jaxon Smith-Njigba,SEA,10,4,40.00%,37,2,15.40%,5,1,20.00%,9,1,20.80%,All Jaxon Smith-Njigba red zone receiving plays
Robert Woods,HOU,10,3,30.00%,23,1,14.70%,4,1,25.00%,6,1,11.10%,All Robert Woods red zone receiving plays
Brandon Aiyuk,SFO,9,6,66.67%,70,5,12.90%,4,2,50.00%,10,2,15.40%,All Brandon Aiyuk red zone receiving plays
Marquise Brown,ARI,9,5,55.56%,19,3,15.50%,4,3,75.00%,6,3,15.40%,All Marquise Brown red zone receiving plays
Tyler Conklin,NYJ,9,4,44.44%,18,0,18.40%,8,4,50.00%,18,0,25.80%,All Tyler Conklin red zone receiving plays
Josh Downs,IND,9,4,44.44%,29,1,15.30%,5,2,40.00%,5,1,20.00%,All Josh Downs red zone receiving plays
Austin Ekeler,LAC,9,6,66.67%,12,0,12.30%,2,1,50.00%,2,0,4.50%,All Austin Ekeler red zone receiving plays
Evan Engram,JAX,9,6,66.67%,33,3,14.30%,4,2,50.00%,12,2,13.30%,All Evan Engram red zone receiving plays
Tee Higgins,CIN,9,4,44.44%,32,3,12.20%,4,2,50.00%,7,2,10.80%,All Tee Higgins red zone receiving plays
Dalton Kincaid,BUF,9,5,55.56%,27,0,14.50%,4,2,50.00%,7,0,14.80%,All Dalton Kincaid red zone receiving plays
Josh Palmer,LAC,9,3,33.33%,15,0,12.30%,5,1,20.00%,3,0,11.40%,All Josh Palmer red zone receiving plays
Demarcus Robinson,LAR,9,4,44.44%,17,3,12.30%,7,4,57.14%,17,3,17.10%,All Demarcus Robinson red zone receiving plays
Jonnu Smith,ATL,9,6,66.67%,46,2,16.70%,5,3,60.00%,9,1,17.90%,All Jonnu Smith red zone receiving plays
Logan Thomas,WAS,9,4,44.44%,28,4,14.10%,6,3,50.00%,13,3,17.10%,All Logan Thomas red zone receiving plays
Michael Thomas,NOR,9,2,22.22%,21,1,13.80%,5,0,0.00%,0,0,15.20%,All Michael Thomas red zone receiving plays
Tank Dell,HOU,8,5,62.50%,44,3,11.80%,3,2,66.67%,13,2,8.30%,All Tank Dell red zone receiving plays
Quentin Johnston,LAC,8,4,50.00%,17,2,11.00%,4,2,50.00%,7,2,9.10%,All Quentin Johnston red zone receiving plays
Alvin Kamara,NOR,8,8,100.00%,47,1,12.30%,1,1,100.00%,5,0,3.00%,All Alvin Kamara red zone receiving plays
Dawson Knox,BUF,8,3,37.50%,10,2,12.90%,5,3,60.00%,10,2,18.50%,All Dawson Knox red zone receiving plays
Terry McLaurin,WAS,8,5,62.50%,31,1,12.50%,3,1,33.33%,3,1,8.60%,All Terry McLaurin red zone receiving plays
