Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Le'Veon Bell,,,RB1,,,,1,,1.5
2,Adrian Peterson,,,RB2,,,,2,,1.8
3,Antonio Brown,,,WR1,,,,4,,3.8
4,Jamaal Charles,,,RB3,,,,5,,4
5,Eddie Lacy,,,RB4,,,,3,,4
6,Marshawn Lynch,,,RB5,,,,6,,7.3
7,Julio Jones,,,WR2,,,,7,,7.8
8,Dez Bryant,,,WR3,,,,10,,8
9,Rob Gronkowski,,,TE1,,,,8,,9
10,Odell Beckham Jr.,,,WR4,,,,11,,11
11,C.J. Anderson,,,RB6,,,,9,,11.5
12,Demaryius Thomas,,,WR5,,,,13,,11.8
13,Matt Forte,,,RB7,,,,12,,12.3
14,Calvin Johnson,,,WR6,,,,15,,14.8
15,DeMarco Murray,,,RB8,,,,14,,16
16,Jeremy Hill,,,RB9,,,,16,,16.8
17,A.J. Green,,,WR7,,,,18,,18
18,Andrew Luck,,,QB1,,,,19,,18.3
19,Randall Cobb,,,WR8,,,,20,,19.5
20,LeSean McCoy,,,RB10,,,,17,,19.5
21,Aaron Rodgers,,,QB2,,,,26,,21.8
22,Justin Forsett,,,RB11,,,,21,,22.3
23,T.Y. Hilton,,,WR9,,,,23,,23.5
24,Alshon Jeffery,,,WR10,,,,25,,24.3
25,Brandin Cooks,NO,11,WR11,,,,27,,26.8
26,Mike Evans,TB,6,WR12,,,,28,,26.8
27,Lamar Miller,,,RB12,,,,24,,27
28,Frank Gore,,,RB13,,,,29,,29
29,DeAndre Hopkins,BAL,9,WR13,,,,34,,29.8
30,Jimmy Graham,,,TE2,,,,30,,30.3
31,Jordan Matthews,,,TE3,,,,31,,31.5
32,Mark Ingram,II,,RB14,,,,32,,31.8
33,Emmanuel Sanders,,,WR14,,,,33,,32.5
34,Melvin Gordon,III,,RB15,,,,36,,37
35,Latavius Murray,,,RB16,,,,35,,37.8
36,Alfred Morris,,,RB17,,,,38,,41
37,Carlos Hyde,,,RB18,,,,40,,41.8
38,Andre Ellington,,,RB19,,,,39,,42
39,Andre Johnson,,,WR15,,,,45,,44.3
40,Amari Cooper,,,WR16,,,,49,,45
41,Golden Tate,,,WR17,,,,41,,45.5
42,Julian Edelman,,,WR18,,,,51,,47.3
43,Arian Foster,,,RB20,,,,56,,48.5
44,Ameer Abdullah,,,RB21,,,,42,,49
45,Keenan Allen,,,WR19,,,,53,,49.3
46,Joseph Randle,,,RB22,,,,43,,49.8
47,Jeremy Maclin,,,WR20,,,,44,,50
48,Jonathan Stewart,,,RB23,,,,46,,50.3
