Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
412.3,Josh Allen,BUF,14,23.7,22.3,36.5,28.8,14.9,25.3,30.1,23.7,16,23.5,40.7,,21.5,16.2,26,22.2,27.1
71.7,Anthony Richardson,IND,21.9,17.7,,27.6,4.4,,,,,,,,,,,,,
0,Sam Ehlinger,IND,,,,,,,,,,,,,,0,,,,
23.6,Andy Dalton,CAR,,0,23.5,,0.1,,,,,,,,,,,,,
381.5,Jalen Hurts,PHI,14.5,26.2,21.9,24.2,28.3,22.9,26.3,29.4,25.9,,19.9,37.2,23.9,10.9,23.9,24.4,20.2,1.6
14.8,Marcus Mariota,PHI,,,,,,,,,,,,,1.2,0,,,,13.5
29,P.J. Walker,CLV,,,,,,5.8,6.4,14.6,0,0,,2.1,,,,,,
25.6,Tyler Huntley,BLT,,,,0.8,,,0,,6.3,,,,,,,,4.7,13.8
136.8,Aidan O'Connell,LV,,,,14.8,,,6,,8.4,9.4,12.1,13.9,,6,25.9,2.1,20.3,17.9
8.9,Blaine Gabbert,KC,,,-0.9,,,,,,,,,,,,,,,9.8
351.8,Dak Prescott,DAL,6.3,19.6,15.4,14.3,7.3,24.9,,29.1,28.4,38.9,16.2,30.2,26.3,19.9,7.1,20.6,21.3,26.2
348.2,Lamar Jackson,BLT,9.6,22.9,30.2,30.1,12.9,18.1,35.9,12,13.5,15,24,15,,30.6,19.5,22.6,36.3,
112,Will Levis,TEN,,,,,,,,26.6,9.7,7,14.5,7.1,13.5,17.6,15.5,,0.6,
22.9,Jacoby Brissett,WAS,,,,,,,,,,,,,0,,13.9,9,,
74.7,Nick Mullens,MIN,,,,,,,,,,,,,,3.3,19.1,20.5,9.1,22.6
-0.2,Teddy Bridgewater,DET,,,,,-0.2,,,,,,,,,,,,,
12.7,Case Keenum,HST,,,,,,,,,,,,,,,12.3,0.5,,
7.8,Brett Rypien,NYJ,,,,,,,,1.7,6.1,,,,,,,,,
114.2,Kenny Pickett,PIT,11.7,11.3,18.5,4.5,12.4,,15.2,3.9,10.3,6.6,5.1,11.6,3.1,,,,,
211.2,Gardner Minshew,IND,0,11.1,13.1,,6.3,14.6,34.1,15.8,9.6,6.7,,15.6,20.7,13.1,20.6,10.1,13.3,6.5
246.8,Justin Fields,CHI,17.5,16.7,11.7,30.5,33,5.9,,,,,21.2,14.6,,24.7,11.6,25.5,25.2,8.6
63.3,Tyson Bagent,CHI,,,,,,8.7,12.9,13.2,20.8,7.7,,,,,,,,
88.8,Deshaun Watson,CLV,19.7,14.6,21.2,,,,-0.8,,19,15.2,,,,,,,,
7.1,Jaren Hall,MIN,,,,,,,,0.8,4.2,,,,,,,,2.1,
80.2,Bailey Zappe,NE,,,,2.3,0.9,,,,,0,,1.2,7.2,21.9,10.4,18.4,15.1,2.8
122.4,Mac Jones,NE,25.1,14.7,13.3,4.7,2.4,6.9,20,13.2,12.1,8.3,,1.6,,,,,,
26.3,Sam Darnold,SF,-0.2,,-0.1,-0.1,-0.1,,,,,-0.1,,,-0.1,,0.6,7.1,-0.2,19.4
24.1,Dorian Thompson-Robinson,CLV,,,0,4.2,,,,0.4,,,7.6,11.5,,0.5,0.2,-0.3,,
4.3,Cooper Rush,DAL,0,,,0.6,0.1,,,-0.2,,2.2,0.3,,,,0,,,1.2
25.1,Carson Wentz,LA,,,,,,,,,,,,0,,,,,,25.1
277.2,Sam Howell,WAS,18.2,21.3,4.6,19.6,24.4,18.3,10.5,32,18.7,26.2,20.8,18.3,18.2,,9.3,0.2,8.7,8
218.7,Joshua Dobbs,MIN,5,23.2,17.1,23.4,12.7,13.1,16.1,22.9,26.9,25.1,19.9,8.5,,4.6,,,,
53.7,Mitch Trubisky,PIT,,,,0.7,,,,9.3,,,,,9.2,19.6,14.9,,,
149.4,Kyler Murray,ARZ,,,,,,,,,,18.3,22.7,20.4,11.8,,15.3,20.4,22.7,17.8
15.8,Davis Mills,HST,,,,,,,,,,,0.1,,0.7,0.2,0,14.9,0,
300.2,Patrick Mahomes,KC,20.5,22.2,25.7,15.2,19.2,18.3,34.9,9.6,17.8,,17.9,20.8,14,14.6,17.7,17.7,14,
71.1,Jimmy Garoppolo,LV,16.1,9.5,18.7,,11.7,9.9,,5.2,,,,,,,,,,0
198.7,Desmond Ridder,ATL,8.5,22.4,8.3,10.2,24.2,19.1,19.8,5.4,,8.7,,11.7,8.8,24.4,8.9,,-0.3,18.6
-0.4,Nathan Peterman,CHI,,,,,,,-0.4,,,,,,,,,,,0
41.6,Mason Rudolph,PIT,,,,,,,,,,,,,,,0.1,20,11.5,10
174.4,Bryce Young,CAR,9.5,13.5,,9.2,20.3,12.7,,14.5,12,9.2,8.2,10.1,6.1,9.5,7.6,22.2,3.7,6.2
0.7,Logan Woodside,ATL,,,,,,,,,,,,,,,,,,0.7
