team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DEN,10,16,624,25,74,624,90.1,111,12
CIN,7,16,545,21,71,545,89.4,104,12
GB,12,16,595,18,76,595,89.1,112,18
DAL,9,16,517,17,81,517,88.8,107,9
BLT,3,16,576,21,83,576,88.7,117,13
CLV,8,16,549,23,75,549,88,115,17
PHI,24,16,673,31,115,673,86.9,161,15
PIT,25,16,643,18,106,643,86.9,146,22
OAK,23,16,663,20,125,663,86.5,162,17
NYG,21,16,643,27,111,643,86.3,157,19
HST,13,16,545,27,107,545,86.2,142,8
JAX,15,16,649,23,95,649,86.1,149,31
NYJ,22,16,585,30,116,585,85.8,156,10
CHI,6,16,672,28,127,672,85.5,175,20
WAS,32,16,629,26,100,629,85.4,155,29
ARZ,1,16,612,42,112,612,85.1,168,14
DET,11,16,662,25,121,662,84.9,173,27
BUF,4,16,629,36,108,629,84.7,168,24
IND,14,16,726,61,126,726,84.6,205,18
NE,19,16,646,52,109,646,84.6,180,19
NO,20,16,696,38,146,696,84.5,200,16
SF,28,16,587,12,122,587,84.3,159,25
SEA,29,16,547,20,124,547,84.3,158,14
ATL,2,16,682,38,141,682,83.8,200,21
KC,16,16,580,30,109,580,83.4,166,27
CAR,5,16,619,18,132,619,83.2,179,29
TB,30,16,603,41,118,603,82.3,186,27
SL,26,16,567,30,121,567,82.3,176,25
SD,27,16,630,28,142,630,82.2,197,27
MIA,17,16,648,46,133,648,81.4,210,31
TEN,31,16,591,25,131,591,81,190,34
MIN,18,16,603,32,130,603,80.6,198,36
