player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Mike Remmers,7431,T,CAR,16,0,5,65.2,100,242,48.2,242,64.7,0,100,502,502,61.8,100,194,38.6,194
Michael Oher,4946,T,CAR,16,0,5,49.3,100,236,48.3,236,46.5,0,100,489,489,46.9,100,193,39.5,193
Trai Turner,8727,G,CAR,16,0,5,68.7,100,229,47.7,229,74.1,1,100,480,480,70.2,100,192,40,192
Ben Jones,7099,C,HST,16,0,13,66.1,100,130,27.2,130,76.4,1,100,478,478,76.6,100,297,62.1,297
Greg Olsen,3647,TE,CAR,16,0,5,67.8,100,225,47.9,225,67.1,2,100,470,470,62.2,100,189,40.2,189
Matt Slauson,5117,G,CHI,16,0,6,69.8,100,168,35.7,168,68.8,1,100,470,470,65.5,100,274,58.3,274
Eric Wood,4951,C,BUF,16,0,4,62.6,100,251,53.5,251,64.5,2,100,469,469,63.8,100,167,35.6,167
Richie Incognito,2298,G,BUF,16,0,4,68.5,100,251,53.5,251,72.9,1,100,469,469,73.1,100,167,35.6,167
Kyle Long,7801,T,CHI,16,0,6,65.7,100,167,35.6,167,79.2,4,100,469,469,79.9,100,274,58.4,274
Derek Newton,6366,T,HST,16,0,13,64.6,100,126,27.1,126,77.7,2,100,465,465,78.3,100,293,63,293
Joe Berger,2424,C,MIN,16,0,18,70.4,100,255,55.2,255,73.4,1,100,462,462,74.2,100,150,32.5,150
Michael Harris,7730,G,MIN,16,0,18,61.9,100,255,55.2,255,67.9,1,100,462,462,71.6,100,150,32.5,150
Brandon Fusco,6324,G,MIN,16,0,18,68.2,100,255,55.2,255,70.1,1,100,462,462,58.8,100,150,32.5,150
Cordy Glenn,7045,T,BUF,16,1,4,61.3,100,248,53.8,248,56.6,5,100,461,461,54.8,100,163,35.4,163
Justin Britt,8699,G,SEA,16,0,29,59.3,100,51,11.1,51,56.2,3,100,459,459,57,100,358,78,358
T.J. Clemmings,9543,T,MIN,16,0,18,55.3,100,253,55.1,253,54.8,0,100,459,459,50.5,100,150,32.7,150
Matt Kalil,7010,T,MIN,16,0,18,64.1,100,251,55.2,251,70.3,2,100,455,455,71,100,150,33,150
Garry Gilliam,9137,T,SEA,16,1,29,60.4,100,50,11.1,50,61,2,100,450,450,59.7,100,351,78,351
Ryan Kalil,3675,C,CAR,15,0,5,74.2,100,216,48.3,216,77,0,100,447,447,66.2,100,175,39.1,175
DeAndre Hopkins,7808,WR,HST,16,1,13,67.6,100,123,27.6,123,62,1,100,445,445,64.3,100,279,62.7,279
Russell Bodine,8746,C,CIN,16,0,7,57.5,100,203,45.8,203,58.2,3,100,443,443,54.4,100,190,42.9,190
Allen Barbre,3735,G,PHI,16,0,24,70.6,100,93,21.1,93,63.7,2,100,441,441,56.7,100,330,74.8,330
Clint Boling,6253,G,CIN,16,0,7,57.6,100,203,46,203,69.3,1,100,441,441,73.9,100,188,42.6,188
Lane Johnson,7786,T,PHI,16,1,24,71.1,100,93,21.1,93,79.2,1,100,441,441,79.6,100,330,74.8,330
Jason Kelce,6343,C,PHI,16,1,24,69.6,100,93,21.1,93,72.9,4,100,441,441,71.3,100,330,74.8,330
Brandon Scherff,9438,G,WAS,16,0,32,71.6,100,162,37.1,162,73.9,0,100,437,437,72.4,100,235,53.8,235
Donovan Smith,9467,T,TB,16,0,30,56.1,100,189,43.2,189,61.9,1,100,437,437,67.6,100,205,46.9,205
Kevin Zeitler,7032,G,CIN,16,1,7,67.8,100,201,46.3,201,75.1,2,100,434,434,75.9,100,185,42.6,185
Greg Robinson,8637,T,SL,16,1,26,70,100,56,13,56,64.7,5,100,430,430,57.3,100,302,70.2,302
Tim Barnes,6499,C,SL,16,0,26,66.8,100,55,12.8,55,56.9,0,100,429,429,54.7,100,302,70.4,302
Jared Veldheer,5594,T,ARZ,16,1,1,65.4,100,257,60,257,73.7,2,100,428,428,68.4,100,133,31.1,133
Chris Chester,3001,G,ATL,16,0,2,61.8,100,53,12.4,53,75.8,1,100,426,426,77.2,100,317,74.4,317
Teddy Bridgewater,8667,QB,MIN,16,0,18,60,99.6,241,56.6,242,60,0,96.4,426,442,60,98.6,145,34,147
Ryan Schraeder,8496,T,ATL,16,0,2,62.3,100,53,12.5,53,69,1,100,424,424,70.3,100,317,74.8,317
J.R. Sweezy,7209,G,SEA,15,0,29,58.7,100,45,10.6,45,71.2,5,100,423,423,72.1,100,333,78.7,333
D'Brickashaw Ferguson,2949,T,NYJ,16,0,22,59.1,100,139,33.1,139,55.8,0,100,420,420,55.4,100,241,57.4,241
Andrew Whitworth,3000,T,CIN,16,0,7,72.3,100,194,46.4,194,75.6,2,100,418,418,72.5,100,179,42.8,179
Jameis Winston,9434,QB,TB,16,0,30,60,98.9,187,44.7,189,60,0,95.7,418,437,60,99.5,204,48.8,205
Morgan Moses,8701,T,WAS,16,0,32,75.4,100,156,37.4,156,76,5,100,417,417,70.2,100,224,53.7,224
James Carpenter,6177,G,NYJ,16,0,22,53.5,100,139,33.3,139,71.7,2,100,417,417,77,100,240,57.6,240
Breno Giacomini,4464,T,NYJ,16,0,22,48.5,100,139,33.3,139,53.1,2,100,417,417,59,100,241,57.8,241
Andy Levitre,4974,G,ATL,16,0,2,59.5,100,52,12.6,52,75.6,4,100,413,413,73.5,100,309,74.8,309
Jake Matthews,8641,T,ATL,16,0,2,50.8,100,52,12.6,52,68,2,100,413,413,67.4,100,309,74.8,309
Matt Paradis,8841,C,DEN,16,0,10,75.3,100,58,14.2,58,71.7,0,100,409,409,70.7,100,315,77,315
Jay Cutler,2956,QB,CHI,15,0,6,60.8,100,145,35.5,145,60.7,0,94.2,408,433,60.4,95.4,250,61.3,262
Charles Leno Jr.,8880,T,CHI,16,0,6,62.2,100,138,34,138,68.9,1,100,406,406,69.6,100,241,59.4,241
Max Unger,4972,C,NO,16,0,20,55.9,100,136,33.8,136,62.1,0,100,402,402,68.2,100,213,53,213
Carson Palmer,1317,QB,ARZ,16,0,1,60,100,251,62.8,251,60.1,0,95.7,400,418,60.2,99.2,130,32.5,131
Doug Free,3738,T,DAL,16,0,9,59.4,100,155,38.9,155,67.7,0,100,398,398,68.8,100,215,54,215
Logan Mankins,2249,G,TB,15,0,30,75.2,100,170,42.7,170,75.7,3,100,398,398,68.8,100,188,47.2,188
Tyron Smith,6161,T,DAL,16,0,9,83,100,155,38.9,155,90.2,2,100,398,398,84.7,100,215,54,215
Zack Martin,8651,G,DAL,16,1,9,70.8,100,155,38.9,155,77.4,4,100,398,398,75.5,100,215,54,215
Travis Frederick,7812,C,DAL,16,0,9,65.8,100,155,38.9,155,78.8,0,100,398,398,81.9,100,215,54,215
Bobby Massie,7112,T,ARZ,14,0,1,60.5,100,228,57.4,228,74.5,0,100,397,397,82.2,100,124,31.2,124
Joe Hawley,5641,C,TB,15,0,30,58.5,100,176,44.3,176,59.6,1,100,397,397,61.1,100,182,45.8,182
Brandon Brooks,7078,G,HST,14,0,13,64.5,100,117,29.5,117,72.3,3,100,397,397,72.1,100,236,59.4,236
Josh Sitton,4449,G,GB,16,0,12,74.7,100,79,19.9,79,70.5,3,100,396,396,64.3,100,259,65.4,259
Jason Witten,1384,TE,DAL,16,0,9,79.8,100,154,39.1,154,66.6,1,100,394,394,54.3,100,212,53.8,212
Eli Manning,1722,QB,NYG,16,0,21,60,99.3,148,37.8,149,60,0,97,392,404,60,100,205,52.3,205
Brandon Marshall,3064,WR,NYJ,16,0,22,71.7,100,124,31.7,124,66.1,0,100,391,391,69.1,100,233,59.6,233
Russell Wilson,7077,QB,SEA,16,0,29,60,98,48,12.3,49,60,0,89.2,390,437,60,93.4,324,83.1,347
Lyle Sendlein,4062,C,ARZ,15,0,1,56.6,100,237,60.9,237,56.5,1,100,389,389,63.4,100,119,30.6,119
Matt Ryan,4317,QB,ATL,16,0,2,60,100,52,13.4,52,60,0,94.4,388,411,60,99,306,78.9,309
Matt Tobin,8211,G,PHI,15,0,24,55,100,81,20.9,81,71.4,0,100,387,387,75.3,100,289,74.7,289
Marshal Yanda,3702,G,BLT,16,0,3,75,100,32,8.3,32,89.5,1,100,386,386,87.2,100,320,82.9,320
Weston Richburg,8678,C,NYG,15,0,21,66.5,100,141,36.6,141,78.2,1,100,385,385,73.2,100,196,50.9,196
Kirk Cousins,7102,QB,WAS,16,0,32,60,99.3,148,38.5,149,60,0,94.8,384,405,60,98.2,217,56.5,221
Rick Wagner,7950,T,BLT,16,0,3,63.1,100,32,8.4,32,56,1,100,383,383,54.5,100,317,82.8,317
Ramon Foster,5229,G,PIT,16,0,25,76.5,100,127,33.3,127,75.4,0,100,381,381,65.2,100,200,52.5,200
David DeCastro,7640,G,PIT,16,0,25,71.5,100,127,33.3,127,80.8,0,100,381,381,75.9,100,200,52.5,200
Ryan Harris,3686,T,DEN,16,0,10,72.7,100,54,14.2,54,58.7,1,100,379,379,57,100,290,76.5,290
Philip Rivers,1725,QB,SD,16,0,27,60,100,117,31,117,60,0,97.9,378,386,60,99.5,184,48.7,185
Ryan Fitzpatrick,2467,QB,NYJ,16,0,22,60,99.3,136,36,137,60,0,93.6,378,404,60,99.6,227,60.1,228
Cam Newton,6153,QB,CAR,16,0,5,60.2,85.8,199,52.6,232,60.2,2,78.3,378,483,60,82.8,159,42.1,192
Cody Wallace,4421,C,PIT,16,1,25,67.1,100,127,33.6,127,57.7,5,100,378,378,56.7,100,200,52.9,200
Aaron Rodgers,2241,QB,GB,16,0,12,60,100,79,21,79,60,0,95.7,377,394,60,100,259,68.7,259
Marcus Gilbert,6215,T,PIT,16,0,25,65.1,100,127,33.8,127,71.5,1,100,376,376,70.9,100,199,52.9,199
Trent Williams,5529,T,WAS,14,2,32,75.1,100,136,36.2,136,74.2,3,100,376,376,67.7,100,205,54.5,205
Joe Barksdale,6244,T,SD,16,0,27,59.9,100,111,29.6,111,68,0,100,375,375,69.5,100,182,48.5,182
Larry Fitzgerald,1724,WR,ARZ,16,0,1,91.3,100,228,61,228,88.9,1,100,374,374,68.5,100,126,33.7,126
Kyle Rudolph,6195,TE,MIN,16,0,18,73.1,100,207,55.9,207,68.9,0,100,370,370,55.3,100,117,31.6,117
Justin Pugh,7800,G,NYG,14,0,21,63.1,100,137,37.1,137,75.9,0,100,369,369,81.3,100,186,50.4,186
Jack Mewhort,8694,G,IND,16,1,14,72.1,100,180,48.9,180,73.3,1,100,368,368,69.2,100,147,39.9,147
Nick Mangold,2974,C,NYJ,15,0,22,68,100,124,33.8,124,72.1,0,100,367,367,72.1,100,214,58.3,214
Andre Smith,4929,T,CIN,14,0,7,50.7,100,174,47.4,174,55.6,2,100,367,367,61.3,100,156,42.5,156
Andrew Norwell,9126,G,CAR,13,0,5,71.9,100,171,46.6,171,75.8,0,100,367,367,73.2,100,147,40.1,147
Zach Strief,3155,T,NO,15,0,20,76.3,100,124,34.1,124,70.5,2,100,364,364,64,100,194,53.3,194
Russell Okung,5531,T,SEA,13,0,29,68.8,100,41,11.3,41,75.3,2,100,363,363,74.3,100,283,78,283
Gabe Jackson,8716,G,OAK,16,0,23,65.1,100,196,54.1,196,72.6,0,100,362,362,74.2,100,138,38.1,138
T.J. Lang,5032,G,GB,15,1,12,74.7,100,76,21,76,81.6,1,100,362,362,76.5,100,239,66,239
J'Marcus Webb,5741,G,OAK,16,0,23,53.8,100,196,54.1,196,53,1,100,362,362,50.3,100,138,38.1,138
Mike Person,6391,C,ATL,14,2,2,65.7,100,40,11.1,40,55,2,100,360,360,56.4,100,270,75,270
Donald Penn,3459,T,OAK,16,1,23,71.5,100,194,53.9,194,76.1,3,100,360,360,78.7,100,138,38.3,138
Tyrod Taylor,6332,QB,BUF,14,0,4,60.7,95.6,216,60,226,61.2,0,87,360,414,60.5,87.1,128,35.6,147
