player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joe Berger,2424,G,MIN,16,0,18,56.4,100,179,36.2,179,69.4,1,100,495,495,72.2,100,264,53.3,264
A.J. Cann,9500,G,JAX,15,0,15,54,100,178,38,178,52.5,3,100,468,468,50,100,261,55.8,261
Daryl Williams,9535,T,CAR,16,0,5,64.5,100,239,51.4,239,67.1,0,100,465,465,68.4,100,139,29.9,139
Andrew Norwell,9126,G,CAR,16,0,5,70.6,100,239,51.4,239,65.5,0,100,465,465,58.4,100,139,29.9,139
Blake Bortles,8638,QB,JAX,16,0,15,60,99.5,189,40.7,190,60,0,93.7,464,495,60,94.6,263,56.7,278
Matt Kalil,7010,T,CAR,16,0,5,52.6,100,239,51.5,239,54.3,2,100,464,464,51.9,100,138,29.7,138
James Hurst,9001,G,BLT,16,1,3,45.4,100,224,48.7,224,44.9,2,100,460,460,55.3,100,174,37.8,174
Ryan Jensen,7985,C,BLT,16,1,3,67.7,100,224,48.7,224,72.4,2,100,460,460,81.2,100,174,37.8,174
Austin Howard,5847,T,BLT,16,0,3,60,100,224,48.8,224,62.2,1,100,459,459,67.1,100,173,37.7,173
Travis Frederick,7812,C,DAL,16,0,9,72.2,100,159,34.9,159,84.7,2,100,456,456,88.1,100,265,58.1,265
La'el Collins,9719,T,DAL,16,0,9,57.9,100,159,34.9,159,62.3,0,100,456,456,66.7,100,265,58.1,265
Shaq Mason,9564,G,NE,16,0,19,69.3,100,241,53,241,80.7,1,100,455,455,82.1,100,162,35.6,162
Joe Thuney,10712,G,NE,16,0,19,71.1,100,240,53,240,68.1,2,100,453,453,65.8,100,161,35.5,161
Eric Wood,4951,C,BUF,16,0,4,60.8,100,175,38.6,175,67.4,2,100,453,453,71.3,100,233,51.4,233
