player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,PHI,16,345,62,25,41.6,835,0,2005,2,14,62,1093,63.7,46,82,24,2,147,80.9,85,67,60,63,64.2,85.6,56,72,1,278,33,298,423,0,0,39,378,13,2005,1093,3.17,5.8,0.93,191
Derrick Henry,10679,HB,BLT,17,325,81,25,41.8,803,0,1921,0,7,81,1137,89.5,45,93,3,3,144,69.6,94,29.1,,65.4,75,93.1,55.9,87,2,193,19,179,389,0,0,21,344,16,1921,1137,3.5,5.9,1.08,179
Kyren Williams,97118,HB,LA,16,316,50,6,9.8,127,0,1299,1,5,50,861,42.8,27,84,26,5,159,51.8,69,66.3,,42.9,54,74,53.7,30,1,182,34,351,362,0,0,38,350,14,1299,861,2.72,4.1,0.52,150
Bijan Robinson,123126,HB,ATL,17,304,70,12,17.3,252,1,1456,2,18,70,920,73,34,82,2,1,71,91.6,92.8,89.8,,51.6,82.2,92.8,78.8,37,3,431,61,389,336,0,0,70,365,14,1456,920,3.03,4.8,1.11,231
Jonathan Taylor,57488,HB,IND,14,303,36,17,35.6,510,0,1431,3,6,36,813,35.1,31,71,14,4,149,55.7,57.1,63,,43.4,36.9,64.1,44,70,2,136,18,270,367,0,0,30,321,11,1431,813,2.68,4.7,0.5,154
Josh Jacobs,45953,HB,GB,17,301,67,11,21.2,282,0,1329,0,21,67,1039,90.1,33,74,12,4,142,59.5,91.5,62.2,,53.2,86.2,90.6,55.2,38,1,342,36,251,343,0,0,41,337,15,1329,1039,3.45,4.4,1.36,157
Najee Harris,57121,HB,PIT,17,263,63,11,24.5,256,0,1043,5,14,63,764,74.8,30,51,25,0,73,91.3,77.9,86.4,,65,58.5,78.3,65.9,36,0,283,36,220,303,0,0,46,299,6,1043,764,2.9,4,1.29,189
Tony Pollard,27126,HB,TEN,16,260,39,13,26.1,282,1,1079,8,4,39,884,48.6,30,53,31,2,151,76.2,68.7,37.1,,54.4,51.6,73.5,74.1,41,2,238,41,301,310,0,0,55,301,5,1079,884,3.4,4.2,0.79,98
Aaron Jones,11937,HB,MIN,17,255,46,9,19.1,217,0,1138,2,6,46,766,51,25,49,18,5,99,41.5,75.8,61,,48.7,74.6,75.8,40.1,41,1,408,51,316,297,0,0,58,306,5,1138,766,3,4.5,1.29,153
D'Andre Swift,57212,HB,CHI,17,253,38,9,25.4,244,0,959,1,7,38,623,37.6,18,43,6,2,126,75,61.3,65.2,,28.3,59.5,65.7,35.7,56,4,386,42,353,294,0,0,50,295,6,959,623,2.46,3.8,1.09,111
Chuba Hubbard,57373,HB,CAR,15,250,49,15,28.2,337,0,1195,1,8,49,865,67.3,26,62,5,4,81,52.3,75.4,89.2,,56.9,39.5,86.3,63.3,38,0,171,43,336,275,0,0,52,293,10,1195,865,3.46,4.8,0.51,163
Jahmyr Gibbs,122474,HB,DET,17,250,63,25,41.8,590,0,1412,1,10,63,834,80.6,41,70,11,1,82,85.6,88.5,15.6,,22.5,74.4,90.7,72.8,70,3,517,52,310,270,0,0,63,302,16,1412,834,3.34,5.6,1.67,163
Joe Mixon,11803,HB,HST,14,245,37,11,30.3,308,0,1016,3,11,37,716,49.9,28,52,13,0,72,91.2,75.1,53.5,54.9,52.9,67.7,74.8,74.1,59,2,309,36,237,266,0,0,48,281,11,1016,716,2.92,4.1,1.3,170
James Conner,11860,HB,ARZ,16,236,68,16,31,339,0,1094,2,18,68,779,100.3,34,65,1,4,162,63.2,90.4,88.9,,76.9,67.3,90.6,66.6,53,0,414,47,269,278,0,0,53,283,8,1094,779,3.3,4.6,1.54,70
Rico Dowdle,40693,HB,DAL,16,235,45,9,15.8,170,0,1079,3,8,45,771,63.5,26,53,9,3,69,61.3,73.9,88.8,,62.1,64.9,74.4,54.3,27,0,249,39,283,276,0,0,49,274,2,1079,771,3.28,4.6,0.88,150
Chase Brown,77787,HB,CIN,16,229,46,10,23.7,235,1,990,3,16,46,706,67.5,23,49,7,2,95,73.9,75.7,36.5,,62.3,76.8,73.8,61.1,40,2,360,54,339,249,0,0,63,283,7,990,706,3.08,4.3,1.06,128
Alvin Kamara,11822,HB,NO,14,228,41,10,19.1,181,0,950,7,8,41,629,45.7,25,52,20,1,47,85.3,73.7,87.6,,38.7,64.7,76.6,58,24,0,543,68,311,265,0,0,87,296,6,950,629,2.76,4.2,1.75,167
Breece Hall,97636,HB,NYJ,16,209,36,11,26.3,230,0,876,8,17,36,636,60.6,26,38,22,6,82,30,62,40,,57.7,47.5,68.7,67.5,42,2,483,57,384,233,0,0,75,266,5,876,636,3.04,4.2,1.26,124
James Cook,83666,HB,BUF,16,207,37,10,31,313,0,1009,3,3,37,674,54.5,21,49,4,1,90,82.2,82.3,86.9,,77.1,62,85.2,29.2,65,0,258,32,225,236,0,0,38,239,16,1009,674,3.26,4.9,1.15,116
Rhamondre Stevenson,98689,HB,NE,15,207,41,7,18.4,147,1,801,1,10,41,601,61.7,22,41,19,7,119,28.1,69.6,60,,59.2,63.3,70.3,71.3,33,3,168,33,273,225,0,0,39,240,7,801,601,2.9,3.9,0.62,83
Bucky Irving,144970,HB,TB,17,207,57,14,35.7,400,0,1122,1,20,57,834,122.1,27,52,30,2,113,71.1,90.6,87.3,,29.2,90.3,89,55.1,56,0,392,47,240,237,0,0,50,254,8,1122,834,4.03,5.4,1.63,82
De'Von Achane,124305,HB,MIA,17,203,32,10,31.5,286,1,907,1,16,32,590,49.6,21,38,17,1,69,83.9,81.6,66.9,,15.7,80.6,82.8,40.4,61,1,592,78,408,249,0,0,85,281,6,907,590,2.91,4.5,1.45,121
Kareem Hunt,11841,HB,KC,13,200,22,3,7.1,52,0,728,0,8,22,500,33.6,11,42,16,0,67,90.8,73.5,87.9,,77.1,63.7,72.8,60.9,20,0,176,23,213,223,0,0,27,223,7,728,500,2.5,3.6,0.83,126
J.K. Dobbins,57366,HB,LAC,13,195,37,10,32.7,296,0,905,2,4,37,593,54.9,27,47,27,0,111,90.7,66.8,87.1,,72.6,55.6,66.7,68.9,61,0,153,32,212,220,0,0,36,227,9,905,593,3.04,4.6,0.72,81
Tyrone Tracy,84226,HB,NYG,17,192,34,10,31.3,263,0,839,6,13,34,546,58.1,18,39,21,4,81,29.8,58.4,89.7,,35.1,40.6,69.6,40,45,0,284,38,310,234,0,0,50,230,5,839,546,2.84,4.4,0.92,99
Brian Robinson,57120,HB,WAS,14,187,29,10,29.8,238,0,799,1,7,29,575,53.5,19,47,32,2,84,65.1,72.5,90.1,,50.6,74.4,69.6,64.5,40,1,159,20,187,238,0,0,24,207,8,799,575,3.07,4.3,0.85,96
David Montgomery,45719,HB,DET,14,185,39,5,11.5,89,0,775,0,18,39,577,80.4,17,50,11,2,62,67,84.9,39.2,69.5,45.3,91,78.9,60,21,1,341,36,152,193,0,0,37,221,12,775,577,3.12,4.2,2.24,119
Tank Bigsby,123974,HB,JAX,15,168,46,8,31.6,242,0,766,2,4,46,628,106.8,20,38,15,3,98,27.5,68.1,86.1,,25.3,36.8,74.6,59.2,65,0,54,7,129,195,0,0,11,175,7,766,628,3.74,4.6,0.42,67
Jordan Mason,62946,HB,SF,12,153,37,12,36.9,291,0,789,0,3,37,512,81.6,23,38,28,3,41,43.4,72.7,85.7,,44.5,53.4,76.1,67.3,38,0,91,11,170,175,0,0,14,164,3,789,512,3.35,5.2,0.54,110
Kenneth Walker III,97199,HB,SEA,11,153,61,6,22.7,130,1,573,1,13,61,467,113.5,13,28,29,1,68,78,88.5,22.8,,29.7,72.9,91.3,68.7,28,2,299,46,224,180,0,0,52,199,7,573,467,3.05,3.7,1.33,81
Travis Etienne Jr.,57185,HB,JAX,15,150,17,6,19,106,0,558,2,10,17,372,35.4,16,31,15,1,85,76.9,60.7,88.3,,19.3,70.7,62.8,57.7,22,0,254,39,254,165,0,0,50,189,2,558,372,2.48,3.7,1,62
Jalen Hurts,40291,QB,PHI,15,150,20,2,6.5,41,0,267,0,0,10,133,10.6,18,61,24,9,21,53.2,76.3,65.4,66.8,,,88.7,60.1,35,4,0,0,0,466,363,38,0,112,14,630,328,2.19,4.2,,21
Jayden Daniels,97993,QB,WAS,17,148,40,4,11.7,104,1,296,0,0,13,167,40.7,28,55,32,5,32,68.2,89.6,90,83,,58.4,88.2,60.5,46,1,0,0,1,414,595,75,0,73,6,891,559,3.78,6,0,19
Rachaad White,131633,HB,TB,16,144,24,5,23.2,142,0,613,0,13,24,451,59.4,12,35,30,3,64,47.6,74.1,90.1,,68.3,69.8,73.9,63.2,56,0,393,51,298,189,0,0,55,195,3,613,451,3.13,4.3,1.32,74
Lamar Jackson,46416,QB,BLT,17,139,45,12,29.8,273,0,570,0,0,20,198,39.6,37,46,3,10,31,47,94,47.4,92.6,,,87.7,60.5,48,7,0,0,0,499,345,39,0,100,4,915,424,3.05,6.6,,39
Javonte Williams,77803,HB,DEN,17,139,21,4,13.3,68,0,513,4,8,21,331,36.2,13,30,10,2,65,62,61.6,56.5,,67.5,64.3,60.4,42.3,20,1,346,52,284,166,0,0,66,191,4,513,331,2.38,3.7,1.22,70
Tyler Allgeier,83639,HB,ATL,17,137,37,9,27.5,177,0,644,0,8,37,494,108.2,18,43,2,0,33,90.1,86.4,81.6,,59.6,67.7,85.7,49.4,25,0,88,13,93,165,0,0,13,150,3,644,494,3.61,4.7,0.95,101
Zach Charbonnet,97630,HB,SEA,17,135,32,5,22.8,130,0,569,0,11,32,452,81.3,16,33,29,0,64,90.2,77.5,90.7,,74.2,66.8,78.8,62.6,51,0,308,42,284,167,0,0,47,177,8,569,452,3.35,4.2,1.08,61
Alexander Mattison,45817,HB,LV,14,132,14,3,13.8,58,0,420,3,14,14,316,39.9,7,25,23,1,51,75,61.4,87.8,,41.1,62.2,62.3,58,24,0,294,36,218,160,0,0,45,168,4,420,316,2.39,3.2,1.35,79
Antonio Gibson,78050,HB,NE,17,120,40,7,31,167,0,538,1,8,40,469,131.2,14,23,19,2,68,55.3,72.6,89,,44.3,65.6,75.5,57.5,45,0,206,23,164,133,0,0,29,143,1,538,469,3.91,4.5,1.26,47
Jaylen Warren,98692,HB,PIT,15,120,31,4,14.1,72,0,511,1,9,31,385,81.2,14,28,25,2,32,58.2,64.3,89.2,,22.4,70.4,68.2,52.3,22,0,310,38,216,152,0,0,43,158,1,511,385,3.21,4.3,1.44,83
Jaleel McLaughlin,138346,HB,DEN,16,113,28,5,17.9,89,0,496,0,5,28,291,62,16,25,10,1,26,69.6,65.4,85.6,,27.2,51,70.8,60.8,21,0,76,24,141,138,0,0,25,137,1,496,291,2.58,4.4,0.54,81
