player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Cooper Kupp,11824,WR,LA,17,189,0,26,0,-2.6,6,95.2,,0,0,0,0,9,0,93.3,90.8,0,43,0,0,74,20,93.2,69,117.9,21,30.4,1,178,229,11.5,8.9,2.58,8.7,18,79.8,46.7,7,15,5,5,59,0,90.8,93.8,0,59,1.6,7,434,95,93.5,406,143.8,119,29.3,10,1402,639,6.7,14.8,3.45
Davante Adams,8688,WR,GB,16,166,0,12,0,0,4,100,,0,0,0,0,11,0,93.7,92.4,0,15,0,0,76,25,98.7,75,94.3,25,33.3,0,166,166,6.6,6.6,2.21,7,7,76.7,53.8,7,13,0,0,33,0,91.1,92.8,2,43,0,0,194,56,93.3,181,121.3,73,40.3,7,608,308,5.5,10.9,3.36
Diontae Johnson,33441,WR,PIT,16,166,0,25,0,-2.4,2,93.3,,0,0,0,0,6,0,92.7,67.7,0,14,0,0,61,14,93.4,57,86.9,15,26.3,0,73,106,7.6,5.2,1.28,3.2,1,81.8,,0,0,0,0,5,0,70.3,72.7,0,14,0,0,45,9,93.3,42,83.3,11,26.2,0,44,43,4.8,4.9,1.05
Justin Jefferson,61398,WR,MIN,17,163,0,18,0,-1.9,3,81.3,0,0,1,13.3,2,1,1,29.7,42.8,0,17,0,0,67,13,95.5,64,86.5,16,25,0,76,98,7.5,5.8,1.19,11.9,3,69,20,1,5,9.4,3,21,0,78.7,91.1,1,56,0,0,205,29,94.1,193,107.3,42,21.8,2,421,146,5,14.5,2.18
Stefon Diggs,9579,WR,BUF,17,158,0,4,0,-2,2,100,,0,0,0,0,4,1,91.8,61.5,0,12,0,0,57,10,100,57,92.9,10,17.5,0,63,83,8.3,6.3,1.11,12.9,2,64,66.7,2,3,5.9,1,10,1,79.6,83.1,1,61,0,0,144,16,95.1,137,102.6,25,18.2,2,223,69,4.3,13.9,1.63
DJ Moore,48267,WR,CAR,17,156,0,5,0,-1.5,1,88.2,,0,0,0,0,5,0,76,62.5,0,16,0,0,74,15,97.3,72,86.3,17,23.6,0,80,101,6.7,5.3,1.11,7.2,0,65.7,12.5,1,8,0,0,12,0,55,78.7,1,20,0.8,1,120,23,97.5,117,69.3,35,29.9,0,205,104,4.5,8.9,1.75
Tyreek Hill,10799,WR,KC,17,155,0,16,0,-2.3,4,100,,0,0,0,0,5,1,92.4,68.4,0,10,0,0,70,14,97.1,68,87.2,14,20.6,0,69,101,7.2,4.9,1.01,10.9,5,76.9,22.2,2,9,3.2,2,40,2,70,86.4,0,75,0,0,333,60,93.7,312,127,78,25,6,659,222,3.7,11,2.11
Keenan Allen,7857,WR,LAC,16,150,0,27,0,-1.6,0,100,,0,0,0,0,1,0,91.6,55.6,0,7,0,0,42,9,97.6,41,79.2,9,22,0,26,40,4.4,2.9,0.63,9,2,75.3,55.6,5,9,4.9,3,36,1,63,77.5,2,37,0,0,431,58,94.9,409,100,77,18.8,3,610,178,3.1,10.5,1.49
Mark Andrews,47436,TE,BLT,17,149,0,3,0,-2,1,100,,0,0,0,0,1,0,90.6,67.6,0,12,6.5,2,31,4,83.9,26,96.9,4,15.4,0,29,37,9.3,7.3,1.12,11.9,4,64.4,56.5,13,23,2.9,2,48,1,90.6,91.6,9,43,0.7,3,417,67,93.5,390,70.5,104,26.7,5,868,252,3.8,13,2.23
Marquise Brown,61568,WR,BLT,16,139,0,3,0,-2,1,90.9,,0,0,0,0,2,1,92.1,66.9,0,11,0,0,26,10,88.5,23,81.4,11,47.8,0,39,60,6,3.9,1.7,9.9,4,74,75,3,4,2.6,1,16,3,77.5,63.7,1,49,0,0,206,37,95.1,196,103.2,50,25.5,2,413,189,5.1,11.2,2.11
Jaylen Waddle,84088,WR,MIA,16,138,0,17,0,-3.3,1,94.7,,0,0,5.3,1,2,0,84,82.9,0,13,0,0,44,18,93.2,41,99.8,19,46.3,1,71,133,7.4,3.9,1.73,5.6,6,78.5,60,6,10,7.5,5,30,1,70.2,79.7,1,36,0,0,374,62,94.4,353,104.3,79,22.4,4,494,238,3.8,8,1.4
Darnell Mooney,48236,WR,CHI,17,134,0,6,0,-2.8,3,100,,0,0,0,0,3,0,92.7,81.8,0,60,0,0,53,16,90.6,48,119,16,33.3,1,121,165,10.3,7.6,2.52,10,6,67.8,0,0,7,2.4,1,24,0,88.8,73.2,6,52,0.4,1,284,40,95.4,271,63.1,59,21.8,2,465,200,5,11.6,1.72
Travis Kelce,7844,TE,KC,16,131,0,16,0,-1.6,1,100,,0,0,0,0,5,0,91.8,75.5,0,12,2.7,2,74,9,94.6,70,127.3,9,12.9,1,51,65,7.2,5.7,0.73,8.2,10,72.6,100,4,4,8.2,4,31,1,78,88.1,2,69,0.7,2,303,45,92.4,280,116.6,62,22.1,5,604,251,5.6,13.4,2.16
Brandin Cooks,8655,WR,HST,16,130,0,13,0,-2.4,2,88.2,0,0,1,0,0,3,0,92.5,73.6,0,43,0,0,59,15,98.3,58,113.5,17,29.3,1,111,151,10.1,7.4,1.91,10.6,2,65.1,50,2,4,6.7,2,15,0,90.4,79,1,43,0,0,193,28,95.9,185,96.4,43,23.2,2,353,187,6.7,12.6,1.91
Terry McLaurin,48229,WR,WAS,17,126,0,32,0,-1.9,0,88.9,,0,0,0,0,4,0,91.4,64.5,0,16,0,0,57,8,94.7,54,95.4,9,16.7,0,62,77,9.6,7.8,1.15,12.3,2,61.4,33.3,4,12,3.6,1,12,0,91.7,82.8,1,40,0,0,170,27,94.7,161,80.1,44,27.3,1,304,100,3.7,11.3,1.89
Michael Pittman Jr.,29049,WR,IND,17,124,0,14,0,-2.9,0,100,,0,0,0,0,4,0,91.6,62.6,0,21,0,0,70,9,94.3,66,102.8,9,13.6,0,78,104,11.6,8.7,1.18,11.7,0,52.6,33.3,1,3,9.1,1,6,0,86.2,83.2,0,42,0.9,1,113,10,92.9,105,97.3,19,18.1,1,154,51,5.1,15.4,1.47
D.K. Metcalf,47864,WR,SEA,17,124,0,29,0,-2,2,75,,0,0,0,0,1,0,90.9,57.2,0,9,0,0,46,6,97.8,45,79.7,8,17.8,0,29,43,7.2,4.8,0.64,9.9,3,68.2,0,0,1,6.3,1,8,0,76.6,83.8,0,31,0,0,104,15,94.2,98,125.8,22,22.4,2,193,80,5.3,12.9,1.97
Hunter Renfrow,47509,WR,LV,17,124,0,23,0,-3.1,0,88.9,,0,0,0,0,3,0,91.6,60.3,0,10,0,0,43,8,93,40,83.8,9,22.5,0,37,62,7.8,4.6,0.93,6.9,8,80,28.6,2,7,1.8,1,32,0,91.1,82.8,1,31,0,0,367,56,94.6,347,110.8,70,20.2,3,601,274,4.9,10.7,1.73
Chris Godwin,11839,WR,TB,14,124,0,30,0,-2.1,13,97.2,,0,0,2.8,1,10,2,92.7,83.3,0,18,0,0,87,35,98.9,86,105.3,36,41.9,1,254,328,9.4,7.3,2.95,8.5,10,75.9,71.4,5,7,6.3,4,32,2,81.8,78.2,2,44,0,0,411,60,95.4,392,101.3,79,20.2,2,722,346,5.8,12,1.84
Ja'Marr Chase,84270,WR,CIN,17,123,0,7,0,-2.2,6,91.7,,0,0,0,0,4,0,92,75.7,1,24,0,0,52,11,100,52,61.8,12,23.1,0,86,109,9.9,7.8,1.65,9.2,1,88.9,66.7,2,3,0,0,9,1,39.3,87,1,72,0,0,106,16,96.2,102,132.6,18,17.6,2,288,177,11.1,18,2.82
Mike Williams,11762,WR,LAC,16,122,0,27,0,-2.8,1,75,,0,0,25,1,0,0,27,35.5,0,3,0,0,38,3,97.4,37,77.1,4,10.8,0,3,12,4,1,0.08,13.2,0,69.2,50,3,6,0,0,7,0,52.2,77.5,0,47,0,0,105,9,94.3,99,137.5,13,13.1,1,167,51,5.7,18.6,1.69
Jakobi Meyers,47468,WR,NE,17,121,0,19,0,-3,0,100,,0,0,0,0,0,1,88.7,40.8,0,6,0,0,58,3,93.1,54,79.2,3,5.6,0,3,12,4,1,0.06,9.3,4,68.3,66.7,10,15,3.4,2,28,0,81.5,75.3,3,38,1.3,5,380,56,93.7,356,79,82,23,2,533,161,2.9,9.5,1.5
CeeDee Lamb,61570,WR,DAL,16,116,0,9,0,-2.1,6,78.6,,0,0,15.4,2,5,0,28.5,88.4,0,37,0,0,50,11,94,47,102.4,14,29.8,0,120,142,12.9,10.9,2.55,10.3,9,68.1,100,8,8,8.6,3,20,0,65.4,87.8,2,35,1.2,3,250,32,91.2,228,90,47,20.6,2,392,141,4.4,12.3,1.72
Amon-Ra St. Brown,84470,WR,DET,17,115,0,11,0,-3.1,3,100,,0,0,0,0,3,0,92.5,73.7,0,19,3.2,2,62,12,90.3,56,87.5,12,21.4,0,60,97,8.1,5,1.07,7.1,4,73.7,33.3,4,12,3.4,2,28,0,91.9,79.1,2,37,0.7,3,425,56,95.1,404,94.6,76,18.8,3,528,258,4.6,9.4,1.31
Deebo Samuel,48274,WR,SF,16,114,0,28,0,-3.6,9,81.8,,0,0,14.3,3,8,1,28.3,94.5,0,83,1.9,1,52,18,92.3,48,129.2,22,45.8,1,250,310,17.2,13.9,5.21,4.1,8,76.3,50,2,4,6.5,2,15,3,27.5,80.9,2,83,0.7,1,149,29,92.6,138,121.6,38,27.5,3,470,346,11.9,16.2,3.41
Marvin Jones Jr.,7158,WR,JAX,17,114,0,15,0,-1.5,1,100,,0,0,0,0,0,0,84.5,39.6,0,5,0,0,62,2,98.4,61,79.2,2,3.3,0,5,8,4,2.5,0.08,11.3,1,75,40,2,5,8.7,2,13,0,78.6,67.4,0,29,0.5,1,192,21,92.7,178,122.9,28,15.7,2,232,40,1.9,11,1.3
Mike Evans,8642,WR,TB,16,110,0,30,0,-0.5,0,100,,0,0,0,0,0,0,84.5,34.8,0,0,0,0,81,2,98.8,80,79.2,2,2.5,0,0,1,0.5,0,0,13.3,3,76,100,5,5,5,1,14,0,65.7,71.8,1,31,0,0,234,19,96.6,226,120.9,25,11.1,2,273,37,1.9,14.4,1.21
Tee Higgins,61211,WR,CIN,14,108,0,7,0,-1.3,2,66.7,,0,0,0,0,2,0,84.5,70.7,0,17,0,0,30,2,100,30,95.1,3,10,0,27,31,15.5,13.5,0.9,7.9,3,83.3,100,3,3,9.1,1,7,1,63.8,78.9,0,26,0,0,108,10,91.7,99,137.5,12,12.1,1,124,46,4.6,12.4,1.25
Zach Ertz,7816,TE,ARZ,17,108,0,1,0,-3.2,1,100,,0,0,0,0,3,0,91.6,59.5,0,14,3.7,3,81,9,95.1,77,130.6,9,11.7,1,58,87,9.7,6.4,0.75,9.5,2,58,38.5,5,13,6.5,2,14,0,80.9,65.3,1,20,0.3,1,324,29,94.8,307,65,50,16.3,0,275,78,2.7,9.5,0.9
