Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
45.4,David Bell,CLV,0,1.6,1.6,5.5,1.6,2.3,1.7,4.7,,5.4,6.2,6.3,0,5.7,,2.8,0,0
15.1,Jameson Williams,DET,,,,,,,,,,,,,0,11.1,0,0,4,0
19.1,T.Y. Hilton,DAL,,,,,,,,,,,,,,,,6.2,9,3.9
98.2,DJ Chark Jr.,DET,15.2,0,7.6,,,,,,,,0,9.6,14.8,21.4,2.8,14.8,7.6,4.4
10.8,Deven Thompkins,TB,,,,,,,,,,,,,,,2.6,0,0,8.2
248,Amari Cooper,CLV,4.7,25.1,23.1,1.9,20.6,14.4,10.4,24.1,,6.2,31.3,16.4,8,6.2,9.8,13.2,25.5,7.1
32.8,Dyami Brown,WAS,0,0,0,1.6,24.5,0,,,0,2.5,0,2.7,0,,1.5,0,0,0
0,Ethan Fernea,IND,,,,,,,0,,,,,,,,,,,
176.5,Mike Williams,LAC,3,25.3,8.5,19,23.4,3.7,21.6,,,,2.5,,,23.6,10.7,11.6,16.4,7.2
3.5,Quintez Cephus,DET,0,0,0,3.5,,,,,,,,,,,,,,
20.1,Kenny Golladay,NYG,4.2,0,0,0,,,,,,0,4.9,0,,0,0,0,0,11
130.4,Darius Slayton,NYG,,0,0,2.1,13.9,2.8,14.8,11.6,,18.5,13.6,9.3,15,6.2,7.3,11.9,3.4,0
365.3,Justin Jefferson,MIN,39.4,10.8,4.4,31,27.4,16.7,,15.8,25.5,35.3,6.3,28.9,18.6,33.3,30.3,31.3,2.5,7.8
7.3,Tylan Wallace,BLT,0,1.9,0,0,1.8,1.4,,,,,0,,,,,,,2.2
1.5,Jason Moore,LAC,,,,0,0,0,1.5,,0,0,,,,,,,,
229,Terry McLaurin,WAS,13.8,12.2,16.2,3.5,12.6,8.2,18.3,16.6,10.6,20.8,9.6,9.3,24.5,,13,17.7,5.7,16.4
47.6,Brandon Powell,LA,2.3,-1,5.7,1.1,0.1,8,,0,1.4,0.7,3.5,2.6,12.4,0,1.7,4.5,1.9,2.7
105.8,Demarcus Robinson,BLT,3.9,8.2,0,3,1.8,5.7,0,12.4,2.2,,21.8,2.7,11.1,10.2,8.9,7.6,1.9,4.4
164.2,Tyler Boyd,CIN,13.3,3.7,20.5,6.7,6.2,12.6,29.5,12.8,9.4,,6.2,3.6,10,0,14.5,5.1,,10.1
101.5,Darnell Mooney,CHI,1.8,0.6,4.3,13.4,7.2,13.8,8.3,12,17.5,9.7,12.9,0,,,,,,
84.9,Allen Robinson II,LA,2.2,15.3,4.3,2.7,4.2,17.3,,10.4,5.4,8.4,14.7,,,,,,,
63.6,Shi Smith,CAR,2.2,1.2,4.2,0,10.9,0,0,0,3,2.7,6.6,,,9.7,3.4,2.7,17,0
26.9,Jalen Reagor,MIN,,3.4,1.2,0,7.1,0,,0,0,,2.4,3.5,5.6,0,-0.5,,0,4.2
94.1,Treylon Burks,TEN,8.5,8.7,3.1,3.8,,,,,,5.4,18.1,17,9.5,,,1.5,12.6,5.9
4.1,Pharoh Cooper,ARZ,,,,,,,,,,,,,,,,0,0.8,3.3
0,Tay Martin,SF,,,,,,,,0,,,,,,,,,,
84.3,Ben Skowronek,LA,6.5,3.6,10.6,5.3,10.1,16.7,,2,0,3.4,1.4,2.5,5,15.9,1.3,,,
217.7,Garrett Wilson,NYJ,9.2,30,12,6.1,5.7,1.8,6.4,17.5,17.9,,3.2,26.4,24.2,13.8,13.8,7,4.8,17.9
53.6,Braxton Berrios,NYJ,8.7,2.2,-0.2,1.6,8.4,9.6,7.2,0,1.6,,0,2.3,2.9,3.5,2.4,,3.4,0
17.8,Marcus Jones,NE,,,,,,,,,,,,,13.1,2.2,0,2.5,,0
21.4,Jeff Smith,NYJ,0,2.7,0,0,2.1,0,0,3.3,1.6,,0,,,,11.7,,,
178.2,Curtis Samuel,WAS,21.2,22.9,13.1,7.8,12.2,2.6,12.9,10.9,17.1,6,9.8,1.3,14.6,,7.5,16.4,1.6,0.3
11.4,Freddie Swain,DEN,,,,,,,,,,,,,,0,1.9,2.1,,7.4
29.6,Denzel Mims,NYJ,,,,,,,1.4,9.6,2.2,,5.5,2.1,0,6.5,2.3,,0,0
167.3,Joshua Palmer,LAC,3.9,13,15.9,3.5,5.4,14.7,,,18.6,7.4,30.6,10.6,13,9.3,9.9,3.6,0,7.9
18.9,Michael Bandy,LAC,,,,6.9,0,1.4,0.5,,7.6,0,0,0,2.5,0,,,,
93.8,Mecole Hardman Jr.,KC,10.6,7.5,1.2,1.4,12,13.2,28,,19.9,,,,,,,,,
0,Josh Ali,ATL,,,,,,,,,,,,,,,,,0,0
51.7,Phillip Dorsett,HST,0,,2.5,0,0,,12.5,1.6,9.9,4.2,0,1.5,3.8,3.8,0,7.5,4.4,
18.9,Marcus Johnson,NYG,,,,0,6.5,4.5,0,1.3,,0,0,0,0,0,0,0,0,6.6
110.1,Devin Duvernay,BLT,21.4,6.2,10.3,9.1,12.8,2.4,6.2,16.4,1.5,,1.7,6.9,10.3,0,4.9,,,
51.8,Damiere Byrd,ATL,,,,0,0,0,14.5,15.7,0,8.8,4.9,0,2.2,,0,2.5,2.2,1
5.8,Mike Thomas,CIN,1.5,0,0,0,4.3,0,0,0,0,,0,,,,,,,
9.4,Kevin White,NO,,,,,,0,7.4,0,2,0,0,0,,,,,,
8.9,Mike Strachan,IND,5.6,3.3,0,0,0,0,0,0,0,,,,0,,,0,0,0
0,Javon Wims,ARZ,,,,,,0,,,,,,,,,,,,
52.8,Tre'Quan Smith,NO,,,14.5,2.8,2,13.3,10.9,0,5.9,0,0,1.8,0,,0,0,0,1.6
123.6,Russell Gage,TB,3.3,7.8,26.7,4.4,4,4,7.9,,,,,,2.1,9.2,25.9,11.5,6.3,10.5
14.2,Gunner Olszewski,PIT,0,1.8,0,0,,,0,,,1.4,5.9,0.9,0.2,1.7,1.3,0,0.6,0.4
8.6,Chris Conley,TEN,0,0,,,,,,0,0,,,,,3.7,4.9,0,0,0
1.3,Erik Ezukanma,MIA,,,,,,,,,,,,,,,,,,1.3
3.4,Nsimba Webster,CHI,,,,,,,,,,,,,,,3.4,,,
