Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Demaryius Thomas,DEN,39,18,46.15%,137,6,36.80%,18,6,33.33%,33,4,33.30%,All Demaryius Thomas red zone receiving plays
Antonio Brown,PIT,33,18,54.55%,133,8,36.70%,18,9,50.00%,45,6,36.00%,All Antonio Brown red zone receiving plays
Andre Johnson,HOU,26,12,46.15%,54,3,38.80%,11,5,45.45%,25,3,37.90%,All Andre Johnson red zone receiving plays
Odell Beckham,NYG,25,16,64.00%,122,8,25.50%,10,6,60.00%,42,6,19.20%,All Odell Beckham red zone receiving plays
Randall Cobb,GNB,25,16,64.00%,94,10,26.00%,14,10,71.43%,37,8,23.70%,All Randall Cobb red zone receiving plays
Jordy Nelson,GNB,25,12,48.00%,81,5,26.00%,17,7,41.18%,33,4,28.80%,All Jordy Nelson red zone receiving plays
Martellus Bennett,CHI,21,11,52.38%,86,5,26.90%,8,4,50.00%,18,2,17.00%,All Martellus Bennett red zone receiving plays
Jimmy Graham,NOR,21,12,57.14%,78,9,26.30%,11,7,63.64%,29,7,32.40%,All Jimmy Graham red zone receiving plays
Alshon Jeffery,CHI,21,9,42.86%,62,6,26.90%,19,7,36.84%,48,6,40.40%,All Alshon Jeffery red zone receiving plays
Larry Donnell,NYG,20,11,55.00%,64,6,20.40%,13,8,61.54%,37,5,25.00%,All Larry Donnell red zone receiving plays
Julian Edelman,NWE,20,12,60.00%,78,3,27.00%,9,4,44.44%,24,3,21.40%,All Julian Edelman red zone receiving plays
Charles Clay,MIA,19,8,42.11%,51,2,21.60%,13,3,23.08%,8,1,27.70%,All Charles Clay red zone receiving plays
Antonio Gates,SDG,19,10,52.63%,64,9,26.80%,16,8,50.00%,45,8,37.20%,All Antonio Gates red zone receiving plays
Rueben Randle,NYG,19,8,42.11%,57,3,19.40%,10,4,40.00%,20,3,19.20%,All Rueben Randle red zone receiving plays
Emmanuel Sanders,DEN,19,16,84.21%,84,6,17.90%,13,11,84.62%,39,5,24.10%,All Emmanuel Sanders red zone receiving plays
Mike Wallace,MIA,19,13,68.42%,113,9,21.60%,8,6,75.00%,42,6,17.00%,All Mike Wallace red zone receiving plays
Steve Smith,BAL,18,8,44.44%,46,2,26.90%,6,2,33.33%,5,1,18.80%,All Steve Smith red zone receiving plays
Rob Gronkowski,NWE,16,11,68.75%,81,9,21.60%,8,6,75.00%,24,6,19.00%,All Rob Gronkowski red zone receiving plays
Kelvin Benjamin,CAR,15,4,26.67%,39,3,28.80%,9,2,22.22%,12,2,45.00%,All Kelvin Benjamin red zone receiving plays
Anquan Boldin,SFO,15,8,53.33%,76,2,34.90%,5,1,20.00%,7,0,23.80%,All Anquan Boldin red zone receiving plays
Brandon Marshall,CHI,15,7,46.67%,53,6,19.20%,9,4,44.44%,18,4,19.10%,All Brandon Marshall red zone receiving plays
Jordan Matthews,PHI,15,10,66.67%,96,6,19.70%,2,2,100.00%,18,1,7.10%,All Jordan Matthews red zone receiving plays
Greg Olsen,CAR,15,10,66.67%,100,5,28.80%,5,4,80.00%,27,3,25.00%,All Greg Olsen red zone receiving plays
Mohamed Sanu,CIN,15,6,40.00%,56,2,30.00%,3,1,33.33%,6,1,18.80%,All Mohamed Sanu red zone receiving plays
Julius Thomas,DEN,15,13,86.67%,94,9,14.20%,10,8,80.00%,36,7,18.50%,All Julius Thomas red zone receiving plays
Dez Bryant,DAL,14,8,57.14%,67,8,25.50%,10,5,50.00%,17,5,38.50%,All Dez Bryant red zone receiving plays
Riley Cooper,PHI,14,5,35.71%,44,3,18.40%,6,3,50.00%,20,2,21.40%,All Riley Cooper red zone receiving plays
Eric Decker,NYJ,14,9,64.29%,47,3,20.90%,7,4,57.14%,14,2,25.90%,All Eric Decker red zone receiving plays
Vincent Jackson,TAM,14,3,21.43%,18,2,29.20%,7,2,28.57%,8,2,30.40%,All Vincent Jackson red zone receiving plays
Hakeem Nicks,IND,14,5,35.71%,27,3,16.10%,8,4,50.00%,22,3,15.70%,All Hakeem Nicks red zone receiving plays
Cecil Shorts,JAX,14,4,28.57%,24,1,32.60%,6,2,33.33%,14,1,40.00%,All Cecil Shorts red zone receiving plays
Le'Veon Bell,PIT,13,10,76.92%,37,3,14.40%,8,6,75.00%,24,3,16.00%,All Le'Veon Bell red zone receiving plays
Ahmad Bradshaw,IND,13,12,92.31%,63,6,14.90%,9,8,88.89%,36,5,17.60%,All Ahmad Bradshaw red zone receiving plays
Jamaal Charles,KAN,13,7,53.85%,64,4,20.60%,6,3,50.00%,16,2,25.00%,All Jamaal Charles red zone receiving plays
Marques Colston,NOR,13,6,46.15%,55,3,16.30%,5,2,40.00%,12,2,14.70%,All Marques Colston red zone receiving plays
Mike Evans,TAM,13,8,61.54%,77,6,27.10%,5,4,80.00%,26,4,21.70%,All Mike Evans red zone receiving plays
Matt Forte,CHI,13,8,61.54%,69,3,16.70%,5,3,60.00%,26,2,10.60%,All Matt Forte red zone receiving plays
Jermaine Gresham,CIN,13,9,69.23%,40,5,26.00%,7,5,71.43%,15,4,43.80%,All Jermaine Gresham red zone receiving plays
Calvin Johnson,DET,13,4,30.77%,32,4,17.30%,6,3,50.00%,16,3,16.20%,All Calvin Johnson red zone receiving plays
Brandon LaFell,NWE,13,6,46.15%,60,5,17.60%,7,3,42.86%,21,3,16.70%,All Brandon LaFell red zone receiving plays
Jarvis Landry,MIA,13,11,84.62%,82,5,14.80%,4,4,100.00%,17,3,8.50%,All Jarvis Landry red zone receiving plays
Andrew Quarless,GNB,13,5,38.46%,33,3,13.50%,8,3,37.50%,18,3,13.60%,All Andrew Quarless red zone receiving plays
Torrey Smith,BAL,13,8,61.54%,84,6,19.40%,5,3,60.00%,27,3,15.60%,All Torrey Smith red zone receiving plays
Roddy White,ATL,13,9,69.23%,36,6,21.70%,10,7,70.00%,22,6,27.80%,All Roddy White red zone receiving plays
Keenan Allen,SDG,12,6,50.00%,40,2,16.90%,4,1,25.00%,2,1,9.30%,All Keenan Allen red zone receiving plays
Doug Baldwin,SEA,12,8,66.67%,48,2,21.40%,7,5,71.43%,20,2,28.00%,All Doug Baldwin red zone receiving plays
Owen Daniels,BAL,12,7,58.33%,33,4,17.90%,7,4,57.14%,11,4,21.90%,All Owen Daniels red zone receiving plays
Zach Ertz,PHI,12,3,25.00%,29,1,15.80%,6,1,16.67%,4,0,21.40%,All Zach Ertz red zone receiving plays
Coby Fleener,IND,12,7,58.33%,48,5,13.80%,7,5,71.43%,28,5,13.70%,All Coby Fleener red zone receiving plays
DeAndre Hopkins,HOU,12,6,50.00%,47,2,17.90%,4,2,50.00%,14,1,13.80%,All DeAndre Hopkins red zone receiving plays
Greg Jennings,MIN,12,8,66.67%,85,5,30.00%,6,4,66.67%,27,3,33.30%,All Greg Jennings red zone receiving plays
Jeremy Maclin,PHI,12,6,50.00%,41,3,15.80%,6,3,50.00%,15,3,21.40%,All Jeremy Maclin red zone receiving plays
Heath Miller,PIT,12,8,66.67%,37,3,13.30%,7,6,85.71%,21,2,14.00%,All Heath Miller red zone receiving plays
Delanie Walker,TEN,12,4,33.33%,22,3,21.40%,9,4,44.44%,22,3,29.00%,All Delanie Walker red zone receiving plays
Terrance Williams,DAL,12,7,58.33%,63,5,21.80%,5,3,60.00%,17,3,19.20%,All Terrance Williams red zone receiving plays
Robert Woods,BUF,12,7,58.33%,49,3,18.20%,5,3,60.00%,20,3,22.70%,All Robert Woods red zone receiving plays
Davante Adams,GNB,11,6,54.55%,47,2,11.50%,6,3,50.00%,18,1,10.20%,All Davante Adams red zone receiving plays
