Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Jamaal Williams,DET,57,107,16,60.0%,45,70,15,73.8%,28,24,14,84.8%,All Jamaal Williams red zone rushing plays,WillJa06
Kenneth Walker,SEA,48,151,7,73.8%,16,7,2,76.2%,9,-3,1,100.0%,All Kenneth Walker red zone rushing plays,WalkKe00
Austin Ekeler,LAC,47,165,10,64.4%,24,58,10,63.2%,8,9,6,53.3%,All Austin Ekeler red zone rushing plays,EkelAu00
Miles Sanders,PHI,45,129,10,37.8%,26,63,8,36.1%,11,17,5,26.8%,All Miles Sanders red zone rushing plays,SandMi01
Jalen Hurts,PHI,44,122,11,37.0%,26,47,11,36.1%,20,12,9,48.8%,All Jalen Hurts red zone rushing plays,HurtJa00
Travis Etienne,JAX,40,149,4,50.0%,23,44,4,47.9%,10,5,2,43.5%,All Travis Etienne red zone rushing plays,EtieTr00
Josh Jacobs,LVR,40,110,9,76.9%,23,35,8,85.2%,11,8,5,91.7%,All Josh Jacobs red zone rushing plays,JacoJo01
Dalvin Cook,MIN,39,72,6,60.0%,24,28,6,53.3%,15,12,5,60.0%,All Dalvin Cook red zone rushing plays,CookDa01
Najee Harris,PIT,39,128,7,52.7%,22,51,6,53.7%,9,6,3,37.5%,All Najee Harris red zone rushing plays,HarrNa00
Tyler Allgeier,ATL,38,140,3,34.2%,17,40,3,35.4%,6,4,1,33.3%,All Tyler Allgeier red zone rushing plays,AllgTy00
Christian McCaffrey,2TM,38,100,7,,21,34,5,,10,5,5,,All Christian McCaffrey red zone rushing plays,McCaCh01
Joe Mixon,CIN,38,98,7,49.4%,29,55,6,58.0%,14,10,5,63.6%,All Joe Mixon red zone rushing plays,MixoJo00
Nick Chubb,CLE,37,91,9,46.8%,20,34,7,52.6%,12,12,6,63.2%,All Nick Chubb red zone rushing plays,ChubNi00
Derrick Henry,TEN,36,118,11,75.0%,17,27,10,70.8%,15,24,10,88.2%,All Derrick Henry red zone rushing plays,HenrDe00
Saquon Barkley,NYG,35,100,8,47.3%,23,53,7,51.1%,14,24,7,58.3%,All Saquon Barkley red zone rushing plays,BarkSa00
Ezekiel Elliott,DAL,35,97,12,50.0%,26,53,11,61.9%,16,17,9,69.6%,All Ezekiel Elliott red zone rushing plays,ElliEz00
Devin Singletary,BUF,33,83,4,43.4%,17,35,4,43.6%,7,1,2,38.9%,All Devin Singletary red zone rushing plays,SingDe00
D'Onta Foreman,CAR,32,105,5,43.8%,16,28,3,48.5%,7,8,3,50.0%,All D'Onta Foreman red zone rushing plays,ForeDO00
Dameon Pierce,HOU,32,55,3,54.2%,15,19,3,50.0%,7,-2,3,53.8%,All Dameon Pierce red zone rushing plays,PierDa01
David Montgomery,CHI,31,115,5,36.9%,16,56,5,37.2%,3,3,2,15.0%,All David Montgomery red zone rushing plays,MontDa01
Rhamondre Stevenson,NWE,31,49,3,50.0%,19,21,3,59.4%,7,3,2,58.3%,All Rhamondre Stevenson red zone rushing plays,StevRh00
Jonathan Taylor,IND,31,58,3,43.7%,16,19,3,50.0%,8,8,3,50.0%,All Jonathan Taylor red zone rushing plays,TaylJo02
Isiah Pacheco,KAN,30,86,5,35.7%,20,54,5,43.5%,7,8,3,30.4%,All Isiah Pacheco red zone rushing plays,PachIs00
Cordarrelle Patterson,ATL,30,134,8,27.0%,12,34,6,25.0%,5,11,4,27.8%,All Cordarrelle Patterson red zone rushing plays,PattCo00
Aaron Jones,GNB,29,91,2,44.6%,9,17,0,28.1%,2,2,0,12.5%,All Aaron Jones red zone rushing plays,JoneAa00
Cam Akers,LAR,27,79,7,54.0%,14,30,6,53.8%,8,8,5,57.1%,All Cam Akers red zone rushing plays,AkerCa00
AJ Dillon,GNB,27,72,5,41.5%,17,34,5,53.1%,10,10,4,62.5%,All AJ Dillon red zone rushing plays,DillAJ00
Leonard Fournette,TAM,26,44,3,52.0%,19,25,3,65.5%,8,7,3,61.5%,All Leonard Fournette red zone rushing plays,FourLe00
Josh Allen,BUF,25,77,6,32.9%,15,23,5,38.5%,11,7,4,61.1%,All Josh Allen red zone rushing plays,AlleJo02
Justin Fields,CHI,25,58,5,29.8%,15,26,5,34.9%,10,19,5,50.0%,All Justin Fields red zone rushing plays,FielJu00
Antonio Gibson,WAS,25,48,3,32.1%,16,17,3,37.2%,8,-5,3,47.1%,All Antonio Gibson red zone rushing plays,GibsAn00
Kareem Hunt,CLE,25,59,2,31.6%,12,32,2,31.6%,4,6,2,21.1%,All Kareem Hunt red zone rushing plays,HuntKa00
Daniel Jones,NYG,24,76,6,32.4%,14,28,5,31.1%,7,-4,3,29.2%,All Daniel Jones red zone rushing plays,JoneDa05
Jeff Wilson,2TM,24,59,3,,16,23,3,,8,2,3,,All Jeff Wilson red zone rushing plays,WilsJe01
James Conner,ARI,23,79,6,33.8%,15,52,6,44.1%,6,8,4,37.5%,All James Conner red zone rushing plays,ConnJa00
Tony Pollard,DAL,23,99,6,32.9%,12,23,3,28.6%,6,4,2,26.1%,All Tony Pollard red zone rushing plays,PollTo00
Brian Robinson,WAS,23,51,2,29.5%,14,19,2,32.6%,5,4,2,29.4%,All Brian Robinson red zone rushing plays,RobiBr01
D'Andre Swift,DET,23,111,5,24.2%,11,44,4,18.0%,4,2,2,12.1%,All D'Andre Swift red zone rushing plays,SwifDA00
Joe Burrow,CIN,21,52,5,27.3%,14,21,4,28.0%,7,8,4,31.8%,All Joe Burrow red zone rushing plays,BurrJo01
Khalil Herbert,CHI,20,70,4,23.8%,8,7,2,18.6%,6,2,2,30.0%,All Khalil Herbert red zone rushing plays,HerbKh00
Alvin Kamara,NOR,20,38,2,36.4%,8,9,2,30.8%,4,8,2,36.4%,All Alvin Kamara red zone rushing plays,KamaAl00
Jerick McKinnon,KAN,20,48,0,23.8%,7,5,0,15.2%,5,1,0,21.7%,All Jerick McKinnon red zone rushing plays,McKiJe00
Raheem Mostert,MIA,20,54,2,39.2%,8,13,1,38.1%,3,2,1,25.0%,All Raheem Mostert red zone rushing plays,MostRa00
Michael Carter,NYJ,19,42,3,31.1%,8,21,3,26.7%,3,4,2,21.4%,All Michael Carter red zone rushing plays,CartMi03
Kenyan Drake,BAL,19,41,3,21.6%,7,17,3,17.5%,3,8,3,18.8%,All Kenyan Drake red zone rushing plays,DrakKe00
Caleb Huntley,ATL,19,89,1,17.1%,8,29,1,16.7%,1,2,0,5.6%,All Caleb Huntley red zone rushing plays,HuntCa02
Lamar Jackson,BAL,19,77,2,21.6%,9,17,2,22.5%,4,3,1,25.0%,All Lamar Jackson red zone rushing plays,JackLa00
Taysom Hill,NOR,17,67,6,30.9%,12,45,5,46.2%,3,2,2,27.3%,All Taysom Hill red zone rushing plays,HillTa00
Marcus Mariota,ATL,17,41,4,15.3%,8,16,4,16.7%,4,4,3,22.2%,All Marcus Mariota red zone rushing plays,MariMa01
James Robinson,2TM,17,30,1,,10,2,0,,4,1,0,,All James Robinson red zone rushing plays,RobiJa00
Kenneth Gainwell,PHI,16,68,4,13.4%,12,41,4,16.7%,6,13,3,14.6%,All Kenneth Gainwell red zone rushing plays,GainKe00
Zack Moss,IND,16,41,1,22.5%,7,1,0,21.9%,3,-3,0,18.8%,All Zack Moss red zone rushing plays,MossZa00
Breece Hall,NYJ,15,49,2,24.6%,9,13,2,30.0%,4,-2,1,28.6%,All Breece Hall red zone rushing plays,HallBr03
Chuba Hubbard,CAR,15,54,2,20.5%,5,12,1,15.2%,1,2,1,7.1%,All Chuba Hubbard red zone rushing plays,HubbCh01
Samaje Perine,CIN,15,35,2,19.5%,6,15,2,12.0%,0,0,0,.0%,All Samaje Perine red zone rushing plays,PeriSa00
J.K. Dobbins,BAL,14,36,2,15.9%,7,17,2,17.5%,4,8,2,25.0%,All J.K. Dobbins red zone rushing plays,DobbJK00
Melvin Gordon,DEN,14,18,2,36.8%,10,8,2,35.7%,6,2,2,40.0%,All Melvin Gordon red zone rushing plays,GordMe00
Joshua Kelley,LAC,14,28,2,19.2%,8,15,2,21.1%,3,4,1,20.0%,All Joshua Kelley red zone rushing plays,KellJo01
Trevor Lawrence,JAX,14,26,5,17.5%,9,19,5,18.8%,6,7,5,26.1%,All Trevor Lawrence red zone rushing plays,LawrTr00
Patrick Mahomes,KAN,14,94,4,16.7%,6,20,3,13.0%,3,6,2,13.0%,All Patrick Mahomes red zone rushing plays,MahoPa00
Eno Benjamin,2TM,13,50,2,,5,9,1,,1,2,0,,All Eno Benjamin red zone rushing plays,BenjEn00
Alexander Mattison,MIN,13,46,5,20.0%,12,32,4,26.7%,3,-3,2,12.0%,All Alexander Mattison red zone rushing plays,MattAl01
Gus Edwards,BAL,12,17,3,13.6%,7,17,3,17.5%,2,2,2,12.5%,All Gus Edwards red zone rushing plays,EdwaGu00
Elijah Mitchell,SFO,12,50,2,11.8%,7,21,2,11.7%,2,0,0,6.5%,All Elijah Mitchell red zone rushing plays,MitcEl00
Kyler Murray,ARI,12,28,3,17.6%,5,10,3,14.7%,4,5,2,25.0%,All Kyler Murray red zone rushing plays,MurrKy00
Latavius Murray,2TM,12,37,6,,11,30,6,,6,10,5,,All Latavius Murray red zone rushing plays,MurrLa00
Jaylen Warren,PIT,12,40,1,16.2%,4,10,1,9.8%,2,3,1,8.3%,All Jaylen Warren red zone rushing plays,WarrJa01
