player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Amari Cooper,9437,WR,ALABAMA,14,9.9,26,71.3,,0,0,0,6.1,8,0,103,0,79.4,78.8,92.8,,93.3,0,0,2,80,0,0,446,2,124,97.1,433,19.5,87,128.7,174,16,79.6,355,1727,878,7.1,13.9,3.99
Justin Hardy,9540,WR,E CAROLINA,13,9.5,20,72.5,,0,0,0,4,5,0,156,1,85,78.2,89.5,68.5,89.2,0,0,5,66,0.2,1,659,3,121,94.8,625,64.2,423,107.2,167,10,35.1,231,1494,612,5.1,12.3,2.39
Vince Mayle,9556,WR,WASH STATE,12,9.8,25,65,,0,0,0,15.2,19,0,341,1,43.9,60.8,76.7,,75.3,0,0,3,90,0,0,579,3,106,95.2,551,0.7,4,104.9,163,9,99.3,575,1483,827,7.8,14,2.69
Kevin White,9440,WR,W VIRGINIA,13,11.1,24,68.1,,0,0,0,7.6,9,0,343,1,72.6,61.2,78.5,,78.2,0.5,3,5,68,0,0,590,5,109,94.6,558,7.6,45,104.3,160,10,90.7,535,1447,679,6.2,13.3,2.59
Nelson Spruce,11199,WR,COLORADO,12,9.6,12,68.4,,0,0,0,2.8,3,2,143,0,90.8,77.5,77.4,,78.7,0.3,2,6,71,0,0,591,0,106,94.8,560,6.8,40,100.9,155,12,92.9,549,1197,424,4,11.3,2.14
Keevan Lucas,47572,WR,TULSA,12,8.8,14,65.2,,0,0,0,9.8,11,2,320,1,64.1,62.1,79.6,,81.9,0.6,3,5,84,0,0,498,2,101,95.2,474,97.4,485,99.4,155,11,2,10,1219,671,6.6,12.1,2.57
Jaelen Strong,9503,WR,ARIZONA ST,12,13.9,7,53.3,,0,0,1,8,7,1,110,0,70.3,76.2,86.6,,87.5,0,0,3,77,0,0,455,2,81,94.7,431,25.3,115,92.2,152,10,74.7,340,1168,421,5.2,14.4,2.71
Jamison Crowder,9538,WR,DUKE,13,11,11,56.4,,0,0,0,10.6,10,1,154,1,60.8,58.1,73,,73.1,0,0,4,52,0,0,474,2,84,97,460,17.3,82,81.1,149,6,81.9,388,1064,550,6.5,12.7,2.31
Josh Harper,9979,WR,FRESNO ST,14,13,13,59.7,,0,0,0,8.2,8,0,169,0,73.6,76.9,72.6,,72.5,0,0,8,58,0,0,578,1,89,95.8,554,12.5,72,75.8,149,7,87.5,506,1095,396,4.4,12.3,1.98
Tyler Lockett,9502,WR,KANSAS ST,13,11.9,9,72.1,,0,0,0,6.2,7,0,199,0,79.1,78,92.7,,92.8,0,0,3,70,0,0,445,3,106,93.3,415,15.3,68,121.6,147,11,84.3,375,1515,455,4.3,14.3,3.65
Rashad Greene Sr.,9572,WR,FLORIDA ST,14,11,17,69.7,,0,0,0,3.9,4,1,167,0,86.2,77.1,82.2,,83.3,0,0,4,74,0,0,546,0,99,96.2,525,22.3,122,104.9,142,7,76.7,419,1365,599,6.1,13.8,2.6
Cayleb Jones,11075,WR,ARIZONA,14,13.1,14,52.9,,0,0,0,14,12,1,109,1,52.5,54.9,65,,66.2,0,0,3,85,0,0,591,8,74,94.4,558,3,18,89,140,9,97,573,1019,355,4.8,13.8,1.83
DaeSean Hamilton,45416,WR,PENN STATE,13,8.8,10,59.4,,0,0,0,8.9,8,0,266,1,66.4,58.9,67.6,63.6,68.3,1.1,6,3,51,0.2,1,545,1,82,95.6,521,51.6,281,74.5,138,2,47.2,257,899,484,5.9,11,1.73
Tommy Shuler,14643,WR,MARSHALL,14,10.9,8,67.2,,0,0,0,4.2,4,1,214,1,84.5,58.5,78.9,,80.9,0,0,6,42,0,0,515,3,92,94.2,485,99.6,513,96.3,137,9,0.4,2,1138,313,3.4,12.4,2.35
Tajae Sharpe,10774,WR,UMASS,12,13.6,3,62.5,,0,0,0,4.5,4,0,216,1,83.1,57.8,82.9,,83.2,0.2,1,5,77,0,0,538,1,85,95.4,513,22.3,120,95.3,136,7,77.5,417,1281,418,4.9,15.1,2.5
Nelson Agholor,9453,WR,USC,13,8.9,17,76.3,,0,0,0,6.4,7,0,326,0,77.6,77.7,89.2,,91.2,2.4,11,2,87,0,0,467,2,103,95.7,447,52.2,244,129.4,135,12,41.5,194,1306,573,5.6,12.7,2.92
Deontay Greenberry,9844,WR,HOUSTON,13,11.5,8,53.3,,0,0,0,11.1,9,1,182,0,58.4,75.4,67.4,,67.4,0,0,6,67,0,0,536,2,72,96.1,515,89.2,478,68.8,135,6,10.8,58,840,355,4.9,11.7,1.63
Roger Lewis Jr.,11246,WR,BOWL GREEN,14,15.2,7,54.5,,0,0,1,9.9,8,0,122,0,63.7,75.8,66.9,,66.7,0.2,1,7,82,0,0,602,6,73,94.4,568,16.1,97,77.1,134,7,83.7,504,1094,396,5.4,15,1.93
Rashard Higgins,10806,WR,COLO STATE,12,12.1,23,74.4,,0,0,0,7.7,8,0,144,0,72.5,76.9,92.7,,92.5,0,0,1,73,0,0,402,1,96,95.8,385,12.4,50,152.5,129,17,87.6,352,1749,918,9.6,18.2,4.54
Da'Ron Brown,9666,WR,N ILLINOIS,14,14.4,14,54,,0,0,0,10.5,8,0,254,0,48.8,77.2,73.9,,74.6,0,0,2,64,0,0,429,4,68,95.8,411,20.7,89,91.5,126,6,79.3,340,1065,442,6.5,15.7,2.59
Kenzee Jackson,12586,WR,LA MONROE,12,7.9,15,62.7,,0,0,0,10.2,9,0,209,3,61.6,25.7,65.3,,64.6,0,0,2,41,0,0,616,3,79,96.1,592,13.3,82,86.9,126,4,86.5,533,866,465,5.9,11,1.46
Joshua McCain,13649,WR,IDAHO,11,12.5,12,60.8,,0,0,0,10.6,9,0,185,1,61.7,55.9,76.7,,77.3,0,0,5,75,0,0,480,2,76,92.7,445,28.5,137,98.8,125,9,71.5,343,1162,509,6.7,15.3,2.61
Tyler Winston,21837,WR,S JOSE ST,12,8.1,7,65.3,,0,0,0,4.8,4,0,285,0,81.5,75.9,67.8,,67.8,0,0,1,28,0,0,481,1,79,96.5,464,5.2,25,91.4,121,5,94.8,456,713,363,4.6,9,1.54
Tyler Boyd,10689,WR,PITTSBURGH,13,12.1,9,64.5,,0,0,0,6,5,1,268,1,75.5,59.8,90.3,,91.6,0,0,4,53,0,0,343,3,78,95,326,52.5,180,107.4,121,8,46.6,160,1257,506,6.5,16.1,3.86
Bud Sasser,9634,WR,MISSOURI,14,12.2,3,65.8,,0,0,0,2.5,2,0,229,1,89.8,55.8,80.3,,81.4,0,0,1,47,0,0,491,4,77,94.5,464,12.4,61,123.1,117,12,87.6,430,997,292,3.8,12.9,2.15
Corey Davis,11760,WR,W MICHIGAN,12,12.2,15,67.8,,0,0,2,8.2,7,0,347,0,68.8,75.8,90.2,,90,0,0,1,75,0,0,384,4,78,96.6,371,21.6,83,145.6,115,15,78.4,301,1408,693,8.9,18.1,3.8
Mike Dudek,28753,WR,ILLINOIS,13,10.9,8,66.1,,0,0,0,3.8,3,0,187,0,84.9,76.9,82,67.8,80.5,0,0,7,56,0.2,1,457,1,76,95.4,436,93.4,427,86.9,115,6,6.1,28,1040,407,5.4,13.7,2.39
Jakeem Grant Sr.,10820,WR,TEXAS TECH,12,9.5,14,57.4,,0,0,0,15.4,12,0,315,2,39.1,33,71,,70.8,0,0,5,59,0,0,462,3,66,92.9,429,93.5,432,86,115,7,5.2,24,937,505,7.7,14.2,2.18
Isiah Myers,12837,WR,WASH STATE,12,7.9,15,68.4,,0,0,0,9.3,8,0,341,0,62.5,76,69.8,,68.7,0,0,4,67,0,0,693,1,78,94.9,658,0.7,5,115.1,114,12,99.3,688,972,512,6.6,12.5,1.48
Quinton Pedroza,18427,WR,HAWAII,12,13.4,11,52.2,,0,0,0,10.6,7,0,180,2,61.5,29.5,64.9,,63.8,0,0,4,53,0,0,485,0,59,94.4,458,16.3,79,64.5,113,3,83.7,406,674,179,3,11.4,1.47
Carlos Harris,18681,WR,N TEXAS,12,10.6,11,62.8,,0,0,0,4.1,3,0,251,0,83.7,77.4,78.2,,78.9,0,0,5,51,0,0,363,0,71,97.2,353,22.6,82,76.9,113,3,76.6,278,869,328,4.6,12.2,2.46
Zay Jones,11792,WR,E CAROLINA,13,7.2,11,71.7,,0,0,0,9,8,0,156,1,66.4,56.6,63.3,,62,0,0,1,41,0,0,598,3,81,94.8,567,85.1,509,103.1,113,5,14.5,87,820,350,4.3,10.1,1.45
Richy Turner,14777,WR,NEVADA,13,9.7,6,55.8,,0,0,0,8.7,6,0,239,0,63,75.2,65.4,,64.8,0,0,6,34,0,0,446,1,63,96.2,429,80.9,361,59.9,113,4,18.6,83,587,264,4.2,9.3,1.37
Mario Alford,9671,WR,W VIRGINIA,13,11.2,6,58,,0,0,0,15.6,12,0,343,1,37.9,52.2,61.7,,61.8,0.3,2,0,79,0,0,578,3,65,94.6,547,4.3,25,118.3,112,11,94.3,545,945,476,7.3,14.5,1.73
Will Fuller V,10655,WR,NOTRE DAME,13,11.8,5,68.5,,0,0,1,12.6,11,0,258,0,53.7,75.8,75,,76.8,0,0,1,75,0,0,533,3,76,95.7,510,5.8,31,136,111,15,94.2,502,1094,420,5.5,14.4,2.15
David Frazier,14648,WR,MIAMI OH,12,16.4,6,53.2,,0,0,0,1.7,1,0,221,0,90.2,50.4,77,61,76.9,0,0,3,74,0.2,1,519,0,59,94.6,491,3.9,20,85.8,111,5,96.1,499,949,224,3.8,16.1,1.93
Mitch Mathews,11179,WR,BYU,13,13.8,5,65.8,,0,0,0,3.9,3,0,128,1,84.7,54.9,77.5,,77.7,0,0,2,71,0,0,475,4,73,94.5,449,8.4,40,111,111,9,91.4,434,922,211,2.9,12.6,2.05
Jordan Williams-Lambert,11238,WR,BALL ST,11,12.1,7,50.9,,0,0,0,13.8,9,0,117,0,48.6,74.3,74.1,,73.6,0,0,2,44,0,0,343,1,56,96.5,331,1.2,4,83.6,110,6,98.8,339,753,188,3.4,13.4,2.27
Marcus Kemp,12137,WR,HAWAII,13,13.1,7,50.9,,0,0,0,15.2,10,1,180,0,49.6,74.4,61.8,63.9,60.7,0,0,3,50,0.2,1,526,1,56,95.1,500,2.5,13,72.4,110,3,97.5,513,797,284,5.1,14.2,1.59
Josh Doctson,10656,WR,TCU,13,14.4,3,60.7,,0,0,0,3,2,0,305,2,81.8,29.6,75.9,,75,0,0,0,84,0,0,461,2,65,95.4,440,1.7,8,126.6,107,11,98.3,453,1018,361,5.6,15.7,2.31
Devonte Boyd,47983,WR,UNLV,13,14.9,6,60.7,,0,0,0,7.1,5,0,325,0,72.4,75.2,72.8,,72.4,0,0,5,56,0,0,501,2,65,95.2,477,2.2,11,83.9,107,4,97.8,490,981,239,3.7,15.1,2.06
Victor Bolden Jr.,12269,WR,OREGON ST,11,10.6,7,67.3,,0,0,0,7.7,6,0,265,0,66.3,79,67.5,,66,0,0,0,72,0,0,446,1,72,95.1,424,3.6,16,95.5,107,2,96.2,429,798,254,3.5,11.1,1.88
Daniel Braverman,10864,WR,W MICHIGAN,13,5.6,17,75.7,,0,0,0,4.7,4,1,347,0,78.1,77.8,79.3,63.9,81.3,0,0,4,63,0.3,1,396,2,81,96.5,382,88.6,351,105.7,107,6,9.8,39,960,636,7.9,11.9,2.51
Lucky Whitehead,9853,WR,FAU,12,5.5,10,71.7,,0,0,0,6.2,5,1,165,0,76.7,62.8,76.8,,76.8,0.3,1,0,61,0,0,351,0,76,94.3,331,89.5,314,108.6,106,6,9.4,33,709,510,6.7,9.3,2.14
Rashon Ceaser,11325,WR,LA MONROE,12,9,11,73.6,,0,0,0,0,0,1,209,0,94.5,75.7,73.1,,72.9,0,0,1,63,0,0,535,0,78,96.3,515,93.3,499,103.7,106,3,6.7,36,886,359,4.6,11.4,1.72
Bradley Marquez,9914,WR,TEXAS TECH,12,11.3,11,61.3,,0,0,0,8.5,6,1,315,0,68.8,75.1,77.3,,72.2,0.2,1,5,70,0,0,486,1,65,93.4,454,52.7,256,97.2,106,10,46.7,227,819,306,4.7,12.6,1.8
Tony Lippett,9589,WR,MICH STATE,13,13.3,7,61.9,,0,0,0,3,2,1,223,0,87,75.6,90.2,,90.4,0,0,2,71,0,0,341,3,65,96.2,328,14.4,49,128.2,105,11,85.6,292,1198,383,5.9,18.4,3.65
Teldrick Morgan,47726,WR,NEW MEX ST,12,7.2,16,71.4,,0,0,0,3.8,3,0,242,0,84.4,76,74,,72.9,0,0,8,57,0,0,397,0,75,97.5,387,99,393,87.4,105,7,1,4,889,577,7.7,11.9,2.3
Corey Jones,47526,WR,TOLEDO,13,6,14,66,,0,0,0,10.5,8,0,316,0,61.8,76.9,74,,73.1,0.3,1,2,69,0,0,347,3,68,94.8,329,87.6,304,99.3,103,5,9.2,32,842,592,8.7,12.4,2.56
Alex Erickson,11107,WR,WISCONSIN,14,14,3,53.4,,0,0,0,9.8,6,0,349,0,68.1,74.8,79.9,61,76,0,0,5,70,0.3,1,333,1,55,94.9,316,15.9,53,67.3,103,3,83.8,279,772,325,5.9,14,2.44
Antwan Goodley,9843,WR,BAYLOR,11,12.5,10,58.8,,0,0,0,13,9,0,118,1,51.4,54.4,70.3,,68.1,0,0,1,66,0,0,428,2,60,95.1,407,11.4,49,100.5,102,6,86.7,371,830,344,5.7,13.8,2.04
Curry Sexton,14503,WR,KANSAS ST,13,9.8,8,77.5,,0,0,0,3.7,3,0,199,0,81.7,75.9,80.8,,82.3,0,0,0,74,0,0,476,1,79,94.1,448,92.9,442,126.2,102,5,7.1,34,1059,417,5.3,13.4,2.36
Devin Funchess,9474,WR,MICHIGAN,11,9.7,7,60.8,,0,0,2,8.8,6,0,222,0,66.1,75.2,72,69.8,71.8,2.6,9,4,45,0.3,1,345,3,62,96.2,332,39.4,136,79.4,102,4,57.7,199,733,268,4.3,11.8,2.21
Byron Marshall,11076,WR,OREGON,15,8.4,13,72.5,,0,0,0,8.6,7,0,264,1,67.8,57,75.6,75.5,74.6,0.5,2,0,77,1.5,6,405,3,74,93.8,380,77.5,314,123.1,102,6,4,16,1002,530,7.2,13.5,2.64
Zach D'Orazio,10180,WR,AKRON,12,8.5,7,60.8,,0,0,0,7.5,5,0,102,0,70.9,74.7,65.3,,64.3,0,0,3,32,0,0,492,1,62,95.7,471,100,492,70.6,102,1,0,0,658,245,4,10.6,1.4
Pharoh Cooper,10751,WR,S CAROLINA,13,10.7,17,68.3,,0,0,1,6.8,5,0,289,1,78.8,47.4,77.3,,78.2,0,0,1,85,0,0,456,2,69,93.4,426,90.4,412,131.5,101,9,7,32,1136,548,7.9,16.5,2.67
