Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CLE,Myles Garrett,DE,21,2024,4,6,8,90,90,117,0,0,0,0,0,0,0,0,0,0,0,250,,102.5,Texas A&M,College Stats,GarrMy00
1,2,CHI,Mitchell Trubisky,QB,23,2024,0,1,4,39,34,78,1219,1898,12715,74,48,255,1174,13,0,0,0,,,,North Carolina,College Stats,TrubMi00
1,3,SFO,Solomon Thomas,DE,21,2024,0,0,2,21,15,115,0,0,0,0,0,0,0,0,0,0,0,133,,18.5,Stanford,College Stats,ThomSo00
1,4,JAX,Leonard Fournette,RB,22,2023,0,0,5,38,19,81,0,2,0,0,1,1144,4518,34,312,2219,7,1,,,LSU,College Stats,FourLe00
1,5,TEN,Corey Davis,WR,22,2022,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan,College Stats,DaviCo03
1,6,NYJ,Jamal Adams,S,21,2024,1,3,6,44,29,85,0,0,0,0,0,0,0,0,0,0,0,366,4,21.5,LSU,College Stats,AdamJa00
1,7,LAC,Mike Williams,WR,22,2024,0,0,4,38,37,106,0,0,0,0,0,10,34,1,330,5104,32,,1,,Clemson,College Stats,WillMi07
1,8,CAR,Christian McCaffrey,RB,21,2024,2,3,5,74,45,95,2,4,84,2,0,1347,6387,52,524,4466,29,1,,,Stanford,College Stats,McCaCh01
1,9,CIN,John Ross,WR,21,2024,0,0,1,7,5,38,0,0,0,0,0,9,41,0,63,963,11,,,,Washington,College Stats,RossJo00
1,10,KAN,Patrick Mahomes,QB,21,2024,2,6,7,106,106,112,2778,4171,32352,245,74,432,2243,14,2,8,0,2,,,Texas Tech,College Stats,MahoPa00
1,11,NOR,Marshon Lattimore,CB,21,2024,0,4,6,42,41,99,0,0,0,0,0,0,0,0,0,0,0,329,15,,Ohio St.,College Stats,LattMa01
1,12,HOU,Deshaun Watson,QB,21,2024,0,3,4,58,52,73,1527,2305,17904,123,48,400,2142,20,1,6,1,1,,,Clemson,College Stats,WatsDe00
1,13,ARI,Haason Reddick,LB,22,2024,0,2,5,44,14,124,0,0,0,0,0,0,0,0,0,0,0,272,,59.0,Temple,College Stats,ReddHa00
1,14,PHI,Derek Barnett,DE,21,2024,0,0,3,26,22,95,0,0,0,0,0,0,0,0,0,0,0,122,,29.0,Tennessee,College Stats,BarnDe01
1,15,IND,Malik Hooker,S,21,2024,0,0,5,24,13,100,0,0,0,0,0,0,0,0,0,0,0,233,14,,Ohio St.,College Stats,HookMa00
1,16,BAL,Marlon Humphrey,CB,21,2024,2,4,7,58,58,116,0,0,0,0,0,0,0,0,0,0,0,353,19,6.0,Alabama,College Stats,HumpMa00
1,17,WAS,Jonathan Allen,DE,22,2024,0,2,7,50,50,109,0,0,0,0,0,0,0,0,0,0,0,241,1,42.0,Alabama,College Stats,AlleJo01
1,18,TEN,Adoree' Jackson,CB,21,2024,0,0,6,28,15,97,0,0,0,0,0,5,55,0,0,0,0,330,4,,USC,College Stats,JackAd00
1,19,TAM,O.J. Howard,TE,22,2022,0,0,4,13,12,72,0,0,0,0,0,0,0,0,129,1882,17,,,,Alabama,College Stats,HowaO.00
1,20,DEN,Garett Bolles,T,25,2024,0,0,7,45,45,116,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats,BollGa00
1,21,DET,Jarrad Davis,LB,22,2022,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,226,1,11.0,Florida,College Stats,DaviJa01
1,22,MIA,Charles Harris,OLB,22,2024,0,0,2,16,4,103,0,0,0,0,0,0,0,0,0,0,0,112,,19.5,Missouri,College Stats,HarrCh03
1,23,NYG,Evan Engram,TE,23,2024,0,2,8,34,18,108,0,0,0,0,0,16,93,1,496,4922,25,2,,,Mississippi,College Stats,EngrEv00
1,24,OAK,Gareon Conley,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.,College Stats,ConlGa00
1,25,CLE,Jabrill Peppers,S,21,2024,0,0,5,31,11,99,0,0,0,0,0,0,0,0,0,0,0,331,7,5.5,Michigan,College Stats,PeppJa00
1,26,ATL,Takkarist McKinley,DE,21,2024,0,0,2,16,13,71,0,0,0,0,0,0,0,0,0,0,0,67,,20.5,UCLA,College Stats,McKiTa00
1,27,BUF,Tre'Davious White,CB,22,2024,1,2,5,48,48,93,0,0,0,0,0,0,0,0,0,0,0,258,18,3.0,LSU,College Stats,WhitTr01
1,28,DAL,Taco Charlton,DE,22,2022,0,0,0,9,6,60,0,0,0,0,0,0,0,0,0,0,0,54,,11.5,Michigan,College Stats,CharTa00
1,29,CLE,David Njoku,TE,21,2024,0,1,5,26,26,106,0,0,0,0,0,4,-6,0,351,3769,30,2,,,Miami (FL),College Stats,NjokDa00
1,30,PIT,T.J. Watt,OLB,22,2024,4,7,8,90,90,121,0,0,0,0,0,0,0,0,0,0,0,331,7,108.0,Wisconsin,College Stats,WattT.00
1,31,SFO,Reuben Foster,LB,23,2018,0,0,2,8,8,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama,College Stats,FostRe00
1,32,NOR,Ryan Ramczyk,T,23,2023,1,0,6,64,64,101,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,RamcRy00
2,33,GNB,Kevin King,CB,22,2024,0,0,3,16,15,66,0,0,0,0,0,0,0,0,0,0,0,164,7,1.0,Washington,College Stats,KingKe01
2,34,JAX,Cam Robinson,T,21,2024,0,0,6,40,35,101,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,RobiCa00
2,35,SEA,Malik McDowell,DT,21,2021,0,0,1,6,,15,0,0,0,0,0,0,0,0,0,0,0,19,,3.0,Michigan St.,College Stats,McDoMa00
2,36,ARI,Budda Baker,S,21,2024,2,7,7,58,58,122,0,0,0,0,0,0,0,0,0,0,0,621,7,9.5,Washington,College Stats,BakeBu00
2,37,BUF,Zay Jones,WR,22,2024,0,0,3,25,8,115,1,2,29,0,0,8,24,0,295,3112,18,3,,,East Carolina,College Stats,JoneZa00
